;Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae;Betula;Botryococcus;Brassicaceae;Buxus;Callidina angusticollis;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Castanea sativa;Centaurea;Cerealia-type;Chenopodiaceae/Amaranthaceae;Callina vulgaris;Corylus;Crepis-type;Cyperaceae;Entophlyctis lobata;Euhedra distachya-type;Ephedra fragilis-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juglans;Juniperus;Mercuriales-type;Onagraceae;Oxalis stricta;Picea;Pinus;Plantaginaceae;Poaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Rumex;Salix;Saxifragaceae;Scrophularia-type;Senecio-type;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia
X26334.1898764645;0;0;0;0,01;0;0,02;0;0,111;0,131;0,01;0;0;0;0;0,04;0;0;0;0;0;0,01;0,01;0,635;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,04;0,055;0;0,523;0;0;0;0,368;0,03;0,01;0,01;0,01;0;0;0,01;0;0,07;0;0;0;0,009
X26435.2690713545;0;0;0;0;0;0,008;0;0,051;0,126;0,008;0;0;0;0;0,025;0;0,008;0;0,008;0;0;0,017;0,673;0;0;0;0;0;0;0;0;0;0,034;0;0;0;0;0;0;0;0,042;0,153;0;0,551;0;0;0;0,208;0;0;0,008;0;0;0;0,017;0;0,068;0;0;0;0,003
X26637.4274611345;0;0;0;0;0,01;0,069;0;0,079;0,185;0,049;0;0;0;0;0,03;0;0;0;0,01;0;0,01;0,02;0,698;0;0,01;0;0;0;0;0,03;0;0;0,039;0;0;0;0;0;0;0;0,03;0,094;0;0,365;0;0;0;0,326;0;0,01;0;0;0;0,01;0,03;0;0,059;0;0;0;0,008
X26738.5066560246;0;0;0;0;0;0;0;0,08;0,282;0,02;0;0;0;0;0,07;0;0;0;0,02;0;0;0,05;0,651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0,276;0;0,402;0;0;0;0,36;0;0;0;0;0;0;0,01;0;0,03;0;0;0;0,006
X26839.5858509146;0;0;0;0,024;0;0,048;0;0,156;0,193;0,06;0;0;0;0;0,036;0;0;0;0,012;0;0;0;0,648;0;0;0;0;0;0;0,048;0;0;0,012;0;0;0;0,024;0;0;0;0,018;0,048;0;0,347;0;0;0;0,476;0;0;0;0,012;0;0,012;0,024;0;0,096;0;0;0;0,006
X26940.6650458046;0;0;0;0,008;0;0,067;0;0,176;0,196;0,042;0;0;0;0,008;0;0;0;0;0,008;0;0,017;0,017;0,491;0;0;0;0;0;0;0;0;0;0,017;0;0;0;0;0;0;0;0,017;0,084;0,017;0,353;0;0;0;0,454;0,025;0;0,017;0;0;0;0,017;0;0,092;0;0;0;0,018
X27041.7442406946;0;0;0,01;0;0;0;0;0,237;0,23;0,031;0;0;0;0;0,021;0;0;0;0,01;0;0;0,031;0,575;0;0;0;0;0;0;0,021;0;0;0,041;0;0;0;0;0;0;0;0,077;0,139;0;0,258;0;0;0;0,538;0;0;0,01;0,021;0;0;0;0;0,093;0;0;0;0,003
X27142.8234355845;0;0;0,009;0;0;0,018;0;0,062;0,277;0,036;0;0;0,009;0;0,009;0;0;0;0;0;0;0,018;0,61;0;0;0;0;0;0;0;0;0;0,009;0;0;0;0;0;0;0;0,084;0,169;0,018;0,489;0;0;0;0,453;0;0;0;0,018;0;0;0,009;0;0,036;0;0;0;0,01
X27243.9026304745;0;0;0;0,009;0;0,104;0;0,189;0,159;0,038;0;0;0;0;0,057;0;0;0;0,009;0;0;0;0,541;0;0;0;0;0;0;0,038;0;0;0;0;0;0;0;0;0;0;0,042;0,156;0;0,245;0,009;0;0;0,5;0;0;0,009;0,009;0;0;0;0;0,066;0;0;0;0,006
X27344.9818253645;0;0;0;0;0;0,031;0;0,184;0,202;0,023;0;0;0;0;0,015;0;0;0;0,008;0;0;0,015;0,54;0;0;0;0;0;0;0,008;0;0;0,008;0;0;0;0;0;0;0;0,073;0,176;0,015;0,368;0,008;0;0;0,487;0;0;0,008;0;0;0;0,008;0;0,046;0;0;0;0,002
