Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae;Betula;Brassicaceae;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Callina vulgaris;Corylus;Cyperaceae;Euhedra distachya-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Poaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Rumex;Salix;Saxifragaceae;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia
0,003;0;0,164;0,006;0;0,009;0;0,042;0;0;0;0,003;0;0;0;0;0,085;0,006;0;0,018;0;0,507;0;0,042;0;0;0;0;0;0,023;0,018;0,003;0,009;0;0;0,036;0;0,006;0;0,003;0,003;0;0;0;0;0;0,015;0
0,006;0;0,206;0,003;0;0,003;0;0,044;0;0;0;0;0;0;0;0;0,114;0,022;0;0,013;0;0,459;0;0,028;0;0;0;0;0;0,033;0,011;0,003;0,032;0;0;0,032;0,003;0;0;0;0;0;0;0;0,003;0;0,003;0,009
0;0;0,162;0,003;0;0;0;0,042;0;0;0;0,003;0;0;0;0;0,089;0,006;0;0,014;0;0,519;0;0,025;0;0;0,003;0;0;0,013;0,003;0,006;0,022;0;0;0,053;0;0,003;0;0,008;0;0;0;0;0,006;0;0,011;0
0;0,003;0,133;0;0;0,003;0;0,09;0;0;0;0,013;0;0;0;0;0,07;0,032;0;0,007;0;0,549;0;0,02;0;0;0;0;0;0,012;0,017;0;0,023;0;0;0,033;0,016;0,007;0;0;0;0;0;0;0,01;0;0,007;0,025
0;0;0,127;0,003;0;0;0;0,087;0;0;0;0,003;0;0;0;0;0,081;0,009;0;0,012;0;0,53;0;0,024;0;0;0,003;0;0;0,021;0,018;0;0,009;0;0;0,042;0;0,003;0;0;0,003;0;0;0;0,015;0;0,018;0
0,003;0;0,133;0;0;0;0;0,041;0;0;0;0,003;0;0;0;0;0,086;0,017;0;0;0;0,536;0;0,041;0;0;0;0;0;0,028;0,018;0,003;0,021;0;0;0,053;0;0;0;0;0;0;0;0;0,015;0;0,009;0,006
0,003;0;0,161;0;0;0;0;0,069;0;0;0;0,006;0;0;0;0;0,072;0,009;0;0;0;0,542;0;0,018;0;0;0;0;0;0,036;0,004;0;0,009;0;0,003;0,057;0;0;0;0;0,003;0;0;0,003;0,006;0;0,009;0,006
0;0;0,136;0;0;0,007;0;0,148;0;0;0;0,002;0;0;0;0;0,113;0,002;0;0;0;0,438;0;0,028;0,002;0;0;0;0;0,024;0,007;0;0,019;0;0;0,061;0;0,002;0;0,002;0,002;0;0;0;0,002;0;0,002;0,007
0,003;0;0,156;0;0;0,003;0;0,133;0;0;0;0;0;0;0;0;0,113;0,011;0;0,006;0;0,402;0;0,04;0;0;0;0;0;0,03;0,011;0;0,008;0;0;0,076;0,003;0,006;0;0;0,003;0;0;0;0,003;0;0,006;0,011
0,003;0;0,14;0;0;0;0;0,096;0;0;0;0,014;0;0;0;0;0,118;0,011;0;0,003;0;0,479;0;0,036;0;0;0;0;0;0,037;0,008;0;0,022;0;0;0,03;0,005;0,005;0;0;0;0;0;0,003;0,005;0;0,003;0,013
0,003;0;0,108;0;0;0,009;0;0,088;0;0;0;0,003;0;0;0;0;0,108;0,006;0;0;0;0,546;0;0,026;0;0;0;0;0;0,007;0,009;0,003;0,018;0;0;0,044;0;0,006;0;0,006;0,003;0;0;0;0,006;0;0,006;0,006
0;0;0,101;0;0;0,003;0;0,09;0,003;0;0;0;0;0;0;0;0,146;0,006;0;0;0;0,488;0,006;0,042;0;0;0;0;0;0,007;0,028;0;0,011;0;0;0,062;0;0;0;0,003;0;0;0;0;0,008;0;0,003;0
0,003;0;0,165;0,021;0;0;0;0,075;0;0;0;0;0;0;0;0;0,105;0,006;0;0,006;0;0,495;0,003;0,012;0;0;0;0;0;0,006;0,009;0;0,012;0;0;0,054;0;0;0;0;0;0;0;0;0,018;0;0,015;0,006
0;0;0,167;0,009;0;0;0;0,073;0;0;0;0;0;0;0;0;0,183;0,019;0;0;0;0,461;0,003;0,013;0;0,003;0;0;0;0,019;0,014;0;0,016;0;0;0,025;0;0;0;0;0;0;0;0;0,009;0;0;0,003
0,003;0;0,103;0,009;0;0;0;0,097;0;0;0;0;0;0;0;0;0,162;0,024;0;0;0;0,505;0,009;0,012;0;0;0;0;0;0,023;0,009;0;0,025;0;0;0,019;0;0,003;0;0,003;0;0;0;0;0,009;0,003;0,003;0
0;0;0,094;0,016;0;0;0;0,132;0;0;0;0;0;0;0;0;0,125;0,018;0;0,003;0;0,467;0;0,05;0;0;0;0;0;0,024;0,005;0,003;0,003;0;0;0,056;0;0,003;0,003;0;0;0;0;0;0,006;0;0,009;0
0;0;0,1;0,016;0;0;0;0,146;0;0;0;0;0;0;0;0;0,106;0,018;0;0;0;0,477;0;0,031;0;0;0;0;0;0,017;0,014;0,003;0,006;0;0;0,037;0;0;0;0;0,009;0;0;0;0,028;0;0,009;0,006
0,006;0;0,116;0;0;0;0;0,093;0;0;0;0,003;0;0;0;0;0,187;0,01;0;0;0;0,444;0;0,026;0;0;0;0;0;0,023;0,011;0;0,006;0;0,003;0,061;0;0;0;0,003;0,003;0;0;0;0,006;0;0,006;0,006
0;0;0,118;0;0;0;0;0,14;0;0;0;0,006;0;0;0;0;0,134;0,003;0;0;0;0,467;0;0,027;0,003;0;0;0;0;0,024;0,008;0;0;0;0;0,039;0;0,003;0;0;0;0;0;0;0,015;0;0,009;0,006
0;0;0,17;0,003;0;0,003;0;0,107;0;0;0;0,006;0;0;0;0;0,139;0,009;0;0;0;0,429;0;0,019;0;0;0;0;0;0,006;0,009;0;0,009;0;0;0,05;0;0;0;0;0,003;0;0;0;0,035;0;0,006;0,003
0;0;0,083;0,006;0;0;0;0,062;0;0;0;0,003;0;0;0;0;0,127;0,018;0;0;0;0,541;0;0,025;0;0;0,003;0;0;0,014;0,009;0;0,012;0;0;0,062;0;0,003;0;0;0,003;0;0;0;0,022;0,003;0,015;0
0;0,003;0,112;0,003;0;0;0;0,086;0;0;0;0,009;0;0;0;0;0,097;0,046;0;0,003;0;0,507;0;0,046;0;0;0,003;0;0;0,024;0,016;0;0,014;0;0;0,04;0,017;0;0;0;0;0;0;0;0,017;0;0,009;0,018
0,003;0;0,119;0,006;0;0;0;0,037;0;0;0;0,003;0;0;0;0;0,119;0,009;0;0;0;0,49;0;0,052;0;0;0;0;0;0,058;0,011;0;0;0;0;0,058;0,003;0,006;0;0,003;0,003;0;0;0;0,012;0;0,018;0,009
0,009;0,003;0,107;0,009;0;0;0;0,065;0;0;0;0;0;0;0;0;0,11;0,012;0;0,015;0;0,551;0;0,012;0;0;0;0;0;0,018;0,01;0;0,006;0;0;0,041;0;0,006;0;0,003;0;0;0,003;0;0,003;0,006;0,021;0
0;0;0,117;0;0;0;0,003;0,078;0;0;0;0,003;0;0;0;0;0,113;0,016;0;0,016;0;0,486;0;0,042;0;0;0;0;0;0,018;0,016;0;0;0;0;0,084;0,003;0;0;0;0;0;0;0;0,023;0;0;0,009
0;0;0,108;0;0;0;0;0,061;0;0;0;0;0;0;0;0;0,103;0,005;0;0,013;0;0,548;0;0,013;0;0;0;0;0;0,007;0,016;0;0,003;0;0;0,082;0;0,005;0;0;0,003;0;0;0;0,021;0;0,016;0
0,007;0,003;0,154;0,003;0;0;0;0,089;0;0;0;0;0;0;0;0;0,125;0,026;0,003;0,02;0;0,308;0;0,036;0;0;0;0;0;0,043;0,03;0;0,003;0;0;0,138;0,003;0;0;0,003;0,003;0;0;0;0,016;0;0,007;0,003
0,009;0;0,134;0,006;0;0;0;0,071;0;0;0;0,003;0;0;0;0;0,068;0,02;0;0,009;0;0,407;0;0,074;0;0;0;0;0;0,024;0,013;0;0,012;0;0;0,134;0,003;0,006;0;0;0;0;0,006;0;0,015;0;0,006;0,02
0,003;0;0,186;0,003;0;0;0;0,099;0;0;0;0;0;0;0;0;0,135;0,006;0;0,015;0;0,315;0;0,018;0;0;0,003;0;0;0,025;0,021;0,003;0;0;0;0,138;0,009;0,003;0;0;0;0;0;0;0,024;0;0,009;0,006
0,003;0,003;0,115;0;0;0;0;0,055;0;0;0;0;0;0;0;0;0,095;0,003;0;0,006;0;0,548;0;0,029;0;0;0;0;0;0,029;0,017;0,003;0,003;0;0;0,072;0;0;0;0;0,006;0;0;0;0,014;0;0;0,003
0;0;0,097;0,01;0;0;0;0,237;0;0;0;0;0;0;0;0;0,1;0,013;0;0,013;0;0,214;0;0,049;0;0;0;0;0;0,028;0,026;0;0,013;0;0;0,172;0;0,013;0;0;0,003;0;0;0;0,01;0;0,01;0,003
0,003;0;0,148;0,009;0;0;0;0,242;0;0;0;0;0;0;0;0;0,116;0,022;0;0,025;0;0,192;0;0,019;0;0;0;0;0;0,028;0,017;0;0;0;0;0,166;0,003;0,006;0;0;0,003;0;0;0;0,013;0,003;0,009;0
0,003;0;0,13;0,013;0;0;0;0,174;0;0;0;0,003;0;0;0;0;0,193;0,019;0,003;0,01;0;0,162;0;0,025;0;0;0;0;0;0,043;0,041;0;0,013;0;0;0,152;0;0,01;0;0;0;0;0,003;0;0,006;0,003;0,006;0,003
0,003;0;0,126;0,003;0;0;0;0,176;0;0;0;0,003;0;0;0;0;0,123;0,08;0;0,02;0;0,146;0;0,04;0;0;0;0;0;0,055;0,043;0;0,013;0;0;0,213;0;0,007;0;0,003;0;0;0;0;0,01;0;0,013;0,009
0,006;0;0,103;0,003;0;0;0;0,191;0;0;0;0,006;0;0;0;0;0,13;0,031;0,003;0,015;0;0,124;0;0,041;0;0;0;0;0,003;0,044;0,049;0;0,032;0;0;0,212;0;0,003;0;0,003;0;0;0;0;0,018;0;0,012;0,006
0,003;0;0,098;0,008;0;0,003;0;0,221;0;0;0,003;0,006;0;0;0;0;0,187;0,03;0;0,008;0;0,084;0;0,078;0;0;0;0;0;0,049;0,027;0;0,025;0;0;0,131;0;0,006;0;0,003;0;0;0;0;0,034;0;0,02;0,005
0;0;0,154;0;0;0,003;0;0,304;0;0;0;0;0;0;0;0;0,139;0,006;0;0,009;0;0,078;0;0,039;0;0;0;0;0;0,018;0,027;0;0,012;0;0;0,16;0;0;0;0,006;0;0;0;0;0,015;0;0,036;0
0,003;0,003;0,116;0,038;0;0,006;0;0,266;0;0;0;0;0;0,003;0,003;0;0,142;0,009;0;0,014;0;0,064;0;0,029;0;0;0;0;0;0,016;0,012;0;0,038;0;0;0,194;0;0,003;0;0,003;0,003;0;0;0;0,014;0;0,026;0,006
0;0;0,154;0;0;0,006;0;0,241;0;0;0;0;0;0;0;0;0,182;0,011;0;0,011;0;0,036;0;0,056;0;0;0;0;0;0,014;0,015;0;0,022;0;0;0,177;0;0,003;0,003;0,006;0,011;0;0;0;0,025;0;0,036;0,003
