Age;Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Amaranthaceae;Poaceae
69059;0;0;601;0;0;0;0;25;0;125;0;0;0;0;37;3;209
69165;0;6;574;0;0;0;0;24;0;82;4;0;0;2;69;6;232
69324;0;0;626;0;0;0;0;58;0;69;3;0;0;0;62;3;178
69430;0;0;482;0;0;0;0;86;0;23;4;9;0;0;64;18;314
69589;0;0;325;0;0;0;0;232;0;31;0;7;0;4;89;7;305
69695;3;3;285;3;3;0;0;244;10;35;0;3;0;3;84;3;320
69854;0;3;314;3;0;0;0;205;3;22;8;11;0;0;101;19;310
69960;0;3;163;0;16;0;0;114;6;34;0;9;0;0;181;21;454
70119;0;14;182;0;2;0;0;76;7;60;2;0;0;2;238;23;394
70225;0;8;141;4;4;0;0;16;41;210;8;12;0;4;161;20;371
70384;0;5;302;0;4;0;0;15;50;415;23;2;0;2;30;2;150
70490;0;9;292;6;3;0;3;12;61;455;39;0;0;3;12;0;103
70649;0;19;302;3;0;13;3;0;45;469;56;5;0;10;15;0;59
70755;0;3;223;0;3;0;0;0;154;470;33;0;0;0;17;3;93
70914;0;3;248;0;10;3;3;0;169;478;29;0;0;0;0;0;57
71020;0;9;279;0;6;9;6;0;90;467;46;0;0;0;18;0;70
71179;0;6;145;0;3;3;0;6;128;615;22;3;0;0;6;0;63
71285;0;11;135;0;0;4;0;0;52;674;7;0;0;0;14;7;95
72610;0;18;187;3;5;3;0;5;92;556;18;0;0;0;5;0;107
72769;0;3;371;0;0;0;0;79;61;273;6;6;0;3;44;6;147
72875;0;10;236;3;0;7;0;0;108;547;22;3;0;3;7;0;53
73034;0;15;269;4;2;0;4;15;122;430;29;0;0;2;13;2;93
73140;0;20;227;9;3;0;0;0;146;443;45;3;0;0;12;0;92
73299;0;7;273;7;4;7;0;13;122;446;30;4;0;0;4;0;82
73405;0;22;293;19;11;3;8;0;159;372;3;0;8;0;8;3;90
73564;0;30;241;44;10;5;10;3;106;362;106;0;0;3;5;2;71
73670;0;28;247;44;28;0;5;5;122;389;55;3;3;11;3;0;55
73829;0;18;207;37;29;4;4;2;120;396;107;0;0;18;7;0;49
73935;0;28;216;37;9;0;9;0;154;401;94;3;0;6;0;0;43
74094;0;34;230;85;34;0;15;4;78;304;141;7;0;15;7;0;45
74200;0;33;191;156;26;0;12;6;111;219;174;0;0;12;6;0;54
74359;0;18;170;118;48;0;11;7;233;229;110;0;0;11;0;0;45
74465;0;34;127;184;41;0;28;0;144;161;230;0;0;10;3;0;38
74624;0;40;192;205;64;0;10;0;133;153;155;0;0;18;0;0;30
74730;0;39;142;184;86;0;6;9;139;119;214;0;0;20;3;0;39
74889;0;18;196;303;90;0;11;4;71;86;157;4;11;7;7;0;35
74995;4;17;184;213;61;0;9;0;180;138;125;0;0;28;4;0;36
75154;0;20;70;314;105;0;14;3;155;93;181;0;0;17;6;0;22
75260;0;19;72;254;123;0;28;3;140;67;246;0;0;11;3;0;33
75419;0;27;58;285;152;0;23;0;164;53;176;0;0;11;0;2;49
75525;0;18;41;374;123;0;20;8;197;62;128;0;3;18;0;0;8
75684;0;13;66;316;170;0;27;2;128;51;183;3;2;25;2;0;12
75790;1;11;52;310;128;1;28;0;204;83;135;0;2;25;4;0;14
75949;0;4;65;197;279;0;13;0;54;69;255;2;0;45;2;0;15
76055;5;13;130;28;267;0;21;0;80;192;224;0;5;13;3;0;18
76214;0;0;139;0;287;0;16;0;81;290;155;6;0;10;0;0;16
76320;0;8;148;6;83;0;8;2;39;547;112;4;2;6;2;0;33
76479;0;3;240;3;6;0;0;19;48;594;29;0;0;0;9;0;48
76585;0;0;187;0;0;0;0;24;30;707;3;0;0;0;12;0;37
77380;0;11;267;3;8;11;0;19;45;414;19;3;0;8;53;11;128
77539;0;10;257;5;8;0;5;3;168;420;45;3;0;0;8;0;67
77645;6;22;211;53;19;0;0;0;95;428;82;3;0;6;6;3;66
77804;3;25;166;207;111;0;13;0;137;83;178;0;6;13;0;0;57
77910;0;17;107;227;122;3;22;1;176;112;162;0;0;17;0;0;32
78069;0;0;339;4;19;0;4;4;26;495;34;0;0;4;8;0;61
78175;0;23;218;21;145;0;12;18;70;286;157;0;2;23;7;0;16
78334;6;9;173;0;68;0;3;0;73;468;123;0;0;20;6;0;50
78440;8;2;269;2;0;0;6;6;55;557;24;2;0;11;2;0;55
78599;0;15;406;0;0;0;4;11;45;366;13;8;0;0;6;0;124
78705;42;8;325;3;0;0;0;5;59;389;14;14;0;3;12;0;126
78864;20;14;358;0;6;0;0;109;43;288;6;0;0;0;14;0;143
78970;8;8;393;5;3;0;3;99;51;253;5;5;0;5;25;0;135
79129;2;15;484;0;0;0;0;259;21;73;0;4;0;0;23;0;119
79235;4;8;385;0;0;0;0;431;16;24;0;2;0;0;16;2;112
79394;0;26;194;4;4;0;0;345;34;71;0;10;0;2;38;2;270
79500;28;50;175;5;0;0;0;47;28;111;0;55;0;0;106;14;382
79659;7;19;128;1;8;0;0;139;46;86;3;23;0;0;68;12;460
79765;11;14;196;3;0;0;0;158;38;158;3;20;0;0;71;14;314
79924;0;6;154;0;0;0;0;44;74;596;0;0;0;6;6;0;114
80030;0;3;136;0;0;0;0;24;72;640;5;0;0;5;16;3;97
80189;6;12;208;0;3;0;0;27;149;480;9;3;0;9;3;0;89
80295;23;8;121;0;11;0;0;0;288;485;11;6;0;3;8;6;29
80560;2;17;191;7;5;0;0;12;248;471;15;0;0;0;2;0;27
80825;7;7;163;7;7;0;0;7;159;555;22;4;0;4;0;4;52
81090;2;2;78;2;0;0;0;7;239;598;11;2;0;0;2;0;57
81355;118;3;142;9;0;0;0;9;182;446;11;6;0;3;6;0;64
81620;4;17;176;13;0;0;0;9;353;345;27;4;0;4;0;4;44
81779;110;35;147;49;7;0;5;2;339;221;37;2;0;2;0;0;42
81832;140;74;107;77;5;0;0;13;297;156;33;3;0;0;3;3;88
81885;163;69;95;77;11;0;0;7;292;182;48;4;0;4;11;0;36
82044;213;129;37;208;26;0;14;3;192;52;88;0;0;8;2;2;26
82097;203;158;37;262;7;0;9;0;137;52;108;0;0;7;2;0;17
82150;197;165;39;217;8;0;14;0;173;33;90;3;0;19;0;0;41
82415;292;146;25;230;14;0;5;0;143;28;84;3;0;8;0;0;20
82680;199;203;20;240;33;0;4;0;97;29;151;0;0;8;4;0;12
82945;102;263;36;342;26;0;10;0;92;13;95;10;0;3;3;0;6
83210;68;240;38;367;44;0;14;0;55;17;123;0;0;11;3;0;21
83475;162;132;39;399;56;0;6;0;75;10;99;0;3;3;3;0;13
83740;164;144;23;456;45;3;17;0;34;14;82;0;0;12;0;0;8
84005;133;157;3;381;161;0;21;0;32;3;73;0;0;14;0;0;21
84270;130;155;6;426;166;0;16;0;35;13;38;0;0;6;0;0;9
84535;202;112;7;392;155;0;9;0;51;13;39;0;0;13;0;0;7
84800;179;110;8;410;134;0;26;0;34;5;76;3;0;3;3;0;8
85065;151;125;5;355;195;0;16;0;33;3;98;3;0;8;0;0;8
85330;108;68;5;464;237;0;17;0;9;12;71;0;0;2;0;0;7
85595;164;139;11;347;239;3;8;0;22;14;42;0;0;5;0;0;5
85860;67;93;7;507;189;0;26;2;7;13;76;0;2;5;0;0;4
86125;17;89;2;491;244;0;4;0;8;9;121;0;0;11;0;0;2
86390;22;89;9;467;224;0;19;0;24;9;119;0;0;14;0;0;3
86655;37;102;6;503;173;0;17;2;19;10;119;0;0;8;0;0;4
86920;10;119;6;423;308;0;13;0;6;6;99;0;0;6;0;0;3
87185;0;106;0;513;239;0;15;0;23;0;95;4;0;4;0;0;0
87980;2;84;2;320;353;0;29;0;5;2;187;0;2;5;0;0;8
88245;4;61;0;164;524;0;23;0;4;4;196;0;0;14;0;0;4
88510;0;55;7;42;545;0;14;0;3;0;321;0;0;3;7;0;3
88775;0;61;9;37;569;0;24;0;31;9;230;0;0;13;3;0;13
89040;2;44;7;0;517;2;27;0;12;7;342;2;2;17;2;0;12
89305;2;62;0;5;564;0;19;11;6;11;298;0;0;16;0;0;5
89570;4;43;0;0;618;0;26;6;10;17;257;0;0;13;4;0;4
89835;0;55;25;3;524;0;59;0;19;3;303;0;0;8;0;0;0
90100;0;70;6;0;491;0;68;0;8;8;317;0;0;19;0;0;13
90365;0;70;3;0;557;0;49;0;13;13;285;0;0;6;0;0;6
90630;0;47;6;0;591;0;27;3;17;20;259;0;0;6;0;0;23
90895;0;18;18;0;747;0;21;0;15;6;153;4;0;0;4;0;15
91160;0;22;6;0;650;0;18;4;6;18;238;2;2;25;0;0;9
91425;0;14;3;0;693;0;12;0;5;7;243;0;3;17;1;0;1
91690;2;4;6;0;569;0;28;2;8;12;328;0;0;28;0;0;12
91955;0;0;15;0;621;0;22;4;0;11;289;0;4;29;0;0;4
92220;0;0;13;0;649;0;47;5;0;20;222;0;0;27;4;0;11
92485;0;12;12;0;649;0;20;4;6;16;251;2;0;16;0;0;12
92644;18;44;15;63;522;0;38;7;13;18;246;0;0;7;0;0;9
92750;0;2;42;0;113;0;73;4;0;42;621;6;0;80;0;2;15
92909;0;15;135;2;240;0;16;26;11;217;199;2;0;110;3;0;24
93015;0;0;245;0;0;0;4;4;0;454;13;13;0;180;38;0;48
93174;0;0;468;0;0;0;0;126;0;253;0;17;0;7;51;0;78
93280;0;0;501;0;0;0;0;132;0;215;0;3;0;0;49;3;98
93439;0;0;544;0;0;0;0;159;0;81;2;6;0;0;92;2;113
93545;0;0;230;0;0;0;0;347;0;40;0;29;0;0;69;5;281
93704;0;0;62;0;0;0;0;443;0;69;0;59;0;0;103;24;239
93810;0;0;124;0;0;0;0;34;0;186;0;96;0;0;149;19;392
94075;0;5;186;0;0;0;0;5;0;98;0;107;0;0;83;15;501
94340;0;8;8;0;0;8;0;8;0;293;0;44;0;0;58;97;475
94605;0;4;21;0;0;0;0;69;0;273;0;44;0;0;37;14;537
94870;0;0;8;0;0;0;0;16;0;468;0;16;0;0;103;32;357
95135;0;24;13;6;0;0;0;24;6;321;6;48;0;0;48;18;486
95400;0;21;29;0;0;0;0;56;0;399;21;21;0;0;56;7;392
95665;0;0;16;0;0;0;0;21;0;110;5;52;0;0;36;5;753
95930;0;0;12;0;12;0;0;32;0;90;4;20;0;0;51;0;779
