Prof_Bacon;Age_Bacon;UncerAge_Bacon;Prof_Clam;UnceraAge_Clam;UncerbAge_Clam;Age_Bclam
356,6;21416,23204;886,0388118;356,61764;20630;21860;21154,3
359,9;21583,54716;873,3535488;359,9264726;20783,8;22001,2;21309,7
362,5;21716,60134;866,5551036;362,5000013;20903,7;22113,1;21431,3
365,8;21886,62279;866,1352879;365,8088238;21062,3;22254,6;21588,6
369,1;22055,98307;854,8683463;369,1176463;21220,9;22398,7;21746,9
372,1;22209,53789;849,3185816;372,0588219;21364,7;22526,4;21888,4
375,4;22377,74463;841,7559914;375,3676444;21526,2;22672,8;22048,3
377,9;22506,63027;831,2878876;377,9411731;21650,9;22783,5;22173,2
381,2;22677,07606;827,63374;381,2499956;21811,6;22933,5;22334,5
384,6;22848,0509;817,976741;384,5588181;21973;23081,2;22496,3
387,5;22993,10209;814,3511261;387,4999937;22116,6;23210,9;22640,6
390,4;23137,425;813,4719271;390,4411693;22262,6;23348,7;22785,3
393,7;23298,57572;809,4692133;393,7499918;22425,1;23501,9;22948,4
397,1;23464,02371;810,4668561;397,0588244;22587,4;23650,7;23112
400;23605,35301;807,8608104;400;22733,6;23789,1;23257,6
403,4;23771,37765;802,6195303;403,4188026;22903,2;23950,2;23427,1
407,3;23961,51662;800,4726969;407,2649556;23096,5;24131,1;23618,2
410,7;24126,48035;800,7629023;410,6837582;23267,6;24293,6;23788,3
414,5;24314,2097;788,459119;414,5299111;23463,1;24477,9;23979,9
418,4;24512,91597;781,5073904;418,3760641;23651,9;24662;24171,7
421,8;24689,72874;784,5976258;421,7948667;23821;24825,9;24342,3
425,2;24868,01513;791,0918593;425,2136693;23994,3;24991,7;24512,9
428,6;25043,035;790,603175;428,6324719;24162,6;25157,5;24683,5
432,1;25222,88198;794,4783387;432,0512746;24332,9;25323,1;24854
435,9;25419,83597;800,5452217;435,8974275;24527;25512,4;25045,7
440,2;25648,56781;802,8738657;440,1709425;24739,8;25720,6;25258,3
443,2;25806,64018;800,6983949;443,1623948;24886,6;25865,6;25406,9
446,6;25984,61163;805,6330501;446,5811974;25051,9;26034,1;25576,4
450,9;26206,64996;809,5926543;450,8547007;25259,3;26244,7;25787,6
454,3;26379,88118;805,2460507;454,2735033;25423,7;26416;25956,1
457,7;26552,26081;805,8982816;457,6923059;25588,1;26585;26124
461,1;26723,9879;811,8554818;461,1111085;25746,2;26749,2;26291,3
465;26925,82558;806,8448088;464,9572615;25925,8;26934,4;26478,7
468,8;27120,93216;804,3596509;468,8034144;26107,2;27120,3;26665,1
472,6;27315,6767;807,4874126;472,6495673;26284,6;27305,7;26850,4
475,2;27449,10509;813,1964737;475,2136693;26402,9;27431;26973,4
479,5;27664,34439;815,6940171;479,4871726;26593,9;27634,2;27177,1
482,9;27835,84393;819,351747;482,9059752;26745,3;27799,5;27338,9
486,8;28035,67061;829,2396595;486,7521399;26915,2;27986;27519,6
489,7;28187,23101;832,0038909;489,7435921;27046,1;28127,8;27659,2
493,6;28388,92217;833,1191596;493,5897451;27217,8;28310,3;27837,3
497,4;28584,02291;836,2089844;497,435898;27383,9;28486,4;28013,9
501,1;28773,23701;842,286945;501,102941;27541,1;28659,5;28180,6
504;28918,22917;838,2610512;504,0441168;27664,8;28796,3;28313,2
507,4;29089,78905;840,7866124;507,3529397;27801;28947,1;28461,1
509,9;29217,58421;843,4630639;509,9264686;27908,7;29065,8;28575,2
513,2;29384,05035;841,8370463;513,2352915;28047,8;29214,9;28720,6
516,5;29549,66222;844,5075423;516,5441143;28180,8;29363,8;28864,6
519,9;29721,77819;843,0181302;519,8529372;28315,7;29513,4;29007
522,4;29848,18376;842,4200105;522,4264661;28416,7;29626,7;29116,7
525,7;30014,88324;845,7534993;525,7352889;28547,4;29775,4;29256,3
529;30180,00334;846,9770354;529,0441219;28678,7;29919,1;29394,2
532,4;30346,91789;854,3652328;532,3529447;28808,3;30061,6;29530,4
