"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"Leroy_i12";0,0105820105820106;0;0;0;0,0264550264550265;0,0211640211640212;0;0,592592592592593;0;0,00529100529100529;0,0582010582010582;0,00529100529100529;0,153439153439153;0,0423280423280423;0,0158730158730159;0;0;0,0158730158730159;0,0211640211640212;0,0317460317460317
"Leroy_i13";0;0;0;0;0,0615384615384615;0,0153846153846154;0;0,661538461538462;0;0;0,0153846153846154;0;0,0923076923076923;0,0615384615384615;0,0153846153846154;0;0,0153846153846154;0;0;0,0615384615384615
"Leroy_i14";0;0;0;0,0307692307692308;0,0153846153846154;0;0,0153846153846154;0,415384615384615;0;0;0,0153846153846154;0;0,323076923076923;0,0307692307692308;0,0153846153846154;0,0615384615384615;0,0153846153846154;0,0153846153846154;0;0,0461538461538462
"Leroy_i15";0;0;0;0,0212765957446809;0,0425531914893617;0;0;0,468085106382979;0;0;0,0212765957446809;0;0,191489361702128;0,0851063829787234;0,0851063829787234;0,0425531914893617;0;0;0;0,0425531914893617
"Leroy_i16";0;0;0;0;0;0,0111111111111111;0;0,511111111111111;0;0;0,0444444444444444;0;0,277777777777778;0,0444444444444444;0;0,0333333333333333;0,0333333333333333;0,0111111111111111;0;0,0333333333333333
"Leroy_i17";0;0;0;0;0,0792682926829268;0,0365853658536585;0;0,426829268292683;0;0,00609756097560976;0,0365853658536585;0,0365853658536585;0,189024390243902;0,103658536585366;0;0,0182926829268293;0,00609756097560976;0,0365853658536585;0,00609756097560976;0,0182926829268293
"Leroy_i18";0;0;0;0;0,0759493670886076;0,0506329113924051;0;0,5;0;0,0253164556962025;0,0379746835443038;0,0126582278481013;0,0886075949367089;0,145569620253165;0,0126582278481013;0,0126582278481013;0,00632911392405063;0,0253164556962025;0;0,00632911392405063
"Leroy_i19";0,028735632183908;0;0;0;0,0114942528735632;0,0402298850574713;0;0,517241379310345;0;0,00574712643678161;0,0172413793103448;0,0862068965517241;0,137931034482759;0,0919540229885057;0,0344827586206897;0,0114942528735632;0,00574712643678161;0,0114942528735632;0;0
"Leroy_i20";0;0;0;0,010752688172043;0,0376344086021505;0,032258064516129;0;0,548387096774194;0;0,0161290322580645;0,0537634408602151;0,021505376344086;0,0967741935483871;0,0967741935483871;0,043010752688172;0,0161290322580645;0,010752688172043;0,0161290322580645;0;0
"Leroy_i21";0;0;0;0;0,0265957446808511;0,0319148936170213;0;0,5;0;0;0,0212765957446809;0,0106382978723404;0,212765957446809;0,111702127659574;0,00531914893617021;0,0159574468085106;0;0,0585106382978723;0;0,00531914893617021
"Leroy_i22";0;0,0126582278481013;0;0;0,10126582278481;0;0;0,189873417721519;0;0;0,0759493670886076;0;0,151898734177215;0,0379746835443038;0;0;0;0,0253164556962025;0;0,40506329113924
"Leroy_i23";0,0518518518518519;0;0;0,0037037037037037;0,0148148148148148;0,0185185185185185;0;0,596296296296296;0;0;0,0222222222222222;0,0518518518518519;0,0777777777777778;0,12962962962963;0,0148148148148148;0,00740740740740741;0;0,0111111111111111;0;0
"Leroy_i24";0,00813008130081301;0,032520325203252;0;0,016260162601626;0,0894308943089431;0,00813008130081301;0;0,317073170731707;0;0;0,0894308943089431;0,024390243902439;0,203252032520325;0,056910569105691;0;0,00813008130081301;0,00813008130081301;0,0731707317073171;0;0,0650406504065041
"Leroy_i25";0,00429184549356223;0;0;0;0,0214592274678112;0,0300429184549356;0;0,527896995708155;0,00429184549356223;0,0128755364806867;0,0300429184549356;0,0214592274678112;0,137339055793991;0,133047210300429;0,0128755364806867;0,0128755364806867;0;0,0343347639484979;0;0,0171673819742489
"Leroy_j1";0;0;0,00436681222707424;0,00873362445414847;0,248908296943231;0,00873362445414847;0,109170305676856;0,0436681222707424;0;0,00436681222707424;0,00436681222707424;0,0174672489082969;0,074235807860262;0;0,462882096069869;0,00873362445414847;0;0;0;0,00436681222707424
"Leroy_j2";0;0;0,0172413793103448;0;0,120689655172414;0;0,241379310344828;0,0459770114942529;0;0,0114942528735632;0;0,0344827586206897;0,0632183908045977;0;0,448275862068966;0,00574712643678161;0,00574712643678161;0;0;0,00574712643678161
"Leroy_j3";0;0;0;0;0,394957983193277;0,00420168067226891;0,23109243697479;0,046218487394958;0;0,0210084033613445;0;0,0588235294117647;0,0672268907563025;0;0,163865546218487;0;0;0;0;0,0126050420168067
