;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
Kunes_a34;0,008130081;0,001883239;0,039215686;0,050862852;0;0,001795332;0;0;0;0,03699751;0;0,001478852;0,011456628;0;0,000236072;0;0
Kunes_a35;0,002079002;0,001006036;0,055739881;0,15990099;0;0,001313198;0;0;0;0,004119263;0;0,000653168;0,005876149;0;0,000521989;0;0
Kunes_a36;0,009873061;0,000606796;0,025125628;0,00680658;0;0,002775722;0;0;0;0,01058952;0,000594118;0,002355499;0,039074894;0;0;0;0
Kunes_a37;0;0,0006035;0,193510091;0,015013247;0;0,000778665;0;0;0;0,009051874;0,001054074;0,000579318;0,012826222;0;0,000308475;0;0
Kunes_a38;0,005347593;0,002132196;0,046604527;0,005808325;0;0,001878522;0;0;0;0,004770642;0,001330229;0,000304044;0,0341641;0;0,000241838;0;0
Kunes_a39;0,007559395;0,001054852;0,056873692;0,031543274;0;0,003981994;0;0;0;0,011909693;0,002823264;0,001379786;0,035731339;0;0;0;0
Kunes_a40;0,002181025;0,001069519;0,119022317;0,012976695;0;0,005279831;0;0;0;0,008426375;0,001340098;0,000964912;0,031733182;0;7,01311E-05;0;0
Kunes_a41;0,000533049;0;0,292950761;0,002124552;0;8,84877E-05;0;0;0;0,001061515;0,000723729;0,000221131;0,006694971;0;0;0;0
Kunes_a42;0,001680672;0,002386635;0,158415842;0,038357226;0;0,004865557;0;0;0;0,013581566;0;0;0,00890034;0;0,000405556;0;0
Kunes_a43;0,000855432;0,000422297;0,023549201;0,026017625;0;0,002233389;0;0;0;0,00367893;0,000151987;0,00027859;0,057273253;0;0,00011139;0;0
Kunes_a44;0,000942507;0;0,019595645;0,021901212;0;0,001396215;0;0;0;0,002603682;0;0,000387357;0,060350375;0;0,001053349;0;0
Kunes_a45;0;0,001510004;0,017004251;0,025238362;0;0,001863586;0;0;0;0,003345974;6,75722E-05;0,000433463;0,057431853;0;0,000940641;0;0
Kunes_a46;0;0,000401929;0,014569537;0,019755038;0;0,001833421;0;0;0;0,011498748;0,000284273;0,000390676;0,052508261;0;0;0;0
Kunes_a47;0;0;0,021640827;0,115626512;0;0,002093398;0;0;0;0,003570739;0;0,000562791;0,03057287;0;0,000385802;0;0
Kunes_a48;0,001552795;0;0,032367973;0,050625;0;0,002650897;0;0;0;0,014196343;0;0;0,025027604;0;0,000159084;0;0
Kunes_a49;0,001109878;0;0,027614774;0,01309371;0;0,000848752;0;0;0;0,010624304;0;0,000841822;0,050166964;0;0,000201708;0;0
Kunes_a50;0,004846527;0;0,030554343;0,03357851;0;0,003750781;0;0;0;0,016087437;0,000111371;0,00020377;0,027133602;0;0;0;0
Kunes_a51;0;0,001381216;0,075225225;0,010695187;0;0,003306878;0;0;0,000145943;0,056007345;0,000119104;0,00021815;0,002917505;0;0;0;0
Kunes_a52;0,001639344;0,003888025;0,133027523;0,039423806;0;0,003508772;0;0;0;0,010755901;0;0,000248571;0,016968585;0;0,000297796;0;0
Kunes_a53;0;0,003723008;0,132547864;0,028194801;0;0,004369993;0;0;0;0,016823785;0,00013177;0,000120729;0,017934722;0;0;0;0
Kunes_a54;0,007207207;0;0,124201973;0,024273949;0;0,005755396;0;0;0;0,015487868;0,000156372;0,000286574;0,021816739;0;0,000343603;0;0
Kunes_a55;0,000866552;0,005441607;0,142935982;0,036427248;0;0,003274662;0;0;0;0,014671122;0;6,78472E-05;0,013897584;0;0,000975927;0;0
