"";"Abies";"Acer campestre-type";"Artemisia";"Betula";"Carpinus";"Chenopodiaceae/Amaranthaceae";"Corylus";"Cyperaceae";"Fagus";"Filipendula";"Fraxinus";"Helianthemum";"Hippophae rhamnoides";"Juniperus";"Picea";"Pinus";"Poaceae";"Quercus robur-type";"Rumex";"Thalictrum";"Ulmus"
"AlbaSanchez_a18";0,206896551724138;0;0,00689655172413793;0;0;0,0137931034482759;0,00689655172413793;0;0;0;0;0;0;0,0344827586206897;0;0,668965517241379;0,0275862068965517;0,0344827586206897;0;0;0
"AlbaSanchez_a19";0,583732057416268;0;0;0;0;0,00956937799043062;0;0;0;0;0;0;0;0,0334928229665072;0;0,344497607655502;0,00956937799043062;0,0191387559808612;0;0;0
"AlbaSanchez_a20";0,356687898089172;0;0;0;0;0,0382165605095541;0;0;0;0;0;0;0;0,089171974522293;0;0,490445859872611;0,00636942675159236;0,0191082802547771;0;0;0
"AlbaSanchez_a21";0,647398843930636;0;0;0;0;0;0;0;0;0;0;0;0;0,0173410404624277;0;0,329479768786127;0;0,00578034682080925;0;0;0
"AlbaSanchez_a23";0,0373831775700935;0;0;0,00934579439252336;0;0,0186915887850467;0;0;0;0;0;0;0;0,11214953271028;0;0,710280373831776;0,0467289719626168;0,0654205607476635;0;0;0
"AlbaSanchez_a25";0,795454545454545;0;0;0;0;0,00909090909090909;0;0;0;0;0;0;0;0,00454545454545455;0;0,177272727272727;0,00909090909090909;0,00454545454545455;0;0;0
"AlbaSanchez_a26";0;0;0;0;0;0,024390243902439;0;0;0;0;0;0;0;0,170731707317073;0;0,780487804878049;0,024390243902439;0;0;0;0
"AlbaSanchez_a27";0,0540540540540541;0;0;0;0;0,027027027027027;0;0;0;0;0;0;0;0,0135135135135135;0;0,851351351351351;0,0405405405405405;0,0135135135135135;0;0;0
"AlbaSanchez_a28";0,209039548022599;0;0;0;0;0,00564971751412429;0;0;0;0;0;0;0;0,00564971751412429;0;0,774011299435028;0;0,00564971751412429;0;0;0
"AlbaSanchez_a29";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0273224043715847;0;0,972677595628415;0;0;0;0;0
"AlbaSanchez_a30";0,0531400966183575;0;0;0;0;0;0;0,00483091787439614;0;0;0;0;0;0;0;0,942028985507246;0;0;0;0;0
"AlbaSanchez_a31";0;0;0;0;0;0;0;0;0;0;0;0;0;0,012987012987013;0;0,779220779220779;0,12987012987013;0,0779220779220779;0;0;0
"AlbaSanchez_a32";0,727272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,268595041322314;0,00413223140495868;0;0;0;0
"AlbaSanchez_a33";0,699570815450644;0;0;0;0;0;0;0;0;0;0;0;0;0,0429184549356223;0;0,244635193133047;0,0128755364806867;0;0;0;0
"AlbaSanchez_a34";0,0906040268456376;0;0;0;0;0,00335570469798658;0;0;0;0;0;0;0;0,00335570469798658;0;0,902684563758389;0;0;0;0;0
"AlbaSanchez_a35";0,248387096774194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,72258064516129;0,0161290322580645;0,0129032258064516;0;0;0
"AlbaSanchez_a36";0,0339943342776204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,960339943342776;0,0056657223796034;0;0;0;0
"AlbaSanchez_a37";0,115044247787611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,380530973451327;0,15929203539823;0,345132743362832;0;0;0
"AlbaSanchez_a38";0,536842105263158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,431578947368421;0,0210526315789474;0,0105263157894737;0;0;0
