"";"Abies";"Acer.campestre.type";"Alnus";"Apiaceae";"Armeria.type";"Artemisia";"Asteraceae.subf..Cichorioideae";"Asteraceae.subf..Asteroideae";"Betula";"Boraginaceae";"Botrychium";"Brassicaceae";"Buxus";"Calluna.vulgaris";"Campanulaceae";"Carpinus";"Caryophyllaceae..periporate.excl..Paronychioideae.";"Cedrus";"Centaurea";"Chenopodiaceae.Amaranthaceae";"Corylus";"Cyperaceae";"Dipsacaceae";"Ephedra";"Ericaceae";"Euphorbia";"Fagaceae";"Fagus";"Filipendula";"Fraxinus";"Hedera";"Helianthemum";"Hippophae.rhamnoides";"Juniperus";"Lamiaceae";"Olea.europaea";"Picea";"Pinus";"Plantago";"Plantago.lanceolata.type";"Poaceae";"Polygonum";"Quercus.robur.type";"Quercus.ilex.type";"Ranunculaceae";"Rosaceae";"Rubiaceae";"Rumex";"Salix";"Saxifraga";"Scrophulariaceae";"Thalictrum";"Thymelaeaceae";"Tilia";"Ulmus";"Urticaceae"
"Barboni_a1118";0,0233644859813084;0;0,00934579439252337;0,02803738317757;0;0,00467289719626167;0;0,0233644859813084;0;0;0;0,00467289719626167;0;0;0;0;0;0,00467289719626167;0;0,0186915887850467;0,00934579439252337;0,0186915887850467;0;0;0;0,00934579439252337;0;0;0;0;0,00467289719626167;0;0;0;0;0,149532710280374;0;0,191588785046729;0,0467289719626167;0;0,074766355140187;0;0;0,336448598130841;0,00934579439252337;0;0,00467289719626167;0,02803738317757;0;0;0;0;0;0;0;0
"Barboni_a1119";0;0;0;0;0;0;0,0161290322580645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0322580645161291;0;0,887096774193548;0;0;0,0161290322580645;0;0;0,0483870967741935;0;0;0;0;0;0;0;0;0;0;0;0
"Barboni_a1120";0,0185185185185185;0;0;0,0231481481481481;0;0;0,00462962962962963;0,0277777777777777;0;0;0;0,00925925925925926;0;0;0;0;0;0,00462962962962963;0;0,0185185185185185;0;0,0324074074074073;0;0,00925925925925926;0;0,00462962962962963;0;0;0;0;0;0;0;0;0,00462962962962963;0,268518518518518;0;0,115740740740741;0,0231481481481481;0;0,101851851851852;0;0;0,263888888888889;0,00462962962962963;0;0,00462962962962963;0,0555555555555555;0,00462962962962963;0;0;0;0;0;0;0
"Barboni_a1121";0,072463768115942;0;0;0,0144927536231884;0;0;0;0,0869565217391304;0;0;0;0;0;0;0;0;0;0,0144927536231884;0;0,0144927536231884;0;0,0144927536231884;0;0;0,0144927536231884;0,0289855072463767;0;0;0;0;0;0;0;0;0;0,188405797101449;0;0,246376811594203;0,0144927536231884;0;0,072463768115942;0,0144927536231884;0;0,130434782608696;0;0;0;0,072463768115942;0;0;0;0;0;0;0;0
"Barboni_a1122";0,0211081794195251;0;0,00791556728232189;0,0131926121372032;0;0;0,0105540897097625;0,0606860158311345;0;0;0;0,0131926121372032;0;0;0;0;0;0,0131926121372032;0;0,00263852242744064;0,00263852242744064;0,00791556728232189;0;0,00263852242744064;0;0;0;0;0;0;0;0;0;0;0;0,197889182058048;0;0,192612137203166;0,0211081794195251;0;0,134564643799472;0;0;0,224274406332454;0;0;0;0,0738786279683378;0;0;0;0;0;0;0;0
"Barboni_a1123";0,0227848101265822;0;0,00253164556962026;0,0126582278481013;0;0;0,0481012658227848;0,0632911392405063;0;0;0;0;0;0;0;0;0;0;0;0,00759493670886076;0;0,0050632911392405;0;0;0;0;0;0;0;0;0;0,0050632911392405;0;0;0;0,154430379746835;0;0,0607594936708861;0,010126582278481;0;0,405063291139241;0;0;0,136708860759494;0;0;0;0,0658227848101267;0;0;0;0;0;0;0;0
"Barboni_a1124";0,0526315789473684;0;0,0075187969924812;0,0075187969924812;0;0,0150375939849624;0,0827067669172932;0,037593984962406;0;0;0;0,0150375939849624;0;0;0;0;0;0;0,0075187969924812;0,0075187969924812;0;0,0075187969924812;0;0;0,0150375939849624;0;0;0;0;0;0;0;0;0;0;0,142857142857143;0;0,285714285714286;0,0075187969924812;0,0150375939849624;0,0827067669172932;0;0;0,0225563909774437;0;0;0,0902255639097744;0,0902255639097744;0;0;0;0;0,0075187969924812;0;0;0
"Barboni_a1125";0,0618556701030928;0;0,0154639175257732;0,0360824742268041;0;0,0154639175257732;0,0154639175257732;0,0309278350515465;0;0;0;0,00515463917525774;0;0;0;0;0;0,0154639175257732;0;0,0154639175257732;0;0,0257731958762887;0;0,0103092783505155;0;0,0103092783505155;0;0;0;0;0;0;0;0;0;0,170103092783505;0;0,304123711340206;0,0515463917525774;0;0;0;0;0,164948453608248;0;0;0;0,0515463917525774;0;0;0;0;0;0;0;0
"Barboni_a1126";0,0361990950226245;0;0,00452488687782805;0,0135746606334842;0;0;0,00452488687782805;0,0452488687782805;0;0;0;0,0135746606334842;0;0;0;0;0;0;0,00452488687782805;0;0;0;0;0,00452488687782805;0;0;0;0;0;0;0;0;0;0;0;0,117647058823529;0;0,0814479638009049;0;0,0090497737556561;0,452488687782805;0;0;0,185520361990951;0;0;0,00452488687782805;0,0226244343891403;0;0;0;0;0;0;0;0
"Barboni_a1127";0,0600961538461538;0;0,0120192307692308;0,03125;0;0,00240384615384615;0,0336538461538461;0,25;0;0;0;0,0168269230769231;0;0;0;0;0;0,00240384615384615;0,00240384615384615;0;0;0,00480769230769231;0;0;0;0;0;0;0;0;0;0,00240384615384615;0;0;0;0,0745192307692308;0;0,0216346153846154;0,014423076923077;0;0,331730769230769;0;0;0,103365384615385;0;0;0;0,0360576923076922;0;0;0;0;0;0;0;0
