"";"Abies";"Acer campestre-type";"Alnus";"Armeria-type";"Artemisia";"Betula";"Boraginaceae";"Botrychium";"Buxus";"Calluna vulgaris";"Carpinus betulus";"Caryophyllaceae (periporate excl. Paronychioideae)";"Cedrus";"Centaurea";"Chenopodiaceae/Amaranthaceae";"Asteraceae subf. Asteroideae";"Asteraceae subf. Cichorioideae";"Corylus";"Crassulaceae";"Brassicaceae";"Cyperaceae";"Dipsacaceae";"Ephedra";"Ericaceae";"Fagus";"Filipendula";"Fraxinus";"Gentianaceae";"Poaceae";"Hedera";"Helianthemum";"Hippophae rhamnoides";"Ilex";"Juniperus";"Osmunda regalis";"Picea";"Pinus";"Plantago";"Plantago lanceolata-type";"Polygonum";"Polypodium";"Populus";"Potamogeton";"Quercus ilex-type";"Quercus robur-type";"Ranunculaceae";"Ranunculus-type";"Rhamnus";"Rosaceae";"Rubiaceae";"Rumex";"Salix";"Saxifraga";"Scrophulariaceae";"Selaginella";"Taxus";"Thalictrum";"Tilia";"Ulmus";"Valeriana"
"Montanari_a3";0;0,00884955752212389;0,0490748189863234;0;0,0587288817377313;0,0353982300884956;0;0;0;0;0;0,00321802091713596;0;0;0,0466613032984714;0,0136765888978278;0;0,0458567980691875;0;0;0,00241351568785197;0;0;0,00321802091713596;0,00080450522928399;0,00321802091713596;0,0353982300884956;0;0,45776347546259;0;0;0;0;0;0;0,0112630732099759;0,0884955752212389;0,0136765888978278;0,0201126307320998;0,00080450522928399;0;0;0;0;0,0522928399034594;0;0;0;0,0168946098149638;0,00482703137570394;0,00160901045856798;0,0176991150442478;0;0,00643604183427192;0;0;0;0,00160901045856798;0;0
"Montanari_a4";0,00515463917525773;0,00824742268041237;0,0989690721649484;0;0,0103092783505155;0,0443298969072165;0;0;0;0;0;0,00206185567010309;0,00103092783505155;0;0,0247422680412371;0,0804123711340206;0;0,0597938144329897;0;0,00103092783505155;0,00103092783505155;0;0;0;0;0;0,0288659793814433;0;0,38659793814433;0;0;0;0;0;0;0,011340206185567;0,123711340206186;0,00927835051546392;0,00206185567010309;0;0;0;0;0;0,0412371134020619;0;0;0;0,0206185567010309;0,00618556701030928;0;0,0309278350515464;0;0,00103092783505155;0;0;0;0,00103092783505155;0;0
"Montanari_a5";0,000827129859387924;0,021505376344086;0,0645161290322581;0;0,00578990901571547;0,0372208436724566;0,00165425971877585;0;0;0,0033085194375517;0;0,00165425971877585;0;0;0,00992555831265509;0,010752688172043;0;0,0521091811414392;0;0;0;0,000827129859387924;0;0,010752688172043;0,000827129859387924;0,0033085194375517;0,0190239867659222;0;0,304383788254756;0;0;0;0;0;0;0,0306038047973532;0,299421009098428;0,00413564929693962;0,00496277915632754;0,0165425971877585;0;0;0;0;0,0223325062034739;0;0;0;0,0231596360628619;0,00248138957816377;0;0,0380479735318445;0;0,0033085194375517;0;0;0;0,00661703887510339;0;0
"Montanari_a6";0,000797448165869219;0,00478468899521531;0,0422647527910686;0;0,00717703349282297;0,0390749601275917;0,00159489633173844;0;0;0,00159489633173844;0,000797448165869219;0,00239234449760766;0;0;0,00797448165869218;0,00558213716108453;0;0,0350877192982456;0;0,000797448165869219;0;0;0;0,0159489633173844;0,00239234449760766;0,0103668261562998;0,00239234449760766;0;0,385167464114833;0;0;0;0;0;0;0,0677830940988836;0,284688995215311;0,0127591706539075;0,00318979266347687;0,00956937799043062;0;0;0;0;0,00159489633173844;0,000797448165869219;0;0;0,0215311004784689;0,00318979266347687;0,0119617224880383;0,0119617224880383;0;0;0;0;0;0,00478468899521531;0;0
"Montanari_a7";0;0,0161463939720129;0,0710441334768568;0;0,06243272335845;0,0484391819160387;0,00107642626480086;0;0;0;0;0,00107642626480086;0;0;0,0150699677072121;0,00968783638320775;0;0,0645855758880517;0;0;0,00215285252960172;0;0;0,00215285252960172;0,00215285252960172;0,0118406889128095;0,046286329386437;0;0,284176533907427;0;0;0;0;0;0;0,046286329386437;0,280947255113025;0;0,00322927879440258;0,00538213132400431;0;0;0;0;0,00538213132400431;0,00322927879440258;0;0;0;0,00322927879440258;0;0,0139935414424112;0;0;0;0;0;0;0;0
"Montanari_a8";0;0,0171277997364954;0,0909090909090909;0;0,0118577075098814;0,0303030303030303;0;0;0;0;0;0,00263504611330698;0;0;0,0869565217391304;0,0237154150197628;0;0,0447957839262187;0;0;0;0;0;0;0,00263504611330698;0,00395256916996047;0,0316205533596838;0;0,231884057971014;0;0;0;0;0;0;0,0764163372859025;0,283267457180501;0,00395256916996047;0,00263504611330698;0,0118577075098814;0;0;0;0;0,00395256916996047;0,00395256916996047;0;0;0,0105401844532279;0,0118577075098814;0,00527009222661397;0,00790513833992095;0;0;0;0;0;0;0;0
"Montanari_a9";0;0,013351134846462;0,149532710280374;0;0,0293724966622163;0,0534045393858478;0;0;0;0;0;0;0,00133511348464619;0;0,00801068090787717;0,00801068090787717;0;0,0600801068090788;0;0,00267022696929239;0;0;0;0;0,00400534045393859;0,00667556742323097;0,0200267022696929;0;0,229639519359146;0;0;0;0;0;0;0,0881174899866489;0,23497997329773;0,0106809078771696;0,00801068090787717;0,00534045393858478;0;0;0;0;0,00934579439252336;0,0226969292389853;0;0;0,00534045393858478;0,00400534045393859;0;0,0240320427236315;0;0;0;0;0;0,00133511348464619;0;0
"Montanari_a10";0,00147058823529412;0,0235294117647059;0,0352941176470588;0;0,0264705882352941;0,0205882352941176;0;0;0;0,00147058823529412;0;0;0;0;0,0529411764705882;0;0;0,0117647058823529;0;0,00588235294117647;0;0;0;0,00735294117647059;0,00294117647058824;0,00735294117647059;0,00882352941176471;0;0,316176470588235;0;0;0;0;0;0;0,0205882352941176;0,145588235294118;0,0102941176470588;0;0,0279411764705882;0;0;0;0;0,00294117647058824;0;0;0;0,114705882352941;0,00147058823529412;0,00735294117647059;0,145588235294118;0;0;0;0;0;0;0,00147058823529412;0
"Montanari_a11";0,00130890052356021;0;0,136125654450262;0;0,0196335078534031;0,0209424083769634;0;0;0;0,00261780104712042;0;0,00130890052356021;0,00130890052356021;0;0,00654450261780105;0,0104712041884817;0;0,00261780104712042;0;0;0;0;0;0,00392670157068063;0;0,0143979057591623;0,00392670157068063;0;0,100785340314136;0;0;0;0;0;0;0,221204188481675;0,422774869109948;0,00654450261780105;0;0,00130890052356021;0;0;0;0;0,00130890052356021;0;0;0;0,00654450261780105;0;0;0,0130890052356021;0;0;0;0;0;0;0,00130890052356021;0
"Montanari_a12";0;0;0,230421686746988;0;0,0210843373493976;0,0240963855421687;0;0;0;0;0;0;0;0;0,00451807228915663;0,0120481927710843;0;0,00451807228915663;0;0,00150602409638554;0,00150602409638554;0;0;0,00301204819277108;0;0,0135542168674699;0,00753012048192771;0;0,192771084337349;0;0;0;0;0;0;0,156626506024096;0,268072289156627;0,00753012048192771;0;0,00602409638554217;0;0;0;0;0;0;0;0;0,0180722891566265;0;0;0,0271084337349398;0;0;0;0;0;0;0;0
