depth	min	max	median	mean
868	37364	40060	38719	38705
869	37411	40115	38789	38771
870	37463	40179	38857	38837
871	37520	40262	38927	38902
872	37562	40344	39000	38967
873	37605	40431	39063	39032
874	37646	40521	39132	39098
875	37677	40642	39186	39163
876	37734	40716	39261	39229
877	37788	40784	39325	39294
878	37845	40867	39391	39360
879	37885	40955	39459	39426
880	37931	41053	39526	39492
881	37985	41125	39586	39556
882	38030	41196	39651	39620
883	38075	41304	39718	39684
884	38117	41400	39779	39748
885	38163	41508	39835	39812
886	38205	41561	39901	39877
887	38256	41626	39966	39943
888	38299	41682	40028	40008
889	38337	41762	40095	40073
890	38374	41845	40159	40138
891	38433	41895	40227	40202
892	38477	41961	40297	40267
893	38528	42028	40364	40331
894	38573	42123	40429	40395
895	38616	42215	40501	40460
896	38680	42263	40564	40525
897	38736	42324	40630	40590
898	38790	42399	40700	40656
899	38835	42473	40758	40721
900	38875	42561	40826	40787
901	38958	42617	40895	40853
902	39018	42667	40964	40919
903	39066	42735	41026	40985
904	39128	42802	41092	41051
905	39168	42868	41155	41117
906	39223	42918	41230	41182
907	39264	43001	41295	41248
908	39284	43067	41350	41313
909	39317	43138	41409	41378
910	39362	43231	41474	41443
