"","Longitude","Latitude","SampleName"
"145",60.07,59.5000202,"Antipina_a13"
"146",60.0708,59.49486,"Antipina_a14"
"147",25.34138889,42.74111111,"Atanassova_a1"
"148",25.3275,42.75555556,"Atanassova_a2"
"149",25.3275,42.76,"Atanassova_a3"
"150",25.34083333,42.72055556,"Atanassova_a4"
"151",25.33722222,42.72444444,"Atanassova_a5"
"152",25.34138889,42.74111111,"Atanassova_b1"
"153",25.3275,42.75555556,"Atanassova_b2"
"154",25.3275,42.76,"Atanassova_b3"
"155",25.34083333,42.72055556,"Atanassova_b4"
"156",25.33722222,42.72444444,"Atanassova_b5"
"157",25.34138889,42.74111111,"Atanassova_c1"
"158",25.3275,42.75555556,"Atanassova_c2"
"159",25.3275,42.76,"Atanassova_c3"
"160",25.34083333,42.72055556,"Atanassova_c4"
"161",25.33722222,42.72444444,"Atanassova_c5"
"162",25.3275,42.75555556,"Atanassova_d1"
"163",25.3275,42.76,"Atanassova_d2"
"164",25.32138,42.735,"Atanassova_e1"
"165",25.325,42.738,"Atanassova_e2"
"166",25.325,42.738,"Atanassova_e3"
"167",25.323,42.7244,"Atanassova_e4"
"168",25.323,42.7244,"Atanassova_e5"
"169",25.323,42.7244,"Atanassova_e6"
"170",25.3202,42.717,"Atanassova_e7"
"171",25.3202,42.717,"Atanassova_e8"
"172",25.3202,42.717,"Atanassova_e9"
"173",25.32138,42.735,"Atanassova_e10"
"174",25.32138,42.735,"Atanassova_e11"
"175",25.3258,42.746,"Atanassova_e12"
"176",25.3258,42.746,"Atanassova_e13"
"177",25.3258,42.746,"Atanassova_e14"
"178",25.3258,42.746,"Atanassova_e15"
"179",25.325,42.738,"Atanassova_e16"
"180",25.325,42.738,"Atanassova_e17"
"181",30.401436,37.591179,"Bakker_a1"
"182",30.297804,37.550905,"Bakker_a2"
"183",30.300453,37.546514,"Bakker_a3"
"184",30.290816,37.538868,"Bakker_a4"
"185",30.284311,37.5388,"Bakker_a5"
"186",30.368871,37.568253,"Bakker_a6"
"187",30.622577,37.566754,"Bakker_a7"
"188",30.385371,37.547705,"Bakker_a8"
"189",30.380378,37.591353,"Bakker_a9"
"190",30.41412,37.57448,"Bakker_a10"
"191",30.407665,37.566355,"Bakker_a11"
"192",30.40911,37.56973,"Bakker_a12"
"193",30.393515,37.589715,"Bakker_a13"
"194",30.40608,37.585288,"Bakker_a14"
"195",30.39121,37.589223,"Bakker_a15"
"196",30.403755,37.58995,"Bakker_a16"
"197",30.47396667,37.66001667,"Bakker_b1"
"198",30.4046,37.5628,"Bakker_b2"
"199",30.39715,37.57375,"Bakker_b3"
"200",30.5527,37.628,"Bakker_b4"
"201",30.50831667,37.66738333,"Bakker_b5"
"202",30.50853333,37.66811667,"Bakker_b6"
"203",30.51231667,37.6785,"Bakker_b7"
"204",30.57888333,37.58068333,"Bakker_b8"
"205",30.59471667,37.56091667,"Bakker_b9"
"206",30.51373333,37.68508333,"Bakker_b10"
"207",30.51741667,37.68305,"Bakker_b11"
"208",30.5904,37.57988333,"Bakker_b12"
"209",30.52795,37.67551667,"Bakker_b13"
"210",30.4995,37.63625,"Bakker_b14"
"211",30.72546667,37.62201667,"Bakker_b15"
"212",30.51546667,37.67526667,"Bakker_b16"
"213",30.55915,37.62145,"Bakker_b17"
"214",30.56026667,37.56605,"Bakker_b18"
"215",30.57618333,37.551,"Bakker_b19"
"216",30.57835,37.54915,"Bakker_b20"
"217",30.5998,37.55323333,"Bakker_b21"
"218",30.65663333,37.62728333,"Bakker_b22"
"219",30.4737,37.64191667,"Bakker_b23"
"220",30.50326667,37.63476667,"Bakker_b24"
"221",30.65485,37.63373333,"Bakker_b25"
"222",30.6594,37.6289,"Bakker_b26"
"223",30.65576667,37.62943333,"Bakker_b27"
"224",30.65711667,37.62881667,"Bakker_b28"
"225",30.66003333,37.63758333,"Bakker_b29"
"226",30.49423333,37.67836667,"Bakker_b30"
"227",30.55616667,37.58613333,"Bakker_b31"
"228",30.55986667,37.58135,"Bakker_b32"
"229",30.54671667,37.59021667,"Bakker_b33"
"230",30.51635,37.671017,"Bakker_b34"
"231",30.39943333,37.58123333,"Bakker_b35"
"232",30.40401667,37.58548333,"Bakker_b36"
"233",30.40216667,37.58045,"Bakker_b37"
"234",30.4037,37.58188333,"Bakker_b38"
"235",30.34693333,37.61971667,"Bakker_b39"
"236",30.33643333,37.61971667,"Bakker_b40"
"237",30.51018333,37.65943333,"Bakker_b41"
"238",30.5306,37.6806,"Bakker_b42"
"239",30.50373333,37.67705,"Bakker_b43"
"240",30.52738333,37.67708333,"Bakker_b44"
"241",30.49736667,37.63671667,"Bakker_b45"
"242",30.57835,37.55293333,"Bakker_b46"
"243",30.57936667,37.5498,"Bakker_b47"
"244",30.50788333,37.66731667,"Bakker_b48"
"245",30.58413333,37.55566667,"Bakker_b49"
"246",30.49498333,37.63465,"Bakker_b50"
"247",30.4954,37.63301667,"Bakker_b51"
"248",30.49288333,37.65836667,"Bakker_b52"
