depth	min	max	median	mean
312	18275	18876	18512	18538
313	18277	18883	18517	18542
314	18280	18887	18522	18546
315	18283	18891	18527	18550
316	18285	18894	18531	18554
317	18286	18899	18536	18558
318	18287	18905	18540	18563
319	18291	18909	18545	18567
320	18293	18915	18550	18571
321	18298	18917	18554	18575
322	18305	18919	18558	18579
323	18310	18923	18563	18583
324	18313	18928	18567	18587
325	18318	18932	18572	18591
326	18321	18936	18575	18595
327	18325	18940	18579	18599
328	18329	18944	18584	18603
329	18333	18947	18588	18607
330	18337	18950	18591	18611
331	18340	18953	18596	18615
332	18343	18958	18600	18619
333	18347	18962	18605	18623
334	18349	18966	18610	18627
335	18352	18969	18615	18631
336	18356	18976	18621	18635
337	18358	18978	18625	18639
338	18360	18984	18629	18643
339	18363	18987	18634	18647
340	18366	18991	18638	18651
341	18371	18995	18641	18655
342	18377	18997	18645	18659
343	18383	19002	18649	18663
344	18387	19004	18653	18667
345	18391	19006	18658	18672
346	18397	19014	18662	18676
347	18402	19016	18667	18680
348	18407	19020	18670	18684
349	18410	19021	18675	18688
350	18413	19024	18679	18692
351	18416	19029	18683	18696
352	18418	19034	18687	18700
353	18424	19038	18693	18704
354	18427	19040	18698	18708
355	18429	19044	18702	18713
356	18434	19046	18707	18717
357	18437	19048	18712	18721
358	18442	19052	18717	18725
359	18445	19056	18721	18729
360	18447	19061	18724	18733
361	18453	19064	18728	18737
362	18460	19067	18732	18741
363	18464	19069	18736	18745
364	18474	19072	18740	18749
365	18481	19077	18743	18754
366	18485	19079	18747	18758
367	18488	19084	18750	18762
368	18493	19087	18754	18766
369	18496	19090	18758	18770
370	18498	19094	18762	18774
371	18502	19097	18766	18778
372	18506	19100	18771	18782
373	18512	19104	18775	18786
374	18517	19109	18779	18790
375	18520	19113	18784	18795
376	18524	19117	18788	18799
377	18526	19120	18793	18803
378	18527	19126	18797	18807
379	18529	19131	18801	18811
380	18531	19137	18805	18815
381	18540	19141	18809	18819
382	18547	19144	18812	18823
383	18552	19150	18817	18827
384	18558	19152	18821	18832
385	18563	19156	18825	18836
386	18568	19159	18829	18840
387	18573	19163	18832	18844
388	18578	19167	18836	18848
389	18581	19173	18839	18852
390	18586	19177	18844	18856
391	18588	19179	18849	18860
392	18592	19183	18853	18864
393	18597	19188	18858	18868
394	18601	19191	18862	18873
395	18605	19192	18866	18877
396	18608	19201	18871	18881
397	18611	19208	18875	18885
398	18613	19213	18879	18889
399	18616	19222	18883	18893
400	18622	19228	18887	18897
401	18626	19231	18892	18901
402	18628	19234	18896	18905
403	18633	19238	18899	18909
404	18637	19240	18904	18913
405	18643	19243	18908	18917
406	18648	19248	18912	18921
407	18650	19253	18916	18925
408	18653	19256	18919	18929
409	18659	19260	18924	18933
410	18661	19262	18928	18937
411	18667	19266	18932	18941
412	18670	19268	18936	18945
413	18674	19271	18940	18949
414	18677	19277	18945	18953
415	18681	19280	18950	18957
416	18686	19287	18954	18961
417	18691	19296	18958	18965
418	18693	19305	18962	18969
419	18695	19311	18967	18973
420	18697	19318	18971	18977
421	18702	19320	18975	18981
422	18705	19322	18979	18985
423	18708	19324	18983	18989
424	18710	19327	18986	18993
425	18714	19331	18990	18997
426	18718	19334	18994	19001
427	18723	19339	18998	19005
428	18727	19345	19001	19009
429	18729	19351	19005	19013
430	18732	19357	19008	19017
431	18735	19362	19012	19021
432	18740	19367	19016	19025
433	18744	19369	19020	19029
434	18745	19372	19023	19033
435	18746	19376	19028	19037
436	18749	19387	19031	19041
437	18751	19392	19035	19045
438	18752	19400	19039	19049
439	18754	19405	19043	19053
440	18756	19412	19046	19057
441	18761	19415	19050	19061
442	18764	19419	19054	19064
443	18769	19420	19058	19068
444	18774	19423	19063	19072
445	18777	19426	19067	19076
446	18779	19431	19071	19080
447	18781	19432	19076	19084
448	18782	19441	19080	19088
449	18788	19446	19084	19091
450	18792	19451	19088	19095
451	18795	19454	19092	19099
452	18797	19458	19097	19103
453	18800	19462	19100	19107
454	18804	19467	19104	19111
455	18806	19471	19107	19114
456	18808	19477	19111	19118
457	18810	19483	19114	19122
458	18812	19487	19119	19126
459	18813	19493	19122	19130
460	18816	19500	19126	19134
461	18822	19505	19130	19138
462	18827	19510	19133	19142
463	18834	19513	19137	19146
464	18836	19521	19141	19150
465	18838	19524	19145	19154
466	18843	19527	19149	19157
467	18848	19532	19153	19161
468	18850	19536	19157	19165
469	18853	19540	19161	19169
470	18858	19546	19164	19173
471	18861	19551	19168	19177
472	18865	19556	19172	19181
473	18868	19560	19176	19185
474	18870	19563	19180	19189
475	18873	19570	19183	19193
476	18875	19577	19186	19197
477	18877	19584	19190	19201
478	18879	19587	19194	19205
479	18883	19594	19198	19209
480	18884	19598	19202	19213
481	18890	19601	19205	19217
482	18895	19604	19210	19221
483	18898	19607	19214	19225
484	18902	19612	19218	19229
485	18904	19617	19223	19233
486	18907	19621	19227	19237
