;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
65;X8666.08073035865;8666,08073;11,57100004;2,552603477;609,2;251,9669673;22,04;6,566956217;5,039999924;6,700565607;4747,2;3651,108178
66;X8818.255847903;8818,255848;11,57100004;2,509859715;609,2;269,1493335;22,04;6,193297386;5,039999924;6,474303105;4747,2;4104,517736
67;X8932.729377341;8932,729377;10,508;2,572818193;690,6;279,1083426;24,14;5,316666346;-0,52;5,730592283;7682,2;4487,029456
68;X9095.5056995528;9095,5057;11,54500004;2,483956782;793,2;283,7162539;20,6;5,926334513;5,799999924;6,189240614;8023,4;4490,891978
69;X9228.6227625647;9228,622763;11,35300004;2,516853632;721,8;276,1860527;21,84;6,519888958;4,679999924;6,808300733;5696,2;4153,343538
70;X9361.7398255766;9361,739826;11,57100004;2,519002418;609,2;257,4886059;22,04;6,92187097;5,039999924;7,060362422;4747,2;3661,951961
71;X9514.70729168878;9514,707292;8,018;2,561941179;859,4;267,0953258;22,88;4,370957209;-3,48;5,040966852;7382;3754,098027
72;X9649.44860162112;9649,448602;6,21133332;2,865409268;670,8;234,5751402;16,68;6,590386941;-1,239999924;9,519402771;7310,2;3511,778331
73;X9775.71546756191;9775,715468;-3,052;3,706236716;373,6;248,9009823;20,9;4,433709088;-28,04;5,899492331;4734,8;3844,394306
74;X9925.15896905591;9925,158969;-3,608;3,084888299;375,2;221,9735948;19,8;4,667618255;-26,66;5,929153658;6820,2;4156,223543
75;X10076.3207233397;10076,32072;-1,034;3,899133051;356,6;262,7398874;21,78;4,369349954;-25,58;6,890784737;4325,8;4093,833937
76;X10222.3638639586;10222,36386;-3,922;2,790758962;394;218,2300762;18,36;4,592881151;-26,16;5,214445124;7156,6;3996,718083
77;X10344.7198295307;10344,71983;-4,428;3,557979723;428,4;278,6132177;20,26;4,382095152;-29,82;5,997708676;5855;4413,122723
78;X10492.3310062848;10492,33101;-5,018;3,667697176;270,2;261,1290963;20,2;4,490563839;-31,02;6,128943471;3364,4;4121,221974
79;X10645.1886804398;10645,18868;-5,018;3,793694746;270,2;250,2341011;20,2;4,479221288;-31,02;6,145729841;3364,4;3852,773179
80;X10778.2892255159;10778,28923;-5,018;3,715929739;270,2;247,6870318;20,2;4,463311851;-31,02;6,095214631;3364,4;3813,11653
81;X10911.7575934957;10911,75759;-5,018;3,715729634;270,2;247,6870318;20,2;4,463311851;-31,02;6,095214631;3364,4;3813,11653
82;X11059.9007713531;11059,90077;-5,018;3,731045914;270,2;246,3571675;20,2;4,45774948;-31,02;6,105397733;3364,4;3799,650188
83;X11195.698684389;11195,69868;-5,018;3,766067055;270,2;246,3602665;20,2;4,447560205;-31,02;6,121056659;3364,4;3783,360971
84;X11348.03119663;11348,0312;-5,018;3,822853047;270,2;245,8562685;20,2;4,478746808;-31,02;6,17165911;3364,4;3775,917707
85;X11500.2810714531;11500,28107;-5,018;3,8774637;270,2;246,2064281;20,2;4,573878261;-31,02;6,233341613;3364,4;3772,194436
86;X11618.6674904573;11618,66749;-3,686;3,885724688;261,2;245,8770379;21,34;4,545864707;-28,5;6,171095331;2995,2;3765,895901
87;X11755.91867536;11755,91868;-5,018;3,767356229;270,2;245,9991804;20,2;4,460368949;-31,02;6,094514777;3364,4;3773,417738
88;X11903.6047341554;11903,60473;-4,592;3,593213228;292,2;246,4881977;20,8;4,388434287;-31,82;6,08598219;3629,2;3784,232535
89;X12055.9246565964;12055,92466;-4,398;3,672657308;275,8;246,6726951;21,72;4,415492892;-32,4;6,183661192;3342;3784,968167
90;X12207.5369878795;12207,53699;-4,398;3,698916276;275,8;246,9930612;21,72;4,440808361;-32,4;6,215664998;3342;3786,186391
91;X12322.3398266489;12322,33983;-4,398;3,735128499;275,8;251,9336794;21,72;4,418382788;-32,4;6,559943364;3342;3819,245864
92;X12473.9494990964;12473,9495;-3,75;3,593088041;283;252,1213701;22,16;4,447127903;-32,46;6,455396149;3393,8;3830,585798
93;X12620.623528163;12620,62353;-2,154;4,114891403;421,2;274,5887784;20,8;4,357251176;-25,94;7,434003215;4882,2;3979,983169
94;X12754.9643378634;12754,96434;-4,398;3,791355288;275,8;260,8067305;21,72;4,42372779;-32,4;6,917851339;3342;3892,784594
95;X12888.8084213165;12888,80842;-5,018;3,629832387;270,2;248,2416637;20,2;4,412370748;-31,02;6,192295761;3364,4;3808,667192
96;X13040.2811188993;13040,28112;-4,444;3,8523937;293,4;253,9037929;20,98;4,399721229;-31,84;6,799741724;3622,6;3855,326233
97;X13160.4224628467;13160,42246;-5,018;3,565875957;270,2;245,1127764;20,2;4,366197453;-31,02;5,907694718;3364,4;3773,087752
98;X13307.8686576911;13307,86866;-4,444;3,698580496;293,4;247,9567981;20,98;4,382152289;-31,84;6,262921111;3622,6;3834,451816
99;X13485.028517466;13485,02852;-4,444;3,70166147;293,4;249,8374133;20,98;4,397137213;-31,84;6,387211111;3622,6;3858,905796
100;X13640.6638124246;13640,66381;-2,014;4,354598677;347,4;254,9460739;21,24;4,357845623;-26,42;7,965043682;4251,8;3874,916547
101;X13841.9095104272;13841,90951;-2,016;4,470569983;348,4;272,3081171;21,24;4,438381411;-26,44;8,486415285;4272;4024,762007
102;X14037.2164831941;14037,21648;-2,014;3,960720069;347,4;258,6495339;21,24;4,394441327;-26,42;6,954428378;4251,8;4037,405499
103;X14232.051927661;14232,05193;-3,67;3,721795203;459,4;284,1274281;18,36;4,419455803;-25,86;7,117819205;5550,2;4106,393525
