"";"X";"X2";"optima";"mean";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"mean.1";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"mean.2";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"mean.3";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3";"mean.4";"X0.5_inf.4";"X0.5_sup.4";"X0.95_inf.4";"X0.95_sup.4"
"338";338;53713,94124;3,853853854;3,865221845;0,21021021;7,497497497;-6,936936937;14,78478478;722,4806055;348,3483483;728,7287287;172,1721722;1461,461461;20,1075894;16,12612613;24,08408408;8,468468468;31,89189189;-11,18216056;-18,10810811;-4,234234234;-31,62162162;9,099099099;9667,463716;5337,937938;12494,29429;0;18536,13614
"339";339;53895,8533;3,433433433;3,460969785;-0,21021021;7,217217217;-7,637637638;14,5045045;739,4490925;352,3523524;744,7447447;172,1721722;1505,505506;19,29157799;15,37537538;23,18318318;7,717717718;30,99099099;-11,13436611;-17,92792793;-4,234234234;-31,26126126;9,099099099;10384,1066;5748,548549;13432,83283;0;19943,94394
"340";340;54072,71225;2,872872873;2,87524763;-1,191191191;7,077077077;-9,319319319;15,20520521;710,1834831;324,3243243;704,7047047;156,1561562;1469,469469;19,45334185;15,52552553;23,48348348;7,717717718;31,14114114;-12,09770009;-19,36936937;-4,774774775;-33,6036036;9,459459459;10288,4664;5513,913914;13315,51552;0;19943,94394
"341";341;54214,1994;2,732732733;2,693831291;-1,471471471;6,936936937;-9,5995996;15,06506507;702,5239138;320,3203203;696,6966967;152,1521522;1461,461461;19,66517543;15,82582583;23,48348348;8,318318318;30,99099099;-12,2300445;-19,18918919;-5,135135135;-32,88288288;8,378378378;9943,809309;5220,620621;12787,58759;0;19416,01602
"342";342;54396,11147;9,64964965;9,642856537;8,528528529;10,63063063;6,426426426;12,87287287;872,1871504;554,954955;933,3333333;342,6426426;1515,615616;25,809512;23,34334334;28,38838839;18,43843844;33,29329329;2,366270333;0,810810811;4,014014014;-2,552552553;7,377377377;4389,398932;2194,594595;5798,198198;-400;8849,249249
"343";343;54552,75796;11,33133133;11,33310611;8,668668669;13,99399399;3,483483483;19,31931932;557,9619703;252,2522523;557,0570571;121,9219219;1164,564565;28,96052564;25,72572573;32,17217217;19,41941942;38,61861862;-0,476198626;-4,794794795;3,853853854;-13,44344344;12,34234234;4617,477421;1786,186186;5894,294294;-400;9834,234234
"344";344;54734,67003;13,57357357;13,56443418;10,21021021;16,93693694;3,483483483;23,52352352;467,0748089;189,1891892;454,0540541;84,08408408;1017,417417;30,19909915;26,98698699;33,43343343;20,54054054;39,73973974;-0,367736358;-5,115115115;4,334334334;-14,24424424;13,62362362;4331,033224;1618,018018;5509,90991;-400;9305,705706
"345";345;54871,10407;13,57357357;13,63712794;10,49049049;16,65665666;4,464464464;22,82282282;467,7912769;187,0870871;451,951952;84,08408408;1023,723724;30,31082576;27,26726727;33,43343343;21,1011011;39,45945946;-0,164941083;-4,314314314;3,853853854;-12,16216216;11,86186186;4075,359082;1521,921922;5197,597598;-400;8753,153153
"346";346;55073,22858;13,57357357;13,5799634;10,63063063;16,65665666;4,744744745;22,54254254;479,8885377;189,1891892;462,4624625;84,08408408;1059,459459;30,15337959;26,98698699;33,43343343;20,54054054;39,73973974;-0,062706375;-3,993993994;4,014014014;-11,84184184;11,86186186;4476,628908;1569,96997;5654,054054;-400;9690,09009
"347";347;55234,9282;13,43343343;13,49403416;10,35035035;16,51651652;4,324324324;22,54254254;469,7883923;191,2912913;456,1561562;86,18618619;1019,51952;30,03928069;26,84684685;33,15315315;20,68068068;39,45945946;-0,206740302;-4,314314314;3,853853854;-12,32232232;11,86186186;4207,013317;1738,138138;5437,837838;-400;8897,297297
"348";348;55411,78714;3,153153153;3,221699856;-0,770770771;7,077077077;-8,338338338;14,64464464;595,8808003;340,3403403;620,6206206;188,1881882;1109,109109;21,13621323;17,47747748;24,83483483;10,27027027;32,04204204;-12,05534321;-19,18918919;-4,954954955;-33,06306306;8,918918919;5827,877596;3226,226226;7508,308308;0;11145,14515
"349";349;55553,2743;2,312312312;2,257382639;-1,751751752;6,236236236;-9,459459459;14,08408408;664,1175957;312,3123123;664,6646647;152,1521522;1361,361361;19,84008046;15,97597598;23,78378378;8,318318318;31,29129129;-13,76358532;-20,99099099;-6,576576577;-34,86486486;7,297297297;10025,518;5337,937938;12904,9049;0;19474,67467
"350";350;55730,13325;2,312312312;2,302498367;-1,751751752;6,236236236;-9,459459459;14,08408408;681,8865543;320,3203203;680,6806807;160,1601602;1393,393393;19,55149357;15,52552553;23,48348348;7,867867868;31,29129129;-13,37691548;-20,63063063;-6,216216216;-34,5045045;7,657657658;10258,14404;5513,913914;13256,85686;0;19885,28529
"351";351;55891,83286;3,013013013;3,054932697;-0,910910911;7,077077077;-8,758758759;14,78478478;574,1217208;340,3403403;600,6006006;196,1961962;1045,045045;21,29342532;17,62762763;24,83483483;10,72072072;31,89189189;-12,23851253;-19,36936937;-4,954954955;-33,42342342;8,918918919;5338,998474;3050,25025;6863,063063;0;10089,28929
"352";352;56073,74492;2,872872873;2,936697093;-0,770770771;6,516516517;-7,917917918;13,8038038;995,9974739;640,6406406;1061,061061;396,3963964;1717,717718;18,06896466;14,77477477;21,23123123;8,468468468;27,68768769;-9,045266046;-14,68468468;-3,513513514;-25,67567568;7,477477477;11822,38238;7684,284284;15309,90991;1055,855856;21938,33834
"353";353;56230,39142;8,228228228;8,272163552;5,225225225;11,23123123;-0,780780781;17,23723724;819,2681906;437,2372372;840,8408408;235,4354354;1576,576577;24,05659212;20,36036036;27,92792793;12,97297297;35,31531532;-1,805674401;-6,236236236;2,702702703;-14,98498498;11,45145145;8716,109;4803,703704;11297,7978;-100;16731,63163
"354";354;56412,30348;2,312312312;2,362536349;-1,191191191;5,955955956;-8,198198198;12,82282282;759,8572725;364,3643644;764,7647648;180,1801802;1541,541542;19,10387778;15,22522523;22,88288288;7,717717718;30,39039039;-11,89090726;-18,28828829;-5,315315315;-30,9009009;7,297297297;10129,66213;5513,913914;13080,88088;0;19533,33333
"355";355;56568,94998;2,032032032;2,088882368;-1,471471471;5,675675676;-8,478478478;12,54254254;767,8006434;372,3723724;772,7727728;188,1881882;1549,54955;18,75958256;14,92492492;22,58258258;7,417417417;30,09009009;-12,17635742;-18,64864865;-5,675675676;-31,26126126;6,936936937;10441,70382;5983,183183;13550,15015;0;19826,62663
"356";356;56750,86204;2,452452452;2,39818674;-1,471471471;6,376376376;-9,319319319;14,08408408;715,4245462;336,3363363;716,7167167;168,1681682;1465,465465;19,16789036;15,22522523;23,18318318;7,267267267;30,99099099;-12,73708012;-19,90990991;-5,495495495;-33,96396396;8,558558559;10398,57064;5748,548549;13432,83283;0;19943,94394
"357";357;56912,56165;3,293293293;3,337844167;-0,770770771;7,357357357;-8,618618619;15,20520521;504,5647065;344,3443443;540,5405405;220,2202202;836,8368368;22,66295559;19,42942943;25,88588589;13,12312312;32,19219219;-12,01482847;-19,36936937;-4,774774775;-33,42342342;9,459459459;4385,082882;2874,274274;5631,231231;410,6106106;8153,553554
