"";"X.1";"X";"optima";"mean";"X0.5_inf";"X0.5_sup";"X0.95_inf";"X0.95_sup";"mean.1";"X0.5_inf.1";"X0.5_sup.1";"X0.95_inf.1";"X0.95_sup.1";"mean.2";"X0.5_inf.2";"X0.5_sup.2";"X0.95_inf.2";"X0.95_sup.2";"mean.3";"X0.5_inf.3";"X0.5_sup.3";"X0.95_inf.3";"X0.95_sup.3";"mean.4";"X0.5_inf.4";"X0.5_sup.4";"X0.95_inf.4";"X0.95_sup.4"
"544";544;52,9;5,825825826;5,765150956;2,522522523;8,978978979;-3,933933934;15,43543544;837,2992172;441,4414414;861,8618619;235,4354354;1627,027027;20,57374028;16,3963964;24,86486486;7,927927928;33,15315315;-6,416204244;-12,51251251;-0,34034034;-24,3043043;11,45145145;11412,02563;6460,36036;14809,90991;-100;21701,6016
"545";545;53,005;5,675675676;5,622219185;2,522522523;8,828828829;-3,783783784;14,98498498;836,2084873;441,4414414;857,6576577;235,4354354;1622,822823;20,43191476;16,21621622;24,5045045;7,927927928;32,79279279;-6,605060894;-12,51251251;-0,530530531;-24,11411411;11,07107107;11486,27964;6592,892893;14942,44244;-100;21767,86787
"546";546;53,205;6,276276276;6,22373739;3,123123123;9,279279279;-2,882882883;15,28528529;838,9001359;437,2372372;857,6576577;231,2312312;1631,231231;20,84448787;16,75675676;25,04504505;8,648648649;33,15315315;-5,810854308;-11,37137137;-0,15015015;-22,4024024;10,88088088;11361,17601;6394,094094;14743,64364;-100;21701,6016
"547";547;53,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"548";548;53,405;5,825825826;5,89464836;2,672672673;9,129129129;-3,633633634;15,43543544;838,5892802;437,2372372;857,6576577;231,2312312;1631,231231;20,65774648;16,3963964;24,86486486;8,108108108;33,15315315;-6,255643111;-12,32232232;-0,34034034;-24,11411411;11,45145145;11466,81729;6460,36036;14876,17618;-100;21900,4004
"549";549;53,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"550";550;53,605;5,975975976;5,968761742;2,672672673;9,129129129;-3,633633634;15,43543544;836,8230301;437,2372372;857,6576577;231,2312312;1627,027027;20,69885396;16,3963964;24,86486486;8,108108108;33,33333333;-6,151451935;-12,13213213;-0,15015015;-23,73373373;11,45145145;11412,29594;6460,36036;14809,90991;-100;21767,86787
"551";551;53,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"552";552;53,805;5,975975976;5,99350305;2,672672673;9,279279279;-3,933933934;15,88588589;830,6776863;441,4414414;853,4534535;235,4354354;1606,006006;20,77179624;16,3963964;25,22522523;7,747747748;33,69369369;-6,082458572;-12,32232232;0,04004004;-24,3043043;12,02202202;11202,30418;6261,561562;14544,84484;-100;21436,53654
"553";553;53,905;5,825825826;5,821765861;2,522522523;8,978978979;-3,783783784;15,28528529;837,9929288;445,6456456;861,8618619;235,4354354;1618,618619;20,53792242;16,21621622;24,68468468;7,927927928;33,15315315;-6,229560481;-12,13213213;-0,15015015;-23,73373373;11,45145145;11414,00184;6526,626627;14876,17618;-100;21701,6016
"554";554;54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"555";555;54,205;6,426426426;6,374801861;3,273273273;9,57957958;-2,882882883;15,73573574;835,9968183;433,033033;853,4534535;227,027027;1631,231231;20,98487115;16,75675676;25,22522523;8,288288288;33,51351351;-5,643353897;-11,37137137;0,23023023;-22,78278278;11,45145145;11316,24657;6261,561562;14677,37738;-100;21701,6016
"556";556;54,3;6,576576577;6,511298846;3,573573574;9,429429429;-2,132132132;15,28528529;842,3227872;445,6456456;866,0660661;239,6396396;1627,027027;20,87798111;16,75675676;25,04504505;8,648648649;33,15315315;-5,265140146;-10,61061061;0,04004004;-21,07107107;10,5005005;11269,80611;6460,36036;14677,37738;-100;21436,53654
"557";557;54,405;6,126126126;6,066190541;2,972972973;9,279279279;-3,183183183;15,43543544;839,6675697;437,2372372;857,6576577;231,2312312;1635,435435;20,76530826;16,57657658;24,86486486;8,468468468;33,15315315;-6,028360932;-11,75175175;-0,15015015;-22,97297297;11,07107107;11464,33594;6460,36036;14876,17618;-100;21900,4004
"558";558;54,5;5,825825826;5,8493236;2,822822823;8,828828829;-3,183183183;14,83483483;838,1761066;437,2372372;857,6576577;231,2312312;1635,435435;20,59236565;16,57657658;24,68468468;8,468468468;32,79279279;-6,346951752;-12,13213213;-0,720720721;-23,35335335;10,5005005;11536,49189;6592,892893;15008,70871;-100;21900,4004
"559";559;54,605;6,576576577;6,583420094;3,723723724;9,57957958;-2,132132132;15,28528529;844,7309664;437,2372372;861,8618619;231,2312312;1648,048048;21,08200257;17,11711712;25,22522523;9,189189189;33,15315315;-5,346673303;-10,61061061;0,04004004;-21,07107107;10,5005005;11377,32628;6394,094094;14743,64364;-100;21767,86787
"560";560;54,7;6,726726727;6,702925968;3,873873874;9,57957958;-1,681681682;15,13513514;846,0917847;445,6456456;870,2702703;235,4354354;1643,843844;21,05393832;16,93693694;25,04504505;9,009009009;32,97297297;-5,089846421;-10,23023023;0,23023023;-20,31031031;10,31031031;11301,69569;6394,094094;14677,37738;-100;21502,8028
"561";561;54,805;6,576576577;6,623206608;3,573573574;9,57957958;-2,432432432;15,58558559;841,0427426;433,033033;857,6576577;227,027027;1648,048048;21,18344098;17,11711712;25,22522523;9,009009009;33,33333333;-5,397257273;-10,99099099;0,04004004;-21,64164164;10,88088088;11374,51663;6261,561562;14743,64364;-100;21900,4004
"562";562;54,9;6,126126126;6,071539239;2,522522523;9,57957958;-4,234234234;16,48648649;840,3872438;437,2372372;861,8618619;231,2312312;1639,63964;20,83104927;16,57657658;25,04504505;8,288288288;33,51351351;-6,127164348;-12,32232232;0,04004004;-24,11411411;12,02202202;11652,37353;6394,094094;15141,24124;-100;22496,7968
"563";563;55,005;5,825825826;5,884737207;2,822822823;8,828828829;-3,183183183;14,83483483;841,2630973;445,6456456;866,0660661;239,6396396;1627,027027;20,49845643;16,3963964;24,68468468;8,288288288;32,61261261;-6,121015872;-11,75175175;-0,530530531;-22,78278278;10,5005005;11467,87146;6659,159159;14942,44244;-100;21701,6016
"564";564;55,205;5,825825826;5,808378466;2,522522523;9,129129129;-3,933933934;15,58558559;833,3796413;433,033033;853,4534535;231,2312312;1627,027027;20,6811658;16,3963964;25,04504505;7,927927928;33,33333333;-6,41482335;-12,51251251;-0,15015015;-24,49449449;11,83183183;11409,31064;6394,094094;14809,90991;-100;21834,13413
"565";565;55,3;6,426426426;6,397097606;3,123123123;9,57957958;-3,183183183;15,88588589;833,335676;433,033033;853,4534535;231,2312312;1627,027027;20,96014749;16,57657658;25,22522523;7,927927928;33,87387387;-5,572194746;-11,56156156;0,42042042;-23,16316316;12,02202202;11256,75877;6195,295295;14611,11111;-100;21635,33534
"566";566;55,405;5,675675676;5,638854666;2,372372372;8,828828829;-3,933933934;15,28528529;838,4654925;437,2372372;857,6576577;231,2312312;1635,435435;20,54969464;16,3963964;24,68468468;8,108108108;32,97297297;-6,656550343;-12,7027027;-0,530530531;-24,49449449;11,26126126;11539,71377;6592,892893;15008,70871;-100;21966,66667
