;X;X2;optima;mean;X0.5_inf;X0.5_sup;X0.95_inf;X0.95_sup;mean.1;X0.5_inf.1;X0.5_sup.1;X0.95_inf.1;X0.95_sup.1;mean.2;X0.5_inf.2;X0.5_sup.2;X0.95_inf.2;X0.95_sup.2;mean.3;X0.5_inf.3;X0.5_sup.3;X0.95_inf.3;X0.95_sup.3;mean.4;X0.5_inf.4;X0.5_sup.4;X0.95_inf.4;X0.95_sup.4
381;381;30490,28109;7,327327327;7,315481954;4,324324324;10,18018018;-1,381381381;16,03603604;692,5815093;496,0960961;744,1441441;336,3363363;1105,705706;21,25431283;16,75675676;25,58558559;8,108108108;34,41441441;-4,753930313;-10,61061061;0,990990991;-21,83183183;12,4024024;9073,564341;5135,035035;11761,66166;-100;17261,76176
382;382;30599,78132;7,477477477;7,542904105;4,624624625;10,48048048;-1,231231231;16,18618619;666,082092;496,0960961;718,9189189;344,7447447;1038,438438;21,51209432;16,93693694;25,94594595;8,108108108;34,77477477;-4,55747375;-10,42042042;1,371371371;-21,83183183;12,78278278;9195,051058;5135,035035;11960,46046;-100;17659,35936
383;383;30599,78132;2,032032032;2,014544617;-1,751751752;5,675675676;-9,039039039;12,96296296;717,9153814;312,3123123;704,7047047;148,1481481;1517,517518;18,89763932;15,22522523;22,43243243;8,168168168;29,48948949;-12,47483883;-18,64864865;-6,216216216;-30,72072072;5,855855856;11635,50529;5924,524525;14957,95796;0;22876,87688
384;384;30818,78178;1,751751752;1,750838516;-2,312312312;5,815815816;-10,44044044;13,8038038;693,1207869;308,3083083;684,6846847;144,1441441;1453,453453;19,19174585;15,37537538;23,03303303;7,867867868;30,54054054;-13,82382883;-20,99099099;-6,576576577;-35,04504505;7,297297297;10584,11738;5631,231231;13667,46747;0;20530,53053
385;385;30818,78178;5,975975976;5,953311701;2,822822823;8,978978979;-3,183183183;15,13513514;846,3564098;449,8498498;870,2702703;243,8438438;1631,231231;20,61667124;16,57657658;24,68468468;8,468468468;32,61261261;-6,129542387;-11,75175175;-0,34034034;-22,78278278;10,69069069;11267,52833;6460,36036;14611,11111;-100;21370,27027
386;386;30928,28201;7,327327327;7,326892645;4,324324324;10,33033033;-1,681681682;16,33633634;708,8739525;487,6876877;760,960961;315,3153153;1168,768769;21,11614124;16,57657658;25,76576577;7,567567568;34,77477477;-4,738687666;-10,61061061;0,990990991;-21,83183183;12,4024024;9379,256078;5400,1001;12159,25926;-100;17791,89189
387;387;31037,78224;1,891891892;1,943329427;-2,172172172;6,096096096;-10,3003003;14,08408408;726,8337194;332,3323323;720,7207207;160,1601602;1505,505506;18,39013032;14,77477477;22,13213213;7,567567568;29,18918919;-12,3048155;-19,18918919;-5,495495495;-32,52252252;7,837837838;11125,62443;6276,476476;14430,03003;0;21234,43443
388;388;31037,78224;7,027027027;6,985427546;4,174174174;9,87987988;-1,381381381;15,43543544;691,044954;504,5045045;744,1441441;344,7447447;1088,888889;20,97419009;16,75675676;25,22522523;8,288288288;33,51351351;-5,31460236;-11,18118118;0,42042042;-22,59259259;11,83183183;9526,326351;5532,632633;12424,32432;-100;17990,69069
389;389;31147,28247;6,876876877;6,854954656;3,873873874;9,87987988;-1,981981982;15,73573574;699,3569824;491,8918919;752,5525526;327,9279279;1135,135135;20,82773704;16,57657658;25,22522523;8,108108108;33,69369369;-5,736241161;-11,56156156;0,23023023;-23,16316316;11,64164164;9843,737199;5665,165165;12821,92192;-100;18719,61962
390;390;31256,7827;7,627627628;7,601039529;4,624624625;10,48048048;-1,231231231;16,33633634;658,2832586;491,8918919;706,3063063;344,7447447;1013,213213;21,7398515;17,2972973;26,30630631;8,468468468;34,95495495;-4,614559375;-10,23023023;1,181181181;-21,26126126;12,21221221;8634,43694;4869,96997;11231,53153;-100;16532,83283
391;391;31256,7827;5,525525526;5,591059087;2,372372372;8,678678679;-3,933933934;14,98498498;835,7497538;441,4414414;857,6576577;235,4354354;1618,618619;20,40174366;16,21621622;24,5045045;7,927927928;32,79279279;-6,639647513;-12,7027027;-0,720720721;-24,3043043;11,07107107;11313,12162;6526,626627;14677,37738;-100;21436,53654
392;392;31475,78315;7,627627628;7,679469103;4,774774775;10,63063063;-1,081081081;16,48648649;656,0119623;483,4834835;706,3063063;336,3363363;1021,621622;22,28181421;18,01801802;26,66666667;9,369369369;35,13513514;-4,781135514;-10,42042042;0,990990991;-21,64164164;12,02202202;8059,386526;4604,904905;10502,6026;-100;15340,04004
393;393;31475,78315;6,726726727;6,797746565;3,723723724;9,72972973;-2,132132132;15,73573574;677,6822655;483,4834835;727,3273273;323,7237237;1084,684685;20,92420766;16,57657658;25,40540541;7,747747748;34,05405405;-5,802104093;-12,13213213;0,42042042;-24,49449449;12,78278278;9214,917183;5201,301301;11960,46046;-100;17593,09309
394;394;31530,53327;2,172172172;2,171569664;-1,891891892;6,096096096;-9,5995996;13,8038038;683,2457582;304,3043043;676,6766767;144,1441441;1433,433433;19,64373472;15,82582583;23,33333333;8,468468468;30,84084084;-13,57293673;-20,45045045;-6,756756757;-33,78378378;6,576576577;9402,255853;5044,644645;12142,34234;0;18242,84284
395;395;31585,28338;7,627627628;7,580686592;4,624624625;10,63063063;-1,381381381;16,48648649;674,8316368;479,2792793;723,1231231;323,7237237;1084,684685;21,60345153;16,93693694;26,12612613;7,927927928;35,13513514;-4,507775703;-10,23023023;1,371371371;-21,45145145;12,59259259;8723,640934;4936,236236;11364,06406;-100;16665,36537
396;396;31640,0335;2,032032032;2,079067106;-2,032032032;6,096096096;-9,87987988;14,08408408;702,3797192;324,3243243;700,7007007;160,1601602;1449,449449;19,25526256;15,22522523;23,18318318;7,567567568;30,99099099;-13,30554461;-20,45045045;-6,036036036;-34,5045045;7,837837838;10154,82846;5513,913914;13139,53954;0;19591,99199
397;397;31694,78361;7,327327327;7,272726315;4,324324324;10,18018018;-1,381381381;15,88588589;673,8745365;508,7087087;727,3273273;357,3573574;1030,03003;20,76881369;16,21621622;25,22522523;7,387387387;34,23423423;-5,100600482;-10,99099099;0,610610611;-22,21221221;11,83183183;9372,769494;5333,833834;12159,25926;-100;17791,89189
398;398;31694,78361;7,177177177;7,18314397;4,474474474;9,87987988;-0,930930931;15,43543544;654,1488489;504,5045045;706,3063063;361,5615616;979,5795796;20,55398846;16,03603604;25,22522523;6,846846847;34,23423423;-5,362792569;-11,75175175;1,181181181;-24,49449449;13,92392392;8998,922351;5267,567568;11695,3954;-100;16996,6967
399;399;31749,53373;7,327327327;7,32543798;4,174174174;10,33033033;-1,831831832;16,48648649;683,2536311;483,4834835;735,7357357;319,5195195;1105,705706;21,32756924;16,75675676;25,94594595;7,747747748;34,77477477;-4,953978005;-10,99099099;1,181181181;-22,78278278;12,78278278;9356,58299;5201,301301;12159,25926;-100;17990,69069
400;400;31804,28384;7,477477477;7,416833406;4,324324324;10,48048048;-1,681681682;16,48648649;685,4168736;479,2792793;735,7357357;315,3153153;1118,318318;21,79292449;17,2972973;26,12612613;8,828828829;34,77477477;-4,94840809;-10,8008008;0,800800801;-22,02202202;12,21221221;8883,250257;5002,502503;11496,5966;-100;16930,43043
401;401;31859,03396;7,777777778;7,715798533;4,774774775;10,78078078;-1,081081081;16,63663664;683,3724738;483,4834835;735,7357357;319,5195195;1105,705706;21,83300709;17,2972973;26,30630631;8,468468468;35,13513514;-4,423244977;-10,23023023;1,561561562;-21,83183183;12,97297297;8837,39323;5068,768769;11496,5966;-100;16797,8979
402;402;31913,78407;6,876876877;6,896201526;3,723723724;10,18018018;-2,732732733;16,48648649;744,3601775;462,4624625;786,1861862;277,4774775;1320,12012;21,28105801;16,93693694;25,76576577;8,108108108;34,41441441;-5,369105726;-11,18118118;0,610610611;-22,59259259;12,02202202;9560,173275;5333,833834;12424,32432;-100;18322,02202
403;403;31913,78407;5,825825826;5,866207283;2,522522523;9,279279279;-4,084084084;15,73573574;835,2097104;437,2372372;853,4534535;231,2312312;1622,822823;20,76665359;16,3963964;25,04504505;7,927927928;33,51351351;-6,351237266;-12,51251251;-0,15015015;-24,68468468;12,02202202;11291,86989;6394,094094;14677,37738;-100;21569,06907
404;404;31968,53419;7,177177177;7,23876511;4,174174174;10,18018018;-1,681681682;16,18618619;696,4724289;483,4834835;748,3483483;319,5195195;1143,543544;21,09889713;16,57657658;25,58558559;7,747747748;34,59459459;-4,745847145;-10,61061061;0,990990991;-21,83183183;12,4024024;9735,599053;5466,366366;12623,12312;-100;18653,35335
405;405;32132,78453;7,177177177;7,230715239;4,324324324;10,03003003;-1,231231231;15,58558559;676,4645362;512,9129129;727,3273273;365,7657658;1030,03003;20,62850884;16,03603604;25,04504505;7,207207207;34,05405405;-4,832845112;-10,8008008;0,990990991;-22,4024024;12,59259259;9355,461741;5333,833834;12159,25926;-100;17791,89189
