;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
35;X18449.4614194808;18449,46142;2,65;4,192675055;304,4;254,9176179;18,5;4,390563041;-27,88;6,250433759;3889,6;3863,110164
36;X18532.5826865112;18532,58269;10,974;3,170347388;896;314,9752248;17,92;5,211304833;-13,14;8,259128102;12535,6;4443,709537
37;X18738.0322405623;18738,03224;6,11;4,413363498;403;278,9257154;17,84;5,149779939;-27,88;7,430067276;5686,4;4393,94325
38;X19151.379013518;19151,37901;-1,344;3,695918989;348,4;258,6356872;18,14;4,437017179;-27,46;6,114307612;4549,4;3923,828945
39;X19473.922618632;19473,92262;9,29;4,095640241;251,6;262,124774;19,48;5,159162707;-30,48;7,577451805;3166,8;4006,490774
40;X19554.7168775395;19554,71688;9,8;3,79279686;444,6;271,1573838;21,34;6,141817372;-13,52;8,09013538;5601;4176,971673
41;X19676.7908489925;19676,79085;4,002;4,553551461;400;282,8325513;19,22;4,712399005;-29,08;6,709937523;5569,8;4402,058255
42;X19759.3502740835;19759,35027;6,748;3,605415529;411,6;262,1765049;22,74;5,107893173;-14,38;8,392075616;4562;3981,018626
43;X19981.623398752;19981,6234;6,16;4,880649537;315,6;257,5195725;25,56;6,16760815;-12,88;9,375233051;3230,6;3935,594901
44;X20123.9845523868;20123,98455;-2,838;4,510203742;391,2;272,085473;26,44;5,973638339;-8,26;7,580139235;4112,6;4128,070415
45;X20222.4219268863;20222,42193;0,358;4,279688181;488,4;267,2813014;17,32;4,690355935;-19,56;7,203486023;6393,2;4060,853139
46;X20457.779251888;20457,77925;0,79;4,868533823;666,6;257,4682965;18,4;4,900269962;-13,6;6,763407586;8048,2;3954,463662
47;X20694.9297823418;20694,92978;9,268;2,666422905;685;305,372761;25,68;5,274161401;-4,74;6,514779892;7573,6;4420,19757
48;X20839.9002662468;20839,90027;6,932;3,077402304;635,2;260,9765734;18,54;5,945796208;-6,92;6,647532791;9371;4153,415492
49;X21078.9430727045;21078,94307;8,988;2,685172033;767,6;277,933676;22,26;4,518670328;-7,16;6,407760521;8959,6;4135,622624
50;X21175.241152792;21175,24115;1,13;5,199955296;524;277,3059727;24,78;5,243111573;-6,52;7,295829438;6126,4;4177,435711
51;X21564.7928961935;21564,7929;9,052;2,94827033;481,8;267,6560072;24,98;6,341470557;-4,68;7,25835305;5437,8;4128,762348
52;X21809.4728060922;21809,47281;11,092;3,279217454;382,6;265,8315096;26,88;5,583506644;-10,4;7,860233019;3653,8;3999,127919
