NameCal;Loc.Longitude;Loc.Latitude;Abies;Acer campestre-type;Caryophyllaceae (periporate excl. Paronychioideae);Castanea sativa;Chenopodiaceae/Amaranthaceae;Hippophae rhamnoides;Sanguisorba minor-type;Asteraceae;Betula;Campanulaceae;Caprifoliaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Castanea.sativa;Celtis;Chenopodiaceae.Amaranthaceae;Convolvulaceae;Corylus;Cotinus;Crassulaceae;Cyperaceae;Ephedra;Euptelea;Fraxinus;Gentianaceae;Geraniaceae;Hippophae.rhamnoides;Humulus;Juglans;Larix;Leguminosae;Moraceae;Nitraria;Oleaceae;Ostryopsis;Picea;Pinus;Plantaginaceae;Poaceae;Polygala;Polygonum;Populus;Primulaceae;Quercus;Ranunculaceae;Rhamnaceae;Rhus;Rosaceae;Rubiaceae;Rutaceae;Salix;Sanguisorba.minor.type;Scrophulariaceae;Solanaceae;Stellera;Syringa;Tamarix;Thalictrum;Tilia;Tsuga;Ulmus;Urtica;Valerianaceae;Verbenaceae
AlbaSanchez_a38;-5,00146;36,71493;41,13265306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,234693878;0;1,132653061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a39;-4,99042;36,71856;24,96583851;0;0;0;0;0;0;0,121118012;0;0;0;0;0;0;0;1,242236025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,059006213;0;1,363354037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a40;-4,97122;36,71158;16,87704918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,09016393;0;0,483606557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a41;-4,97412;36,70599;57,80508475;0;0;0;0;0;0;0;0,177966102;0;0;0;0;3,050847458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,88983051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a42;-4,97777;36,70187;16,11129568;0;0;0;0;0;0;0;0;0;0;0;11,62790698;1,661129568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,828903654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a43;-4,98389;36,70257;0;0;0;0;0;0;0;5,524096386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,909638554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a44;-4,988;36,70203;0,088235294;0;0;0;0;0;0;3,323529412;0;0;0;0;0;0;0;1,470588235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,382352941;0;0;0;0;0;0;0;0;0;0,088235294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a45;-4,909311;36,619483;9,90268456;0;0;0;0;0;0;0;0;0;0;0;0;0,67114094;0;0,33557047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,043624162;0;1,177852349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a46;-5,43012;35,24113;0;0;0;0,17114094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,513422819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlbaSanchez_a47;-5,429297;35,241631;0;0;0;0,928571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,071428571;0;0;0;0;0;0;0;0;0;0,928571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
