X2;Abies;Acer campestre-type;Alnus;Artemisia;Betula;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Corylus;Cyperaceae;Euhedra distachya-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Poaceae;Hedera;Helianthemum;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Salix;Saxifragaceae;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia;Hippophae rhamnoides;Rumex;Apiaceae;Brassicaceae
5394.8461742318;0;0;0,097;0;0,237;0;0;0;0;0;0;0,1;0,013;0;0,013;0;0,214;0;0,049;0,013;0;0;0;0;0,028;0,026;0;0;0;0,172;0;0,013;0;0,003;0;0;0;0,01;0;0,01;0,003;0;0;0,01;0
5454.4500913179;0,003;0;0,148;0;0,242;0;0;0;0;0;0;0,116;0,022;0;0,025;0;0,192;0;0,019;0;0;0;0;0;0,028;0,017;0;0;0;0,166;0,003;0,006;0;0,003;0;0;0;0,013;0,003;0,009;0;0;0;0,009;0
5514.054008404;0,003;0;0,13;0;0,174;0;0;0,003;0;0;0;0,193;0,019;0,003;0,01;0;0,162;0;0,025;0,013;0;0;0;0;0,043;0,041;0;0;0;0,152;0;0,01;0;0;0;0,003;0;0,006;0,003;0,006;0,003;0;0;0,013;0
5575.1353409981;0,003;0;0,126;0;0,176;0;0;0,003;0;0;0;0,123;0,08;0;0,02;0;0,146;0;0,04;0,013;0;0;0;0;0,055;0,043;0;0;0;0,213;0;0,007;0;0;0;0;0;0,01;0;0,013;0,009;0;0,003;0,003;0
5637.6940891002;0,006;0;0,103;0;0,191;0;0;0,006;0;0;0;0,13;0,031;0,003;0,015;0;0,124;0;0,041;0,032;0;0;0;0,003;0,044;0,049;0;0;0;0,212;0;0,003;0;0;0;0;0;0,018;0;0,012;0,006;0;0,003;0,003;0
5700.2528372023;0,003;0;0,098;0,003;0,221;0;0,003;0,006;0;0;0;0,187;0,03;0;0,008;0;0,084;0;0,078;0,025;0;0;0;0;0,049;0,027;0;0;0;0,131;0;0,006;0;0;0;0;0;0,034;0;0,02;0,005;0;0,003;0,008;0
5768.11940371865;0;0;0,154;0,003;0,304;0;0;0;0;0;0;0,139;0,006;0;0,009;0;0,078;0;0,039;0,012;0;0;0;0;0,018;0,027;0;0;0;0,16;0;0;0;0;0;0;0;0,015;0;0,036;0;0;0,006;0;0
5835.985970235;0,003;0,003;0,116;0,006;0,266;0;0;0;0;0,003;0,003;0,142;0,009;0;0,014;0;0,064;0;0,029;0,038;0;0;0;0;0,016;0,012;0;0;0;0,194;0;0,003;0;0,003;0;0;0;0,014;0;0,026;0,006;0;0,003;0,038;0
5908.12862808592;0;0;0,154;0,006;0,241;0;0;0;0;0;0;0,182;0,011;0;0,011;0;0,036;0;0,056;0,022;0;0;0;0;0,014;0,015;0;0;0;0,177;0;0,003;0,003;0,011;0;0;0;0,025;0;0,036;0,003;0;0,006;0;0
5984.54737727142;0;0;0,094;0,01;0,302;0;0;0,003;0;0;0;0,117;0,046;0;0,019;0;0,045;0;0,052;0,039;0;0;0;0;0;0,01;0;0,003;0;0,208;0,006;0;0,003;0,003;0;0;0;0,029;0;0,036;0,027;0;0,006;0,01;0,003
6060.96612645692;0;0;0,095;0;0,363;0;0,003;0,003;0;0;0;0,095;0,018;0;0,015;0;0,052;0;0,055;0,055;0;0;0;0;0,017;0,028;0;0;0;0,154;0;0;0;0;0;0;0;0,022;0;0,031;0,006;0;0;0,006;0
6136.51619832342;0;0,003;0,088;0;0,302;0;0;0,003;0;0;0;0,159;0,013;0,003;0,016;0;0,019;0;0,052;0,019;0;0;0;0;0,019;0,029;0;0;0;0,179;0;0,003;0;0,003;0;0;0;0,039;0;0,045;0,006;0;0,006;0,006;0
6212.06627018992;0;0,01;0,085;0;0,299;0;0;0,003;0;0;0;0,117;0,016;0;0,013;0;0,033;0;0,062;0,023;0;0,003;0;0;0,023;0,028;0;0;0;0,237;0;0;0;0,003;0;0;0,003;0,02;0;0,026;0,006;0;0;0,003;0
6289.97644909243;0;0,006;0,078;0,006;0,357;0;0;0;0;0;0;0,107;0,009;0;0,025;0;0,041;0;0,044;0,041;0;0;0;0;0,022;0,028;0;0;0;0,141;0;0,009;0;0,003;0;0;0;0,034;0;0,038;0,003;0;0,003;0,006;0
6370.24673503093;0;0,003;0,107;0;0,281;0;0;0,006;0;0;0;0,115;0,029;0;0;0;0,038;0;0,056;0,053;0;0;0;0;0,024;0,021;0,003;0;0;0,186;0;0,006;0;0,003;0;0;0;0,03;0,003;0,044;0,003;0,003;0,003;0,006;0
6450.51702096943;0,007;0;0,081;0,02;0,281;0,003;0;0;0;0;0;0,075;0,066;0;0;0;0,024;0;0,071;0,071;0;0,003;0;0,003;0,015;0,032;0;0;0;0,186;0,013;0,007;0;0;0;0;0;0,031;0;0,051;0,009;0;0;0,01;0
6533.12929367943;0;0,003;0,079;0,003;0,208;0;0;0,003;0;0;0,003;0,129;0,032;0,003;0;0;0,03;0;0,112;0,049;0;0;0;0,03;0,012;0,023;0;0;0;0,204;0;0,013;0;0;0;0;0;0,016;0;0,063;0,003;0;0,003;0,007;0
