;A_CLDE;B_CLEG;C_CLMX;D_COEG;E_COMX;F_TEDE;G_WTEM;H_WTEG;I_TRSE;J_TREG;K_TRDE;L_TEXE;M_TEGR;N_DESE;O_CUSH;P_DRYT;Q_PROS;R_DWAR;S_SHRU;Best;Best.num
4113;9.58924974380039;10.9756643026536;10.9756643026536;12.6903838623309;12.6903838623309;11.3039693034777;8.27857266645223;7.20112213208882;1.13987190420678;1.13987190420678;0;0;0.940256903723658;0.940256903723658;0;0.940256903723658;2.45054898155495;2.45054898155495;3.39080588527861;D_COEG;4
4114;9.96177556900956;10.9045846106506;10.9045846106506;12.6285980160509;13.069556567391;12.12674752575;9.84001040334177;7.6254021309462;1.72401340540032;1.72401340540032;0.144337566142706;0.144337566142706;2.58164071465119;1.11180533862723;0.144337566142706;2.58164071465119;2.43107468855096;3.61223493228951;4.72404027091674;E_COMX;5
4115;10.3556087078014;12.3328979711617;12.3328979711617;13.864220998155;13.864220998155;11.8869317347947;8.6981132545422;7.26268468021326;1.53132302699333;1.53132302699333;0;0;0.798736555442406;0.798736555442406;0;0.798736555442406;3.18881848025252;3.18881848025252;3.98755503569493;D_COEG;4
4116;12.1006861537134;12.1006861537134;12.1006861537134;14.6295156301644;15.3820184354748;15.3820184354748;9.83120067263301;6.84629438990194;2.01734670743529;2.01734670743529;0.643379785196893;0.643379785196893;1.92108121510922;1.27770142991233;0.643379785196893;1.92108121510922;5.68271477902296;5.03933499382607;6.3170364237384;E_COMX;5
4117;11.0487424485739;12.3559082402774;12.3559082402774;13.903207683501;13.903207683501;12.5960418917974;8.4524372714216;6.59222329448239;1.54729944322358;1.54729944322358;0;0;1.33598048975275;1.33598048975275;0;1.33598048975275;4.14360462037584;4.14360462037584;5.47958511012859;D_COEG;4
4118;12.3709871116426;12.3709871116426;12.3709871116426;14.5615009872821;14.5615009872821;14.5615009872821;7.47481471646749;5.52912350612603;1.38873014981313;1.38873014981313;0.80178372582636;0.80178372582636;2.923104069386;2.12132034355964;0.80178372582636;2.923104069386;7.08668627081463;6.28490254498827;8.40622288854791;D_COEG;4
4119;9.40870620253761;10.7712389426947;10.7712389426947;12.929042672023;13.2518887762274;11.8893560360703;9.18677423351616;7.82903829024669;1.83495762512381;1.83495762512381;0;0;1.42750283712503;1.42750283712503;0;1.42750283712503;2.37973569834971;2.37973569834971;3.80723853547474;E_COMX;5
4120;10.5330184026763;10.5330184026763;10.5330184026763;13.1839799836827;13.1839799836827;13.1839799836827;9.44904012068027;7.40270192771215;1.62018517460197;1.62018517460197;0;0;1.62018517460197;1.62018517460197;0;1.62018517460197;2.70416345659799;2.70416345659799;4.32434863119996;D_COEG;4
4121;10.6436403007116;11.7903917532941;11.7903917532941;14.0453330595256;14.4828755008956;13.3361240483131;9.46738354504114;7.3101850508513;1.81739886486154;1.81739886486154;0;0;1.56161275577526;1.56161275577526;0;1.56161275577526;3.43119806190199;3.43119806190199;4.99281081767725;E_COMX;5
4122;9.68590546582029;11.5391259680811;11.5391259680811;13.3016688404675;13.997087100941;12.1438665986802;8.546280887401;7.45622645904624;1.76254287238637;1.76254287238637;0;0;0.695418260473508;0.695418260473508;0;0.695418260473508;3.59758571127916;3.59758571127916;4.29300397175267;E_COMX;5
4123;10.1013970548954;11.7165776299395;11.7165776299395;13.3317582049837;13.7686177785311;12.1534372034869;8.80017209765348;7.33647069354017;1.61518057504417;1.61518057504417;0;0;0.842010096138995;0.842010096138995;0;0.842010096138995;3.35326510583342;3.35326510583342;4.19527520197241;E_COMX;5
4124;8.43054436636751;10.3591213762377;10.3591213762377;10.3591213762377;10.3591213762377;8.43054436636751;7.55543135366572;6.46558562467469;0;0;0;0;0.875113012701788;0.875113012701788;0;0.875113012701788;0.875113012701788;0.875113012701788;1.75022602540358;B_CLEG;2
4125;10.7389589088668;12.2436939825592;12.2436939825592;14.0240053166132;14.0240053166132;12.5192702429209;8.73549100133908;7.2307559276467;1.39248856009664;1.39248856009664;0;0;0.559471295063473;0.559471295063473;0;0.559471295063473;3.3959564676244;3.3959564676244;3.95542776268787;D_COEG;4
4126;10.9361294080599;13.30729978996;13.30729978996;14.548596018505;14.548596018505;12.1774256366049;8.52078393985929;7.27948771131431;2.48259245708997;2.48259245708997;1.24129622854498;0;1.24129622854498;1.24129622854498;0;1.24129622854498;4.8979379252906;4.8979379252906;6.13923415383558;D_COEG;4
4127;10.6768304691121;10.6768304691121;10.6768304691121;12.4763631187187;13.1355895130629;13.1355895130629;9.33384372592769;7.50450670476229;1.79953264960656;1.79953264960656;0;0.659226394344159;1.31845278868832;1.31845278868832;0;0.659226394344159;3.80174578713517;3.80174578713517;4.46097218147933;E_COMX;5
4128;6.27042118362076;8.04139934158884;8.04139934158884;9.18952033608376;9.18952033608376;7.41854217811568;7.41854217811568;7.41854217811568;1.14812099449492;1.14812099449492;0;0;1.77097815796808;1.77097815796808;0;1.77097815796808;0;0;1.77097815796808;D_COEG;4
4129;9.12965073743984;10.7516109909603;10.7516109909603;12.679696272574;13.1661613278452;11.5442010743248;9.17317628850643;7.37906267532681;1.44162022634257;1.44162022634257;0;0;1.79411361317962;1.30764855790843;0;1.79411361317962;1.88455973054716;2.37102478581835;3.67867334372678;E_COMX;5
4130;10.1050058092336;10.8946864446806;10.8946864446806;14.3968380260091;14.9469000388768;14.1572194034297;10.3841044689641;7.79108662851858;2.53023451027765;2.53023451027765;0;0.971917071050818;2.84171216593927;1.49289381471021;0.971917071050818;2.84171216593927;4.32317694733332;3.72816115646075;5.22105497117096;E_COMX;5
4131;11.4095490943057;12.4114270299845;12.4114270299845;15.0957692212726;15.5976454002251;14.5957674645463;10.5893292744432;7.78019648682255;2.18246601233559;2.18246601233559;0;0;1.32500531998932;1.32500531998932;0;1.32500531998932;4.00643819010315;4.00643819010315;5.33144351009247;E_COMX;5
4132;9.96725727264467;12.1892726294773;12.1892726294773;13.7179581540375;13.7179581540375;11.4959427972049;7.73333593493507;6.77498332967957;1.52868552456023;1.52868552456023;0;0.667552603170716;0.667552603170716;0.667552603170716;0;0;3.76260686226983;3.76260686226983;3.76260686226983;D_COEG;4
