Longitude;Latitude
24.3167;41.967
23.6;41.5
23.61;41.53
23.61;41.51
23.61;41.51
-3.7;40.93
-3.8;40.96
23.61;41.51
-3.8;40.98
-3.8;40.98
-3.8;40.98
-3.83;40.98
-3.81;41.1
-3.8;41.11
23.61;41.51
23.1;41.35
23.11;41.35
23.1;41.33
15.62;40.32
15.63;40.32
15.63;40.32
15.63;40.32
15.63;40.32
15.65;40.32
15.65;40.32
15.65;40.32
15.65;40.32
15.7;40.28
15.7;40.28
15.7;40.28
15.7;40.28
15.67;40.25
15.67;40.25
15.67;40.25
15.65;40.25
15.6;40.32
15.6;40.32
15.6;40.32
15.55;40.32
15.55;40.32
7.68;44.15
7.6;44.14
4.3;45
5.3;44.87
4.3;45.05
5.25;44.87
9.07;41.57
9.66;42.5
8.97;42.23
9.13;42.05
4.85;43.52
6.43;44.17
5.35;44.1
5.48;44.42
5.38;44.42
4.35;43.43
5.32;44.1
7.43;44.1
7.45;44.05
6.53;45.77
5.85;44.75
6.72;44.55
6.548676;44.778151
3.62;44.47
5.32;44.1
4.92;43.8
41.2;35.18
41.19;35.17
41.04;35.27
41.02;36.17
40.79;36.15
40.83;36.4
40.88;36.43
41.06;36.41
41.14;36.4
40.68;36.38
39.08;37.279
38.5;37.22
38.5;37.22
38.5;37.22
38.529;37.27
38.849;37.38
39.419;37.72
40.099;37.909
39.72;38.18
39.72;38.18
39.72;38.18
39.72;38.18
39.72;38.18
41.47;38.169
41.669;38.13
42.49;37.93
42.419;37.919
42.36;37.909
42.259;37.919
42.229;37.93
42.049;38
41.849;37.979
37.549;37.75
37.279;37.88
39.529;38.5
39.549;38.47
39.669;38.4
39.75;38.279
40.169;37.979
40.049;38.069
39.88;38.18
39.819;38.2
41.029;38.5
40.5;38.52
40.5;38.58
40.979;38.77
40.43;38.909
40.2;38.869
2.7;45.41
2.7;45.41
2.7;45.41
2.7;45.41
2.7;45.41
2.7;45.41
2.7;45.41
2.68;45.43
2.68;45.43
2.68;45.43
2.66;45.38
2.66;45.38
2.66;45.38
2.66;45.38
2.66;45.38
2.66;45.38
2.66;45.38
2.66;45.38
2.66;45.38
2.733333;45.5
2.733333;45.5
2.733333;45.5
2.733333;45.5
2.733333;45.5
2.73;45.5
2.73;45.5
2.73;45.5
2.73;45.5
2.73;45.5
2.73;45.5
2.83;45.5
2.83;45.5
2.83;45.5
2.83;45.5
2.83;45.5
2.61;45.45
2.61;45.43
2.58;45.4
2.6;45.38
2.58;45.36
2.68;45.38
2.66;45.38
2.66;45.4
2.66;45.38
2.66;45.38
2.7;45.4
2.7;45.4
2.7;45.41
2.7;45.41
2.7;45.41
2.66;45.51
2.65;45.53
2.73;45.45
2.76;45.46
2.789;45.47
2.733333;45.5
2.73;45.5
2.76;45.48
2.789;45.47
2.85;45.43
2.76;45.43
2.78;45.4
2.78;45.4
2.83;45.45
2.8667;45
2.83;45.5
