;DTBW;CCF;CCF;ET;CCF;TEDE;WF;WF;I_TRSE;J_TREG;K_TRDE;TEXE;TEGR;DESE;Tundra;Tundra;Tundra;Tundra;Tundra;Best;Best.num
32;4.17369793510609;5.40666265479599;5.40666265479599;12.3996792618246;12.3996792618246;11.1667145421347;3.92210277130383;0.158910509407025;2.35809374283551;2.35809374283551;2.35809374283551;0;0;0;0;0;2.13319129475066;2.13319129475066;2.13319129475066;ET;4
33;3.85254528850733;5.11953510693524;5.11953510693524;12.2718390177051;12.2718390177051;11.0048491992772;3.85254528850733;0;2.41159480427372;2.41159480427372;2.41159480427372;0;0;0;0;0;1.92627264425366;1.92627264425366;1.92627264425366;ET;4
34;3.78504039608562;5.3854230065885;5.3854230065885;12.876294185567;12.876294185567;11.2759115750641;4.03775696819197;0;2.57737407063856;2.57737407063856;2.57737407063856;0;0;0;0;0;1.89252019804281;1.89252019804281;1.89252019804281;ET;4
35;3.76319226189681;5.35388487833783;5.35388487833783;13.742857960792;13.742857960792;12.152165344351;4.95390342728175;0;2.56333905287615;2.56333905287615;2.56333905287615;0;0;0;0;0;1.8815961309484;1.8815961309484;1.8815961309484;ET;4
36;3.47228874738943;5.06298136383046;5.06298136383046;13.8196406577145;13.8196406577145;12.2289480412735;4.95390342728175;0;2.75332673324471;2.75332673324471;2.75332673324471;0;0;0;0;0;1.59069261644103;1.59069261644103;1.59069261644103;ET;4
37;3.43193181618502;5.00364966618227;5.00364966618227;14.3804313948223;14.3804313948223;12.808713544825;5.61272897594208;0;2.72411308502419;2.72411308502419;2.72411308502419;0;0;0;0;0;1.57171784999726;1.57171784999726;1.57171784999726;ET;4
38;4.30725101837689;5.86051255462891;5.86051255462891;15.3107827626466;15.3107827626466;13.7575212263946;6.46392377662668;0;2.87016795675793;2.87016795675793;2.87016795675793;0;0.686202448261444;0.686202448261444;0;0.686202448261444;2.75398948212486;2.75398948212486;3.4401919303863;ET;4
39;4.23061266709306;5.75710822882916;5.75710822882916;16.5746582522745;16.5746582522745;15.0481626905384;7.86814928590127;0;2.8267589214505;2.8267589214505;3.49263894067318;1.33176003844536;1.99764005766805;0.665880019222682;0.665880019222682;1.33176003844536;4.03587714380233;3.36999712457965;4.03587714380233;ET;4
40;4.64766676143921;5.95066415207359;5.95066415207359;17.4571521934816;17.4571521934816;16.1541548028472;8.01338925021306;0;3.06432862141122;3.06432862141122;3.06432862141122;0;0;0;0;0;2.9753320760368;2.9753320760368;2.9753320760368;ET;4
41;4.36910046802069;5.20863563702793;5.20863563702793;17.909368132761;17.909368132761;17.0698329637538;8.17076900322778;0;3.39826320346144;3.39826320346144;3.39826320346144;0;0;0;0;0;2.60431781851396;2.60431781851396;2.60431781851396;ET;4
42;3.63178655760495;4.50689957887706;4.50689957887706;18.4711632939863;18.4711632939863;17.5960502727142;7.96639055590271;0;3.6638846324632;3.6638846324632;3.6638846324632;0;0;0;0;0;1.81589327880247;1.81589327880247;1.81589327880247;ET;4
43;3.14667938949854;3.14667938949854;3.14667938949854;17.8100937155728;17.8100937155728;17.8100937155728;7.9760368617607;0;3.73601810755783;3.73601810755783;3.73601810755783;0;0.839535169007231;0.839535169007231;0;0.839535169007231;1.76478264950673;1.76478264950673;2.60431781851396;ET;4
44;3.01615307378355;3.01615307378355;3.01615307378355;17.764212209538;17.764212209538;17.764212209538;8.02540738626616;0;3.60321330204028;3.60321330204028;3.60321330204028;0;0.78968063164801;0.78968063164801;0;0.78968063164801;1.69433954684414;1.69433954684414;2.48402017849215;ET;4
