"";"Abies";"Acer campestre-type";"Alnus";"Apiaceae";"Artemisia";"Betula";"Campanulaceae";"Carpinus";"Caryophyllaceae (periporate excl. Paronychioideae)";"Chenopodiaceae/Amaranthaceae";"Corylus";"Cyperaceae";"Fraxinus";"Hippophae rhamnoides";"Picea";"Pinus";"Plantaginaceae";"Poaceae";"Polygonum";"Populus";"Quercus";"Rosaceae";"Rubiaceae";"Salix";"Thalictrum";"Tilia";"Ulmus"
"Bjune_a252";0;0;0,167926113;0,083963056;0,335852225;12,93031066;0;0;0;0,167926113;0;1,091519731;0;0;0,167926113;10,07556675;0;8,732157851;0;0;0;0;0;0,671704451;0,587741394;0;0
"Bjune_a253";0;0;0,138504155;0,138504155;0,138504155;53,60110803;0;0;0;0;0;0,138504155;0;0;0;7,479224377;0;2,908587258;0;0;0;0;0;0,969529086;0,138504155;0;0
"Bjune_a254";0;0;0;0,202020202;0;11,81818182;0;0;0;0;0,101010101;0,505050505;0;0;0;1,313131313;0;3,535353535;0;0;0;0,101010101;0;0,404040404;0,303030303;0;0
"Bjune_a255";0;0;1,433691756;0;0,17921147;48,38709677;0;0;0;0,537634409;0;0,17921147;0;0;0,537634409;20,78853047;0;9,318996416;0;0;0;0,17921147;0;1,075268818;0,358422939;0;0
"Bjune_a256";0;0;0,533807829;0;0,533807829;17,43772242;0;0;0,177935943;0,355871886;0;0,711743772;0;0;0,711743772;27,40213523;0;13,87900356;0;0,177935943;0;0;0;3,024911032;0;0;0
"Bjune_a257";0;0;3,612716763;0;0,144508671;23,55491329;0;0;0;0;1,445086705;2,312138728;0;0;1,011560694;11,41618497;0;4,624277457;0;0;0;0;0;0,144508671;0;0;0,578034682
"Bjune_a258";0;0;2,923976608;0,194931774;0,194931774;13,64522417;0;0;0;0;0,194931774;0,584795322;0;0;0,389863548;51,26705653;0;5,653021442;0;0,194931774;0;0;0;0;0;0;0
"Bjune_a259";0;0;5,179856115;0;0,143884892;14,5323741;0;0;0;0;0,863309353;0;0;0;0,431654676;32,08633094;0;4,748201439;0;0;0;0,287769784;0;0,287769784;0;0;0
"Bjune_a260";0;0;4,049295775;0;0;22,88732394;0;0;0;0;0,88028169;0,88028169;0;0;3,697183099;29,04929577;0;7,218309859;0;0;0;0,176056338;0;0;0;0;0
"Bjune_a261";0;0;6,876790831;0;0;16,04584527;0;0;0;0,143266476;0,429799427;1,146131805;0;0;1,719197708;23,63896848;0;5,873925501;0;0;0;0,286532951;0;0;0;0;0,286532951
"Bjune_a262";0;0;5,050505051;0;0;18,85521886;0;0;0;0;0;1,346801347;0;0;1,515151515;19,02356902;0;4,713804714;0;0;0;0,168350168;0,168350168;0,168350168;0,168350168;0;0,168350168
"Bjune_a263";0;0;6,099518459;0;0;17,49598716;0;0;0,160513644;0;0,321027287;1,284109149;0;0;1,444622793;20,06420546;0;7,544141252;0;0;0;0,481540931;0;0,321027287;0;0;0
"Bjune_a264";0;0;1,358234295;0;0;26,31578947;0;0;0;0;0;0,509337861;0;0;0,848896435;12,90322581;0;9,337860781;0;0;0;0;0;1,018675722;0,169779287;0;0
"Bjune_a265";0;0;0,695249131;0;0;22,13209733;0;0;0,115874855;0;0;0,115874855;0;0;3,3603708;31,86558517;0;4,403244496;0;0;0;0;0;0,811123986;0;0;0
"Bjune_a266";0;0;1,835985312;0;0,244798042;19,95104039;0;0,122399021;0,122399021;0,122399021;0,244798042;0,367197062;0;0;2,447980416;22,27662179;0;9,791921665;0;0;0;0,244798042;0;2,080783354;0,367197062;0;0
"Bjune_a267";0;0;8,517887564;0;0,681431005;12,09540034;0;0;0;0,340715503;0,511073254;1,022146508;0;0;1,36286201;27,59795571;0;12,26575809;0;0;0;0,170357751;0;4,088586031;0,340715503;0;0
"Bjune_a268";0;0;6,365159129;0;0,167504188;13,06532663;0;0;0,167504188;0;0,502512563;1,005025126;0;0;0,502512563;29,31323283;0;17,75544389;0;0;0;0;0;2,680067001;0,167504188;0,167504188;0
"Bjune_a269";0;0;3,425559947;0;0,263504611;23,58366271;0;0;0,395256917;0,131752306;0,395256917;0,527009223;0;0;2,371541502;33,99209486;0;11,19894598;0;0;0,131752306;0;0;4,347826087;0,263504611;0,131752306;0,131752306
"Bjune_a270";0;0;1,483679525;0,148367953;0;16,17210682;0;0;0;0,148367953;0;2,522255193;0;0;7,863501484;35,0148368;0;9,792284866;0;0;0,296735905;0,148367953;0;2,670623145;0,148367953;0;0
"Bjune_a271";0;0;1,554404145;0;0,172711572;16,06217617;0;0;0;0,345423143;0,690846287;0,690846287;0;0;1,727115717;38,16925734;0;12,60794473;0;0;0,172711572;0;0;3,799654577;0;0;0,172711572
"Bjune_a272";0;0;1,683029453;0,140252454;0,140252454;16,69004208;0;0;0;0;0;4,628330996;0;0;3,225806452;28,75175316;0;9,256661992;0;0;0;0;0;5,750350632;0,140252454;0;0,140252454
"Bjune_a273";0;0;2,168674699;0;0,240963855;31,20481928;0;0;0;0,120481928;0,120481928;1,445783133;0;0;1,325301205;30,84337349;0;4,819277108;0;0,120481928;0,120481928;0;0;1,56626506;0,240963855;0;0
"Bjune_a274";0;0;1,485148515;0;0,165016502;24,75247525;0;0;0;0,165016502;0;1,485148515;0;0;2,475247525;33,66336634;0;8,085808581;0;0;0,165016502;0;0;2,475247525;1,155115512;0;0,165016502
"Bjune_a275";0;0;3,867403315;0,552486188;0,552486188;11,04972376;0;0;0;0;0,184162063;1,473296501;0;0;0,184162063;17,67955801;0;10,31307551;0;0;0;0;0;4,051565377;0;0;0,73664825
"Bjune_a276";0;0;4,347826087;0;0,483091787;12,72141707;0;0;0,161030596;0;0,161030596;0,644122383;0;0;0,161030596;16,90821256;0;13,68760064;0;0;0;0;0;4,99194847;0;0;0,161030596
"Bjune_a277";0;0;3,225806452;0;0,322580645;24,19354839;0;0;0,161290323;0;0;1,935483871;0;0;0,806451613;21,4516129;0;20,32258065;0;0;0;0;0;4,838709678;1,129032258;0,322580645;0,161290323
"Bjune_a278";0;0;2,956521739;0;0,173913043;24,86956522;0;0;0;0,173913043;0;2,608695652;0;0;2,956521739;29,2173913;0;8,347826087;0;0;0;0;0,173913043;1,391304347;0;0,173913043;0,173913043
"Bjune_a279";0;0;1,052631579;0;0,105263158;24,52631579;0;0;0;0,210526316;0;0,105263158;0;0;1,578947368;19,05263158;0;6,421052632;0;0;0;0;0;1,157894737;0,421052632;0;0,105263158
"Bjune_a280";0;0;0,456230396;0,0285144;0;5,788423154;0;0,0570288;0;0;0;0,142571999;0;0;0,769888794;4,277159966;0;1,140575991;0;0;0;0;0;0,313658397;0;0;0
"Bjune_a281";0;0;3,244005642;0,141043724;0,141043724;32,86318759;0;0;0;0;0,282087447;0,423131171;0;0;3,808180536;25,95204513;0;6,629055007;0;0,282087447;0,564174894;0;0;0,423131171;0;0;0,282087447
"Bjune_a282";0;0;2,564102564;0,150829563;0;33,78582202;0;0;0;0;0,301659125;1,055806938;0;0;0,60331825;14,32880845;0;10,40723982;0,150829563;0;0;0,150829563;0;2,262443439;0,150829563;0;0,150829563
"Bjune_a283";0;0;1,479289941;0;0;28,10650888;0;0;0;0;0,147928994;0,591715976;0;0;2,514792899;27,07100592;0;3,99408284;0;0,147928994;0;0;0;0,443786982;0,295857988;0;0
