"";"NameCal";"Loc.Longitude";"Loc.Latitude";"Abies";"Acer.campestre.type";"Ailanthus";"Alnus";"Apiaceae";"Araliaceae";"Artemisia";"Asteraceae";"Betula";"Campanulaceae";"Caprifoliaceae";"Carpinus";"Caryophyllaceae..periporate.excl..Paronychioideae.";"Castanea.sativa";"Celtis";"Chenopodiaceae.Amaranthaceae";"Convolvulaceae";"Corylus";"Cotinus";"Crassulaceae";"Cyperaceae";"Ephedra";"Euptelea";"Fraxinus";"Gentianaceae";"Geraniaceae";"Hippophae.rhamnoides";"Humulus";"Juglans";"Larix";"Leguminosae";"Moraceae";"Nitraria";"Oleaceae";"Ostryopsis";"Picea";"Pinus";"Plantaginaceae";"Poaceae";"Polygala";"Polygonum";"Populus";"Primulaceae";"Quercus";"Ranunculaceae";"Rhamnaceae";"Rhus";"Rosaceae";"Rubiaceae";"Rutaceae";"Salix";"Sanguisorba.minor.type";"Scrophulariaceae";"Solanaceae";"Stellera";"Syringa";"Tamarix";"Thalictrum";"Tilia";"Tsuga";"Ulmus";"Urtica";"Valerianaceae";"Verbenaceae"
"AlbaSanchez_a17";"AlbaSanchez_a17";-5,02261;36,70214;38,16793893;0;0;0;0;0;0;2,290076336;0;0;0;0;0;0;0;0,763358779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,580152672;0;0,763358779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a18";"AlbaSanchez_a18";-5,01423;36,71336;10,13513514;0;0;0,337837838;0;0;0,337837838;1,689189189;0;0;0;0;0;0;0;0,675675676;0;0,337837838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,77027027;0;1,351351351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a19";"AlbaSanchez_a19";-5,01487;36,71097;39,35483871;0;0;0,322580645;0,322580645;0;0;4,193548387;0;0;0;0;0;0,322580645;0;0,64516129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,483870968;0;0,64516129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a20";"AlbaSanchez_a20";-5,01623;36,70631;18,79194631;0;0;0;0;0;0;0,67114094;0;0;0;0;0;0;0;2,013422819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,362416107;0;0,33557047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a21";"AlbaSanchez_a21";-5,0177;36,70521;38,75432526;0;0;0,346020761;0,346020761;0;0;1,384083045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,422145329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a23";"AlbaSanchez_a23";-4,99694;36,67838;1,433691756;0;0;0,716845878;0;0;0;2,867383513;0,358422939;0;0;0;0;0;0;0,716845878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,810035843;0;1,792114695;0;0;0;0;0;0;0;0;0;0,716845878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a25";"AlbaSanchez_a25";-4,98794;36,68781;58,13953488;0;0;0;0;0;0;0;0;0;0;0;0;0,996677741;0;0,664451827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,332225914;0;0,664451827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a26";"AlbaSanchez_a26";-5,00165;36,6831;0;0;0;0,34965035;0,34965035;0;0;2,097902098;0;0;0;0;0;0;0;0,34965035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,34965035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a27";"AlbaSanchez_a27";-5,01865;36,69101;1,315789474;0;0;0,328947368;0;0;0;2,631578947;0;0;0;0;0;0,657894737;0;0,657894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,986842105;0;0,986842105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a28";"AlbaSanchez_a28";-5,0395;36,69262;12,21122112;0;0;0;0;0;0;0,330033003;0;0;0;0;0;0;0;0,330033003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,600660066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a29";"AlbaSanchez_a29";-4,98172;36,7439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a30";"AlbaSanchez_a30";-4,98415;36,7425;3,503184713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,318471338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,484076433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a31";"AlbaSanchez_a31";-5,00475;36,72546;0;0;0;0;0;0;0;3,947368421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,36842105;0;6,578947368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a32";"AlbaSanchez_a32";-4,9841;36,72651;58,2781457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,298013245;0;0,331125828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a33";"AlbaSanchez_a33";-4,99253;36,72632;53,97350993;0;0;0;0;0;0;0,331125828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,298013245;0;0,993377483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a34";"AlbaSanchez_a34";-4,97169;36,73175;8,823529412;0;0;0;0;0;0;0,326797386;0;0;0;0;0;0;0;0,326797386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,05228758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a35";"AlbaSanchez_a35";-4,96644;36,72254;23,26283988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,80664652;0;1,510574018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a36";"AlbaSanchez_a36";-4,98044;36,71362;3,149606299;0;0;0;0;0;0;0,524934383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,892388448;0;0,524934383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a37";"AlbaSanchez_a37";-4,98061;36,71267;3,241895262;0;0;0;0;0;0;0,997506234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,23690773;0;4,488778055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a38";"AlbaSanchez_a38";-5,00146;36,71493;41,63265306;0;0;0;0;0;0;0,408163265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,469387755;0;1,632653061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a39";"AlbaSanchez_a39";-4,99042;36,71856;25,46583851;0;0;0;0;0;0;0,621118012;0;0;0;0;0;0;0;1,242236025;0;0,310559006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,118012426;0;1,863354037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a40";"AlbaSanchez_a40";-4,97122;36,71158;17,37704918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,180327867;0;0,983606557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a41";"AlbaSanchez_a41";-4,97412;36,70599;58,30508475;0;0;0;0;0;0;0;0,677966102;0;0;0;0;3,050847458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,779661014;0;0,338983051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a42";"AlbaSanchez_a42";-4,97777;36,70187;16,61129568;0;0;0;0;0;0;0,332225914;0,332225914;0;0;0;11,62790698;1,661129568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,651162791;0;1,328903654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a43";"AlbaSanchez_a43";-4,98389;36,70257;0;0;0;0;0;0;0;6,024096386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,409638554;0;2,409638554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a44";"AlbaSanchez_a44";-4,988;36,70203;0,588235294;0;0;0;0;0;0;3,823529412;0;0;0;0;0;0;0;1,470588235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,882352941;0;0,882352941;0;0;0;0;0;0;0;0;0;0,588235294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a45";"AlbaSanchez_a45";-4,909311;36,619483;10,40268456;0;0;0;0;0;0;0,33557047;0;0;0;0;0;0,67114094;0;0,33557047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,087248323;0;1,677852349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a46";"AlbaSanchez_a46";-5,43012;35,24113;0;0;0;0,67114094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,013422819;0;2,013422819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a47";"AlbaSanchez_a47";-5,429297;35,241631;0;0;0;1,428571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,571428571;0;3,571428571;0;0;0;0;0;0;0;0;0;1,428571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a49";"AlbaSanchez_a49";-5,103634;35,259856;21,875;0;0;0;0;0;0;0,3125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,875;0;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a50";"AlbaSanchez_a50";-5,216593;35,184338;5,263157895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,403508772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a51";"AlbaSanchez_a51";-4,50827;34,904032;0;0;0;0;0,709219858;0;0;0,354609929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,709219858;0;0;0;0;0;0;0;0;0;0;0;0,354609929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a52";"AlbaSanchez_a52";-4,617827;34,909996;0;0;0;0;0;0;0;0,666666667;0;0;0;0;0,333333333;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,666666667;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a53";"AlbaSanchez_a53";-4,653223;34,896955;0;0;0;0;0;0;0;0,657894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,986842105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a54";"AlbaSanchez_a54";-4,536485;34,907986;0;0;0;0;0;0;0;0;0,328947368;0;0;0;0,328947368;0;0;0,328947368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,657894737;0;3,947368421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a55";"AlbaSanchez_a55";-4,611571;34,849704;0;0;0;0;0;0;0,33557047;0,33557047;0;0;0;0;0,33557047;0;0;0,33557047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,67114094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a57";"AlbaSanchez_a57";-4,532196;34,840495;0;0;0;0;0;0;0;0,331125828;0;0;0;0;0;0;0;0,331125828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,662251656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a58";"AlbaSanchez_a58";-4,761091;34,976196;0;0;0;0,332225914;0;0;0;0,332225914;0;0;0;0;0;0;0;0,664451827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,990033223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a59";"AlbaSanchez_a59";-4,820689;34,992855;0;0;0;0,336700337;0;0;0;0,336700337;0;0;0;0;0;0;0;0,336700337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,346801347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a60";"AlbaSanchez_a60";-4,871389;34,996671;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,666666667;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a61";"AlbaSanchez_a61";-5,148185;35,142129;34,32343234;0;0;0;0,660066007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,310231023;0;0;0;0;0;0;0;0;0;0,660066007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a62";"AlbaSanchez_a62";-5,152082;35,141913;3,355704698;0;0;0;0,33557047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,006711409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a63";"AlbaSanchez_a63";-5,151044;35,139146;10,52631579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,328947368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,657894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a64";"AlbaSanchez_a64";-5,303285;35,347574;0;0;0;0;0;0;0;8,108108108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a65";"AlbaSanchez_a65";-5,294552;35,346624;1,003344482;0;0;0;0;0;0;1,672240803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,341137124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a66";"AlbaSanchez_a66";-5,292949;35,345739;0;0;0;0;0;0;0;0,706713781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,826855124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a67";"AlbaSanchez_a67";-4,435739;34,819963;0;0;0;0;0;0;0;0,341296928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a68";"AlbaSanchez_a68";-4,46209;34,812419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,334448161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,675585284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a69";"AlbaSanchez_a69";-4,298583;34,848;0;0;0;0;0,332225914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,332225914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a70";"AlbaSanchez_a70";-4,321148;34,859132;0;0;0;0;0;0;0;0;0;0;0;0;0,323624595;0;0;0,323624595;0;0;0;0;0;0;0;0;0;0;0;0;0,647249191;0;0;0;0;0;0;0;0;0;2,588996764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a71";"AlbaSanchez_a71";-4,328126;34,888293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a72";"AlbaSanchez_a72";-5,207276;33,424301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a73";"AlbaSanchez_a73";-5,240169;33,39468;0;0;0;0;0,330033003;0;0;0,330033003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,330033003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a74";"AlbaSanchez_a74";-5,468365;32,956078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,986842105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,657894737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AlbaSanchez_a75";"AlbaSanchez_a75";-5,337213;33,1899;0;0;0;0;0;0;0;0,331125828;0;0;0;0;0;0;0;1,324503311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,331125828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
