;Abies;Alnus;Apiaceae;Armeria.type;Artemisia;Asteraceae;Betula;Boraginaceae;Botrychium;Brassicaceae;Calluna.vulgaris;Campanulaceae;Carpinus;Caryophyllaceae..periporate.excl..Paronychioideae.;Cedrus;Centaurea;Chenopodiaceae.Amaranthaceae;Corylus;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagaceae;Fagus;Filipendula;Hedera;Helianthemum;Hippophae.rhamnoides;Juniperus;Picea;Pinus;Plantago;Plantago.lanceolata.type;Poaceae;Polygonum;Quercus.robur.type;Quercus.ilex.type;Ranunculaceae;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Thalictrum;Ulmus;Urticaceae
Lopez_a388;0;0;0,004158004;0;0,03950104;0,004158004;0;0,006237006;0;0,014553015;0;0;0;0,01039501;0;0;0,029106029;0;0;0;0,002079002;0;0;0;0;0;0,014553015;0;0,006237006;0;0,022869023;0;0,004158004;0,093555094;0;0,004158004;0,708939709;0;0;0;0;0;0;0,004158004;0;0,002079002;0
Lopez_a389;0;0;0,00170068;0;0,015306122;0,005102041;0;0,005102041;0;0,010204082;0;0;0;0,005102041;0;0;0,042517007;0;0;0;0,003401361;0;0;0;0;0;0,010204082;0;0,00170068;0;0,008503401;0;0,003401361;0,164965986;0;0,005102041;0,68537415;0;0;0;0;0,00170068;0;0,005102041;0;0;0
Lopez_a390;0;0;0,002164502;0;0,028138528;0,006493506;0;0;0;0,025974026;0;0;0;0,006493506;0;0;0,032467532;0;0;0;0;0;0;0;0;0;0,010822511;0;0,004329004;0;0,006493506;0,002164502;0;0,116883117;0;0,002164502;0,722943723;0;0;0;0;0,002164502;0;0,006493506;0;0;0
Lopez_a391;0;0,005934718;0,020771513;0;0;0,008902077;0;0;0;0,005934718;0;0;0;0;0;0;0;0;0,002967359;0;0;0;0;0;0;0;0;0;0,008902077;0;0,071216617;0,002967359;0;0,06231454;0;0,002967359;0,724035608;0,005934718;0,029673591;0,002967359;0;0,002967359;0;0,002967359;0;0;0
Lopez_a392;0;0,007792208;0,018181818;0;0;0,005194805;0;0;0;0,007792208;0;0;0;0;0;0;0;0;0,002597403;0;0;0;0;0;0;0;0;0;0,007792208;0;0,114285714;0;0;0,05974026;0;0,005194805;0,688311688;0,002597403;0,025974026;0,005194805;0;0,002597403;0;0,002597403;0;0;0
Lopez_a393;0;0,007518797;0,020050125;0;0;0,002506266;0;0;0;0,007518797;0;0;0;0;0;0;0;0;0,005012531;0;0;0;0;0;0;0;0;0;0,012531328;0;0,095238095;0;0;0,080200501;0;0,007518797;0,65914787;0,002506266;0,037593985;0,005012531;0;0,005012531;0;0,005012531;0;0;0
Lopez_a394;0;0,012345679;0,033950617;0;0;0,00308642;0;0,00308642;0;0,00617284;0;0;0;0;0;0;0;0;0,00617284;0;0;0;0;0;0;0;0;0;0,021604938;0;0,12037037;0;0;0,055555556;0;0,009259259;0,62345679;0,00308642;0,058641975;0,00308642;0;0,00308642;0;0,00308642;0;0;0
Lopez_a395;0;0;0;0;0,029490617;0,008042895;0;0,00536193;0;0,029490617;0;0;0;0,008042895;0;0;0,021447721;0;0;0;0;0;0;0;0;0;0,00536193;0;0,008042895;0;0,024128686;0;0;0,179624665;0;0,00536193;0,627345845;0;0;0;0;0,002680965;0;0,00536193;0;0,002680965;0
Lopez_a396;0;0;0,000713012;0;0;0,142959002;0;0;0;0,000713012;0;0;0;0,000713012;0;0;0,809982175;0;0;0;0,009982175;0;0;0;0;0;0;0;0,00285205;0;0,012477718;0;0;0,002139037;0;0,000713012;0,006060606;0;0,004634581;0;0;0;0;0;0;0;0
Lopez_a397;0;0,048165138;0,004587156;0;0;0,002293578;0,717889908;0;0;0,006880734;0,002293578;0;0;0;0;0;0;0,004587156;0,004587156;0;0;0;0;0;0;0;0;0;0;0;0,094036697;0;0,020642202;0,050458716;0;0,004587156;0,004587156;0,002293578;0,002293578;0;0;0,002293578;0;0;0;0;0
