"","Longitude","Latitude","V3"
"201",30.49736667,37.63671667,"Bakker_b5"
"202",30.4964,37.64573333,"Bakker_b6"
"203",30.52878333,37.67591667,"Bakker_b7"
"204",30.58115,37.58416667,"Bakker_b8"
"205",30.40558333,37.56308333,"Bakker_b9"
"206",30.4046,37.5628,"Bakker_b10"
"207",30.39715,37.57375,"Bakker_b11"
"208",30.5527,37.628,"Bakker_b12"
"209",30.50831667,37.66738333,"Bakker_b13"
"210",30.50853333,37.66811667,"Bakker_b14"
"211",30.51231667,37.6785,"Bakker_b15"
"212",30.57888333,37.58068333,"Bakker_b16"
"213",30.59471667,37.56091667,"Bakker_b17"
"214",30.51373333,37.68508333,"Bakker_b18"
"215",30.51741667,37.68305,"Bakker_b19"
"216",30.52795,37.67551667,"Bakker_b20"
"217",30.4995,37.63625,"Bakker_b21"
"218",30.72546667,37.62201667,"Bakker_b22"
"219",30.51546667,37.67526667,"Bakker_b23"
"220",30.55915,37.62145,"Bakker_b24"
"221",30.56026667,37.56605,"Bakker_b25"
"222",30.57618333,37.551,"Bakker_b26"
"223",30.57835,37.54915,"Bakker_b27"
"224",30.5998,37.55323333,"Bakker_b28"
"225",30.65663333,37.62728333,"Bakker_b29"
"226",30.50326667,37.63476667,"Bakker_b30"
"227",30.65485,37.63373333,"Bakker_b31"
"228",30.6594,37.6289,"Bakker_b32"
"229",30.65576667,37.62943333,"Bakker_b33"
"230",30.65711667,37.62881667,"Bakker_b34"
"231",30.66003333,37.63758333,"Bakker_b35"
"232",30.49423333,37.67836667,"Bakker_b36"
"233",30.55616667,37.58613333,"Bakker_b37"
"234",30.55986667,37.58135,"Bakker_b38"
"235",30.54671667,37.59021667,"Bakker_b39"
"236",30.39943333,37.58123333,"Bakker_b40"
"237",30.40401667,37.58548333,"Bakker_b41"
"238",30.40216667,37.58045,"Bakker_b42"
"239",30.4037,37.58188333,"Bakker_b43"
"240",30.34693333,37.61971667,"Bakker_b44"
"241",30.33643333,37.61971667,"Bakker_b45"
"242",30.51018333,37.65943333,"Bakker_b46"
"243",30.5306,37.6806,"Bakker_b47"
"244",30.50373333,37.67705,"Bakker_b48"
"245",30.52738333,37.67708333,"Bakker_b49"
"246",30.57835,37.55293333,"Bakker_b50"
"247",30.57936667,37.5498,"Bakker_b51"
"248",30.50788333,37.66731667,"Bakker_b52"
"249",30.58413333,37.55566667,"Bakker_b53"
"250",30.49498333,37.63465,"Bakker_b54"
"251",30.4954,37.63301667,"Bakker_b55"
"252",30.49288333,37.65836667,"Bakker_b56"
"253",30.4759,37.6618,"Bakker_b57"
"254",30.55078333,37.63006667,"Bakker_b58"
"255",30.55943333,37.62411667,"Bakker_b59"
"256",30.56118333,37.61925,"Bakker_b60"
"257",30.59718333,37.56245,"Bakker_b61"
"258",30.594,37.6279,"Bakker_b62"
"259",30.56458333,37.6217,"Bakker_b63"
"260",30.56413333,37.6205,"Bakker_b64"
"261",27.11,44.08,"Barboni_a1"
"262",27.11,44.08,"Barboni_a2"
"263",27.11,44.08,"Barboni_a3"
"264",27.11,44.08,"Barboni_a4"
"265",27.11,44.08,"Barboni_a5"
"266",27.11,44.08,"Barboni_a6"
"267",27.11,44.08,"Barboni_a7"
"268",27.11,44.08,"Barboni_a8"
"269",26.9,44.11,"Barboni_a9"
"270",26.9,44.11,"Barboni_a10"
"271",26.9,44.11,"Barboni_a11"
"272",26.9,44.11,"Barboni_a12"
"273",26.9,44.11,"Barboni_a13"
"274",24.3333,41.983,"Barboni_a14"
"275",24.3333,41.983,"Barboni_a15"
"276",24.3333,41.983,"Barboni_a16"
"277",24.3167,41.967,"Barboni_a17"
"278",23.6,41.5,"Barboni_a18"
"279",23.61,41.53,"Barboni_a19"
"280",23.61,41.51,"Barboni_a20"
"281",23.61,41.51,"Barboni_a21"
"282",-3.7,40.93,"Barboni_a22"
"283",-3.8,40.96,"Barboni_a23"
"284",23.61,41.51,"Barboni_a24"
"285",-3.8,40.98,"Barboni_a25"
"286",-3.8,40.98,"Barboni_a26"
"287",-3.8,40.98,"Barboni_a27"
"288",-3.83,40.98,"Barboni_a28"
"289",-3.81,41.1,"Barboni_a29"
"290",-3.8,41.11,"Barboni_a30"
"291",23.61,41.51,"Barboni_a31"
"292",23.1,41.35,"Barboni_a32"
"293",23.11,41.35,"Barboni_a33"
"294",23.1,41.33,"Barboni_a34"
"295",15.62,40.32,"Barboni_a35"
"296",15.63,40.32,"Barboni_a36"
"297",15.63,40.32,"Barboni_a37"
"298",15.63,40.32,"Barboni_a38"
"299",15.63,40.32,"Barboni_a39"
"300",15.65,40.32,"Barboni_a40"
"301",15.65,40.32,"Barboni_a41"
"302",15.65,40.32,"Barboni_a42"
"303",15.65,40.32,"Barboni_a43"
"304",15.7,40.28,"Barboni_a44"
"305",15.7,40.28,"Barboni_a45"
"306",15.7,40.28,"Barboni_a46"
"307",15.7,40.28,"Barboni_a47"
"308",15.67,40.25,"Barboni_a48"
"309",15.67,40.25,"Barboni_a49"
"310",15.67,40.25,"Barboni_a50"
"311",15.65,40.25,"Barboni_a51"
"312",15.6,40.32,"Barboni_a52"
"313",15.6,40.32,"Barboni_a53"
"314",15.6,40.32,"Barboni_a54"
"315",15.55,40.32,"Barboni_a55"
"316",15.55,40.32,"Barboni_a56"
"317",7.68,44.15,"Barboni_a57"
"318",7.6,44.14,"Barboni_a58"
"319",4.3,45,"Barboni_a59"
"320",5.3,44.87,"Barboni_a60"
"321",4.3,45.05,"Barboni_a61"
"322",5.25,44.87,"Barboni_a62"
"323",9.07,41.57,"Barboni_a63"
"324",9.66,42.5,"Barboni_a64"
"325",8.97,42.23,"Barboni_a65"
"326",9.13,42.05,"Barboni_a66"
"327",4.85,43.52,"Barboni_a67"
"328",6.43,44.17,"Barboni_a68"
"329",5.35,44.1,"Barboni_a69"
"330",5.48,44.42,"Barboni_a70"
"331",5.38,44.42,"Barboni_a71"
"332",4.35,43.43,"Barboni_a72"
"333",5.32,44.1,"Barboni_a73"
"334",7.43,44.1,"Barboni_a74"
"335",7.45,44.05,"Barboni_a75"
"336",6.53,45.77,"Barboni_a76"
"337",5.85,44.75,"Barboni_a77"
"338",6.72,44.55,"Barboni_a78"
"339",6.548676,44.778151,"Barboni_a79"
"340",3.62,44.47,"Barboni_a80"
"341",5.32,44.1,"Barboni_a81"
"342",4.92,43.8,"Barboni_a82"
"343",41.2,35.18,"Barboni_a83"
"344",41.19,35.17,"Barboni_a84"
"345",41.04,35.27,"Barboni_a85"
"346",41.02,36.17,"Barboni_a86"
"347",40.79,36.15,"Barboni_a87"
"348",40.83,36.4,"Barboni_a88"
"349",40.88,36.43,"Barboni_a89"
"350",41.06,36.41,"Barboni_a90"
"351",41.14,36.4,"Barboni_a91"
"352",40.68,36.38,"Barboni_a92"
"353",39.08,37.279,"Barboni_a93"
"354",38.5,37.22,"Barboni_a94"
"355",38.5,37.22,"Barboni_a95"
"356",38.5,37.22,"Barboni_a96"
"357",38.529,37.27,"Barboni_a97"
"358",38.849,37.38,"Barboni_a98"
"359",39.419,37.72,"Barboni_a99"
"360",40.099,37.909,"Barboni_a100"
"361",39.72,38.18,"Barboni_a101"
"362",39.72,38.18,"Barboni_a102"
"363",39.72,38.18,"Barboni_a103"
"364",39.72,38.18,"Barboni_a104"
"365",39.72,38.18,"Barboni_a105"
"366",41.47,38.169,"Barboni_a106"
"367",41.669,38.13,"Barboni_a107"
"368",42.49,37.93,"Barboni_a108"
"369",42.419,37.919,"Barboni_a109"
"370",42.36,37.909,"Barboni_a110"
"371",42.259,37.919,"Barboni_a111"
"372",42.229,37.93,"Barboni_a112"
"373",42.049,38,"Barboni_a113"
"374",41.849,37.979,"Barboni_a114"
"375",37.549,37.75,"Barboni_a115"
"376",37.279,37.88,"Barboni_a116"
"377",39.529,38.5,"Barboni_a117"
"378",39.549,38.47,"Barboni_a118"
"379",39.669,38.4,"Barboni_a119"
"380",39.75,38.279,"Barboni_a120"
"381",40.169,37.979,"Barboni_a121"
"382",40.049,38.069,"Barboni_a122"
"383",39.88,38.18,"Barboni_a123"
"384",39.819,38.2,"Barboni_a124"
"385",41.029,38.5,"Barboni_a125"
"386",40.5,38.52,"Barboni_a126"
"387",40.5,38.58,"Barboni_a127"
"388",40.979,38.77,"Barboni_a128"
"389",40.43,38.909,"Barboni_a129"
"390",40.2,38.869,"Barboni_a130"
"391",2.7,45.41,"Barboni_a131"
"392",2.7,45.41,"Barboni_a132"
"393",2.7,45.41,"Barboni_a133"
"394",2.7,45.41,"Barboni_a134"
"395",2.7,45.41,"Barboni_a135"
"396",2.7,45.41,"Barboni_a136"
"397",2.7,45.41,"Barboni_a137"
"398",2.68,45.43,"Barboni_a138"
"399",2.68,45.43,"Barboni_a139"
"400",2.68,45.43,"Barboni_a140"
"401",2.66,45.38,"Barboni_a141"
"402",2.66,45.38,"Barboni_a142"
"403",2.66,45.38,"Barboni_a143"
"404",2.66,45.38,"Barboni_a144"
"405",2.66,45.38,"Barboni_a145"
"406",2.66,45.38,"Barboni_a146"
"407",2.66,45.38,"Barboni_a147"
"408",2.66,45.38,"Barboni_a148"
"409",2.66,45.38,"Barboni_a149"
"410",2.733333,45.5,"Barboni_a150"
"411",2.733333,45.5,"Barboni_a151"
"412",2.733333,45.5,"Barboni_a152"
"413",2.733333,45.5,"Barboni_a153"
"414",2.733333,45.5,"Barboni_a154"
"415",2.73,45.5,"Barboni_a155"
"416",2.73,45.5,"Barboni_a156"
"417",2.73,45.5,"Barboni_a157"
"418",2.73,45.5,"Barboni_a158"
"419",2.73,45.5,"Barboni_a159"
"420",2.73,45.5,"Barboni_a160"
"421",2.83,45.5,"Barboni_a161"
"422",2.83,45.5,"Barboni_a162"
