"";"Abies";"Picea";"Pinus";"Betula";"Alnus";"Corylus";"Carpinus";"Quercus";"Tilia";"Ulmus";"Fraxinus";"Fagus";"Poaceae";"Ericaceae";"Artemisia";"Cerealia-type";"Ranunculaceae";"Juniperus";"Populus";"Salix"
"1.897";0;0;0,0288;0,0481;0,2885;0,0385;0;0,1058;0;0;0,0192;0,1635;0,1827;0;0,0481;0,0192;0;0;0;0,0096
"1.94";0;0;0;0,0783;0,3652;0,0435;0,0087;0,2174;0;0,0261;0;0,1478;0,087;0;0,0087;0,0174;0;0;0;0
"1.959";0;0;0,01;0,06;0,34;0,05;0;0,08;0;0;0;0,16;0,19;0;0,01;0,04;0;0,01;0;0
"2.002";0;0;0,0077;0,0769;0,3846;0,0538;0,0231;0,1615;0,0154;0,0077;0,0154;0,1231;0,0769;0;0,0077;0,0154;0;0;0;0
"2.021";0;0;0,0568;0,142;0,1307;0,0568;0,0227;0,1591;0;0;0,0284;0,1136;0,1932;0;0,017;0,017;0,0057;0;0;0
"2.064";0;0;0;0,053;0,3333;0,0909;0,053;0,1515;0,0076;0;0,0076;0,1742;0,0682;0;0,0076;0,0152;0;0;0;0,0076
"2.082";0;0;0,0092;0,1101;0,2202;0,0459;0,0183;0,1376;0;0;0,0092;0,1193;0,211;0;0,0092;0,0459;0;0;0;0
"2.12";0;0;0,0268;0,0357;0,1786;0,0714;0,0089;0,1339;0,0179;0,0179;0;0,2054;0,1696;0;0,0089;0,0536;0,0089;0;0;0,0089
"2.144";0;0;0,0083;0,0667;0,2;0,0917;0,025;0,1167;0,0083;0,0167;0,0333;0,1333;0,1417;0;0,0167;0,05;0;0;0;0,0083
"2.181";0;0;0,0299;0,1418;0,1642;0,1119;0,0224;0,1045;0,0149;0,0149;0;0,1493;0,1716;0;0,0224;0,0149;0;0;0;0,0149
"2.206";0;0;0,0168;0,0756;0,1597;0,0672;0,0336;0,1429;0;0,0084;0,0084;0,2185;0,1345;0;0,042;0,0252;0;0;0;0,0084
"2.249";0;0;0,0077;0,0692;0,2231;0,1308;0,0308;0,1538;0,0154;0,0077;0,0154;0,2462;0,0538;0;0,0308;0,0154;0;0;0;0
"2.268";0;0;0,0088;0,0965;0,0965;0,0965;0,0351;0,1579;0;0;0,0088;0,1579;0,2281;0,0088;0;0,0526;0;0;0;0
"2.311";0;0;0,0236;0,0866;0,2913;0,189;0,0157;0,1339;0;0,0394;0;0,1102;0,0866;0;0;0,0157;0;0;0;0
"2.33";0;0;0,027;0,045;0,1712;0,1081;0,009;0,2523;0;0;0;0,1171;0,2162;0;0,009;0,036;0;0;0;0
"2.373";0;0;0,0309;0,0825;0,268;0,1237;0,0619;0,2371;0,0103;0,0103;0;0,0619;0,1134;0;0;0;0;0;0;0
"2.392";0;0;0,0273;0,0727;0,1091;0,1364;0,0273;0,2273;0,0091;0;0,0091;0,0818;0,2;0;0,0273;0;0;0;0;0
"2.429";0;0;0,0331;0,124;0,2479;0,0661;0;0,124;0;0,0165;0,0083;0,124;0,1818;0;0,0165;0,0083;0;0;0;0,0083
"2.454";0;0;0;0,13;0,18;0,19;0,02;0,12;0;0,02;0,03;0,12;0,08;0;0;0,04;0;0;0;0
