"";"NameCal";"Loc...1.";"Loc...2."
"37";"AlbaSanchez_a39";-4,99042;36,71856
"38";"AlbaSanchez_a40";-4,97122;36,71158
"39";"AlbaSanchez_a41";-4,97412;36,70599
"40";"AlbaSanchez_a42";-4,97777;36,70187
"41";"AlbaSanchez_a43";-4,98389;36,70257
"42";"AlbaSanchez_a44";-4,988;36,70203
"43";"AlbaSanchez_a45";-4,909311;36,619483
"44";"AlbaSanchez_a46";-5,43012;35,24113
"45";"AlbaSanchez_a47";-5,429297;35,241631
"46";"AlbaSanchez_a49";-5,103634;35,259856
"47";"AlbaSanchez_a50";-5,216593;35,184338
"48";"AlbaSanchez_a51";-4,50827;34,904032
"49";"AlbaSanchez_a52";-4,617827;34,909996
"50";"AlbaSanchez_a53";-4,653223;34,896955
"51";"AlbaSanchez_a54";-4,536485;34,907986
"52";"AlbaSanchez_a55";-4,611571;34,849704
"53";"AlbaSanchez_a57";-4,532196;34,840495
"54";"AlbaSanchez_a58";-4,761091;34,976196
"55";"AlbaSanchez_a59";-4,820689;34,992855
"56";"AlbaSanchez_a60";-4,871389;34,996671
"57";"AlbaSanchez_a61";-5,148185;35,142129
"58";"AlbaSanchez_a62";-5,152082;35,141913
"59";"AlbaSanchez_a63";-5,151044;35,139146
"60";"AlbaSanchez_a64";-5,303285;35,347574
"61";"AlbaSanchez_a65";-5,294552;35,346624
"62";"AlbaSanchez_a66";-5,292949;35,345739
"63";"AlbaSanchez_a67";-4,435739;34,819963
"64";"AlbaSanchez_a68";-4,46209;34,812419
"65";"AlbaSanchez_a69";-4,298583;34,848
"66";"AlbaSanchez_a70";-4,321148;34,859132
"67";"AlbaSanchez_a71";-4,328126;34,888293
"68";"AlbaSanchez_a72";-5,207276;33,424301
"69";"AlbaSanchez_a73";-5,240169;33,39468
"70";"AlbaSanchez_a74";-5,468365;32,956078
"71";"AlbaSanchez_a75";-5,337213;33,1899
"72";"AlbaSanchez_a76";-5,339239;33,172825
"73";"AlbaSanchez_a77";-5,346624;33,136528
"74";"AlbaSanchez_a78";-5,331323;32,897139
"75";"AlbaSanchez_a79";-5,269515;32,944753
"76";"AlbaSanchez_a80";-5,242167;32,947561
"77";"AlbaSanchez_a81";-5,370925;32,926501
"78";"AlbaSanchez_a82";-5,435338;32,943043
"79";"AlbaSanchez_a83";-5,496605;32,936991
"80";"AlbaSanchez_a84";-5,477006;32,942474
"81";"AlbaSanchez_a85";-5,36791;32,937865
"82";"AlbaSanchez_a86";-5,180248;32,849844
"83";"AlbaSanchez_a87";-5,237251;32,869999
"84";"AlbaSanchez_a88";-5,257908;32,885662
"85";"AlbaSanchez_a89";-4,918195;35,013695
"86";"AlbaSanchez_a90";-4,902107;35,016676
"87";"AlbaSanchez_a91";-5,072076;35,133767
"88";"AlbaSanchez_a92";-5,057928;35,118435
"89";"AlbaSanchez_a93";-5,118979;35,135797
"90";"AlbaSanchez_a94";-5,112933;35,127825
"91";"AlbaSanchez_a95";-5,102893;35,121953
"92";"AlbaSanchez_a96";-5,146365;35,006211
"93";"AlbaSanchez_a97";-4,195262;34,043501
"94";"AlbaSanchez_a98";-4,176906;34,084397
"95";"AlbaSanchez_a99";-4,178092;34,077415
"96";"AlbaSanchez_a100";-4,041782;33,85286
"97";"AlbaSanchez_a101";-4,065878;33,79968
"98";"AlbaSanchez_a102";-4,159211;33,653631
"99";"AlbaSanchez_a103";-4,715923;33,382891
"100";"AlbaSanchez_a104";-4,661729;33,404569
"101";"AlbaSanchez_a105";-4,656264;33,404563
"102";"AlbaSanchez_a106";-4,958171;33,224912
"103";"AlbaSanchez_a107";-5,315588;32,464617
"104";"AlbaSanchez_a109";-5,432414;32,417622
"105";"AlbaSanchez_a110";-4,989956;32,531557
"106";"AlbaSanchez_a111";-4,972351;32,534187
"107";"AlbaSanchez_a112";-5,306836;32,28702
"108";"AlbaSanchez_a113";-5,410342;32,3011
"109";"AlbaSanchez_a114";-5,061569;32,976551
"110";"AlbaSanchez_a115";-5,071464;33,006335
"111";"AlbaSanchez_a116";-5,180223;33,287499
"112";"AlbaSanchez_a117";-5,19053;33,267471
"113";"AlbaSanchez_a118";-5,128402;33,377907
"114";"AlbaSanchez_a119";-5,139706;33,36205
"115";"AlbaSanchez_a120";-5,184415;33,407958
"116";"AlbaSanchez_a121";-5,208466;33,401479
"117";"AlbaSanchez_a122";-5,224375;33,381264
"118";"AlbaSanchez_a123";-5,231046;33,352279
"119";"AlbaSanchez_a124";-5,236495;33,300496
"120";"AlbaSanchez_a125";-5,239618;33,253437
"121";"AlbaSanchez_a126";-5,29099;33,238472
"122";"AlbaSanchez_a127";-5,238681;33,159732
"123";"AlbaSanchez_a128";-5,233222;33,213928
"124";"AlbaSanchez_a129";-5,201924;33,232016
"125";"AlbaSanchez_a130";-5,351986;32,977369
"126";"AlbaSanchez_a131";-5,345176;32,977631
"127";"AlbaSanchez_a132";-5,24609;33,098369
"128";"AlbaSanchez_a133";-5,235244;33,032387
"129";"AlbaSanchez_a134";-5,219707;33,03495
"130";"AlbaSanchez_a135";-5,010915;33,552338
"131";"Antipina_Galimov_a1";60,07;59,5000202
"132";"Antipina_Galimov_a2";60,0708;59,49486
"133";"Antipina_a1";59,56994;57,49276
"134";"Antipina_a2";59,5671;57,49424
"135";"Antipina_a3";60,41132;57,15065
"136";"Antipina_a4";60,54;64,23
"137";"Antipina_a5";61,04;64,13
"138";"Antipina_a6";59,55822;60,00015
"139";"Antipina_a7";60,032087;61,016751
"140";"Antipina_a8";63,35305;60,53937
"141";"Antipina_a9";64,02;60,55
"142";"Antipina_a10";64;60
"143";"Antipina_a11";64,02649;60,55204
"144";"Antipina_a12";63,35539;60,5567
"145";"Antipina_a13";76,4512;61,0227
"146";"Antipina_a14";79,3429;57,0444
"147";"Atanassova_a1";25,34138889;42,74111111
"148";"Atanassova_a2";25,3275;42,75555556
"149";"Atanassova_a3";25,3275;42,76
"150";"Atanassova_a4";25,34083333;42,72055556
"151";"Atanassova_a5";25,33722222;42,72444444
"152";"Atanassova_b1";25,34138889;42,74111111
"153";"Atanassova_b2";25,3275;42,75555556
"154";"Atanassova_b3";25,3275;42,76
"155";"Atanassova_b4";25,34083333;42,72055556
"156";"Atanassova_b5";25,33722222;42,72444444
"157";"Atanassova_c1";25,34138889;42,74111111
"158";"Atanassova_c2";25,3275;42,75555556
"159";"Atanassova_c3";25,3275;42,76
"160";"Atanassova_c4";25,34083333;42,72055556
"161";"Atanassova_c5";25,33722222;42,72444444
"162";"Atanassova_d1";25,3275;42,75555556
"163";"Atanassova_d2";25,3275;42,76
"164";"Atanassova_e1";25,32138;42,735
"165";"Atanassova_e2";25,32138;42,735
"166";"Atanassova_e3";25,32138;42,735
"167";"Atanassova_e4";25,3258;42,746
"168";"Atanassova_e5";25,3258;42,746
"169";"Atanassova_e6";25,3258;42,746
"170";"Atanassova_e7";25,3258;42,746
"171";"Atanassova_e8";25,325;42,738
"172";"Atanassova_e9";25,325;42,738
"173";"Atanassova_e10";25,325;42,738
"174";"Atanassova_e11";25,325;42,738
"175";"Atanassova_e12";25,323;42,7244
"176";"Atanassova_e13";25,323;42,7244
"177";"Atanassova_e14";25,323;42,7244
"178";"Atanassova_e15";25,3202;42,717
"179";"Atanassova_e16";25,3202;42,717
"180";"Atanassova_e17";25,3202;42,717
"181";"Bakker_a1";30,401436;37,591179
"182";"Bakker_a2";30,380378;37,591353
"183";"Bakker_a3";30,41412;37,57448
"184";"Bakker_a4";30,407665;37,566355
"185";"Bakker_a5";30,40911;37,56973
"186";"Bakker_a6";30,393515;37,589715
"187";"Bakker_a7";30,40608;37,585288
"188";"Bakker_a8";30,39121;37,589223
"189";"Bakker_a9";30,403755;37,58995
"190";"Bakker_a10";30,297804;37,550905
"191";"Bakker_a11";30,300453;37,546514
"192";"Bakker_a12";30,290816;37,538868
"193";"Bakker_a13";30,284311;37,5388
"194";"Bakker_a14";30,368871;37,568253
"195";"Bakker_a15";30,622577;37,566754
"196";"Bakker_a16";30,385371;37,547705
"197";"Bakker_b1";30,47396667;37,66001667
"198";"Bakker_b2";30,5904;37,57988333
"199";"Bakker_b3";30,4737;37,64191667
"200";"Bakker_b4";30,51635;37,671017
"201";"Bakker_b5";30,49736667;37,63671667
"202";"Bakker_b6";30,4964;37,64573333
"203";"Bakker_b7";30,52878333;37,67591667
"204";"Bakker_b8";30,58115;37,58416667
"205";"Bakker_b9";30,40558333;37,56308333
"206";"Bakker_b10";30,4046;37,5628
"207";"Bakker_b11";30,39715;37,57375
"208";"Bakker_b12";30,5527;37,628
"209";"Bakker_b13";30,50831667;37,66738333
"210";"Bakker_b14";30,50853333;37,66811667
"211";"Bakker_b15";30,51231667;37,6785
"212";"Bakker_b16";30,57888333;37,58068333
"213";"Bakker_b17";30,59471667;37,56091667
"214";"Bakker_b18";30,51373333;37,68508333
"215";"Bakker_b19";30,51741667;37,68305
"216";"Bakker_b20";30,52795;37,67551667
"217";"Bakker_b21";30,4995;37,63625
"218";"Bakker_b22";30,72546667;37,62201667
"219";"Bakker_b23";30,51546667;37,67526667
"220";"Bakker_b24";30,55915;37,62145
"221";"Bakker_b25";30,56026667;37,56605
"222";"Bakker_b26";30,57618333;37,551
"223";"Bakker_b27";30,57835;37,54915
"224";"Bakker_b28";30,5998;37,55323333
"225";"Bakker_b29";30,65663333;37,62728333
"226";"Bakker_b30";30,50326667;37,63476667
"227";"Bakker_b31";30,65485;37,63373333
"228";"Bakker_b32";30,6594;37,6289
"229";"Bakker_b33";30,65576667;37,62943333
"230";"Bakker_b34";30,65711667;37,62881667
"231";"Bakker_b35";30,66003333;37,63758333
"232";"Bakker_b36";30,49423333;37,67836667
"233";"Bakker_b37";30,55616667;37,58613333
"234";"Bakker_b38";30,55986667;37,58135
"235";"Bakker_b39";30,54671667;37,59021667
"236";"Bakker_b40";30,39943333;37,58123333
"237";"Bakker_b41";30,40401667;37,58548333
"238";"Bakker_b42";30,40216667;37,58045
"239";"Bakker_b43";30,4037;37,58188333
"240";"Bakker_b44";30,34693333;37,61971667
"241";"Bakker_b45";30,33643333;37,61971667
"242";"Bakker_b46";30,51018333;37,65943333
"243";"Bakker_b47";30,5306;37,6806
"244";"Bakker_b48";30,50373333;37,67705
"245";"Bakker_b49";30,52738333;37,67708333
"246";"Bakker_b50";30,57835;37,55293333
"247";"Bakker_b51";30,57936667;37,5498
"248";"Bakker_b52";30,50788333;37,66731667
"249";"Bakker_b53";30,58413333;37,55566667
"250";"Bakker_b54";30,49498333;37,63465
"251";"Bakker_b55";30,4954;37,63301667
"252";"Bakker_b56";30,49288333;37,65836667
"253";"Bakker_b57";30,4759;37,6618
"254";"Bakker_b58";30,55078333;37,63006667
"255";"Bakker_b59";30,55943333;37,62411667
"256";"Bakker_b60";30,56118333;37,61925
"257";"Bakker_b61";30,59718333;37,56245
"258";"Bakker_b62";30,594;37,6279
"259";"Bakker_b63";30,56458333;37,6217
"260";"Bakker_b64";30,56413333;37,6205
"261";"Barboni_a1";27,11;44,08
"262";"Barboni_a2";27,11;44,08
"263";"Barboni_a3";27,11;44,08
"264";"Barboni_a4";27,11;44,08
"265";"Barboni_a5";27,11;44,08
"266";"Barboni_a6";27,11;44,08
"267";"Barboni_a7";27,11;44,08
"268";"Barboni_a8";27,11;44,08
"269";"Barboni_a9";26,9;44,11
"270";"Barboni_a10";26,9;44,11
"271";"Barboni_a11";26,9;44,11
"272";"Barboni_a12";26,9;44,11
"273";"Barboni_a13";26,9;44,11
"274";"Barboni_a14";24,3333;41,983
"275";"Barboni_a15";24,3333;41,983
"276";"Barboni_a16";24,3333;41,983
"277";"Barboni_a17";24,3167;41,967
"278";"Barboni_a18";23,6;41,5
"279";"Barboni_a19";23,61;41,53
"280";"Barboni_a20";23,61;41,51
"281";"Barboni_a21";23,61;41,51
"282";"Barboni_a22";-3,7;40,93
"283";"Barboni_a23";-3,8;40,96
"284";"Barboni_a24";23,61;41,51
"285";"Barboni_a25";-3,8;40,98
"286";"Barboni_a26";-3,8;40,98
"287";"Barboni_a27";-3,8;40,98
"288";"Barboni_a28";-3,83;40,98
"289";"Barboni_a29";-3,81;41,1
"290";"Barboni_a30";-3,8;41,11
"291";"Barboni_a31";23,61;41,51
"292";"Barboni_a32";23,1;41,35
"293";"Barboni_a33";23,11;41,35
"294";"Barboni_a34";23,1;41,33
"295";"Barboni_a35";15,62;40,32
"296";"Barboni_a36";15,63;40,32
"297";"Barboni_a37";15,63;40,32
"298";"Barboni_a38";15,63;40,32
"299";"Barboni_a39";15,63;40,32
"300";"Barboni_a40";15,65;40,32
"301";"Barboni_a41";15,65;40,32
"302";"Barboni_a42";15,65;40,32
"303";"Barboni_a43";15,65;40,32
"304";"Barboni_a44";15,7;40,28
"305";"Barboni_a45";15,7;40,28
"306";"Barboni_a46";15,7;40,28
"307";"Barboni_a47";15,7;40,28
"308";"Barboni_a48";15,67;40,25
"309";"Barboni_a49";15,67;40,25
"310";"Barboni_a50";15,67;40,25
"311";"Barboni_a51";15,65;40,25
"312";"Barboni_a52";15,6;40,32
"313";"Barboni_a53";15,6;40,32
"314";"Barboni_a54";15,6;40,32
"315";"Barboni_a55";15,55;40,32
"316";"Barboni_a56";15,55;40,32
"317";"Barboni_a57";7,68;44,15
"318";"Barboni_a58";7,6;44,14
"319";"Barboni_a59";4,3;45
"320";"Barboni_a60";5,3;44,87
"321";"Barboni_a61";4,3;45,05
"322";"Barboni_a62";5,25;44,87
"323";"Barboni_a63";9,07;41,57
"324";"Barboni_a64";9,66;42,5
"325";"Barboni_a65";8,97;42,23
"326";"Barboni_a66";9,13;42,05
"327";"Barboni_a67";4,85;43,52
"328";"Barboni_a68";6,43;44,17
"329";"Barboni_a69";5,35;44,1
"330";"Barboni_a70";5,48;44,42
"331";"Barboni_a71";5,38;44,42
"332";"Barboni_a72";4,35;43,43
"333";"Barboni_a73";5,32;44,1
"334";"Barboni_a74";7,43;44,1
"335";"Barboni_a75";7,45;44,05
"336";"Barboni_a76";6,53;45,77
"337";"Barboni_a77";5,85;44,75
"338";"Barboni_a78";6,72;44,55
"339";"Barboni_a79";6,548676;44,778151
"340";"Barboni_a80";3,62;44,47
"341";"Barboni_a81";5,32;44,1
"342";"Barboni_a82";4,92;43,8
"343";"Barboni_a83";41,2;35,18
"344";"Barboni_a84";41,19;35,17
"345";"Barboni_a85";41,04;35,27
"346";"Barboni_a86";41,02;36,17
"347";"Barboni_a87";40,79;36,15
"348";"Barboni_a88";40,83;36,4
"349";"Barboni_a89";40,88;36,43
"350";"Barboni_a90";41,06;36,41
"351";"Barboni_a91";41,14;36,4
"352";"Barboni_a92";40,68;36,38
"353";"Barboni_a93";39,08;37,279
"354";"Barboni_a94";38,5;37,22
"355";"Barboni_a95";38,5;37,22
"356";"Barboni_a96";38,5;37,22
"357";"Barboni_a97";38,529;37,27
"358";"Barboni_a98";38,849;37,38
"359";"Barboni_a99";39,419;37,72
"360";"Barboni_a100";40,099;37,909
"361";"Barboni_a101";39,72;38,18
"362";"Barboni_a102";39,72;38,18
"363";"Barboni_a103";39,72;38,18
"364";"Barboni_a104";39,72;38,18
"365";"Barboni_a105";39,72;38,18
"366";"Barboni_a106";41,47;38,169
"367";"Barboni_a107";41,669;38,13
"368";"Barboni_a108";42,49;37,93
"369";"Barboni_a109";42,419;37,919
"370";"Barboni_a110";42,36;37,909
"371";"Barboni_a111";42,259;37,919
"372";"Barboni_a112";42,229;37,93
"373";"Barboni_a113";42,049;38
"374";"Barboni_a114";41,849;37,979
"375";"Barboni_a115";37,549;37,75
"376";"Barboni_a116";37,279;37,88
"377";"Barboni_a117";39,529;38,5
"378";"Barboni_a118";39,549;38,47
"379";"Barboni_a119";39,669;38,4
"380";"Barboni_a120";39,75;38,279
"381";"Barboni_a121";40,169;37,979
"382";"Barboni_a122";40,049;38,069
"383";"Barboni_a123";39,88;38,18
"384";"Barboni_a124";39,819;38,2
"385";"Barboni_a125";41,029;38,5
"386";"Barboni_a126";40,5;38,52
"387";"Barboni_a127";40,5;38,58
"388";"Barboni_a128";40,979;38,77
"389";"Barboni_a129";40,43;38,909
"390";"Barboni_a130";40,2;38,869
"391";"Barboni_a131";2,7;45,41
"392";"Barboni_a132";2,7;45,41
"393";"Barboni_a133";2,7;45,41
"394";"Barboni_a134";2,7;45,41
"395";"Barboni_a135";2,7;45,41
"396";"Barboni_a136";2,7;45,41
"397";"Barboni_a137";2,7;45,41
"398";"Barboni_a138";2,68;45,43
"399";"Barboni_a139";2,68;45,43
"400";"Barboni_a140";2,68;45,43
"401";"Barboni_a141";2,66;45,38
"402";"Barboni_a142";2,66;45,38
"403";"Barboni_a143";2,66;45,38
"404";"Barboni_a144";2,66;45,38
"405";"Barboni_a145";2,66;45,38
"406";"Barboni_a146";2,66;45,38
"407";"Barboni_a147";2,66;45,38
"408";"Barboni_a148";2,66;45,38
"409";"Barboni_a149";2,66;45,38
"410";"Barboni_a150";2,733333;45,5
"411";"Barboni_a151";2,733333;45,5
"412";"Barboni_a152";2,733333;45,5
"413";"Barboni_a153";2,733333;45,5
"414";"Barboni_a154";2,733333;45,5
"415";"Barboni_a155";2,73;45,5
"416";"Barboni_a156";2,73;45,5
"417";"Barboni_a157";2,73;45,5
"418";"Barboni_a158";2,73;45,5
"419";"Barboni_a159";2,73;45,5
"420";"Barboni_a160";2,73;45,5
"421";"Barboni_a161";2,83;45,5
"422";"Barboni_a162";2,83;45,5
"423";"Barboni_a163";2,83;45,5
"424";"Barboni_a164";2,83;45,5
"425";"Barboni_a165";2,83;45,5
"426";"Barboni_a166";2,61;45,45
"427";"Barboni_a167";2,61;45,43
"428";"Barboni_a168";2,58;45,4
"429";"Barboni_a169";2,6;45,38
"430";"Barboni_a170";2,58;45,36
"431";"Barboni_a171";2,68;45,38
"432";"Barboni_a172";2,66;45,38
"433";"Barboni_a173";2,66;45,4
"434";"Barboni_a174";2,66;45,38
"435";"Barboni_a175";2,66;45,38
"436";"Barboni_a176";2,7;45,4
"437";"Barboni_a177";2,7;45,4
"438";"Barboni_a178";2,7;45,41
"439";"Barboni_a179";2,7;45,41
"440";"Barboni_a180";2,7;45,41
"441";"Barboni_a181";2,66;45,51
"442";"Barboni_a182";2,65;45,53
"443";"Barboni_a183";2,73;45,45
"444";"Barboni_a184";2,76;45,46
"445";"Barboni_a185";2,789;45,47
"446";"Barboni_a186";2,733333;45,5
"447";"Barboni_a187";2,73;45,5
"448";"Barboni_a188";2,76;45,48
"449";"Barboni_a189";2,789;45,47
"450";"Barboni_a190";2,85;45,43
"451";"Barboni_a191";2,76;45,43
"452";"Barboni_a192";2,78;45,4
"453";"Barboni_a193";2,78;45,4
"454";"Barboni_a194";2,83;45,45
"455";"Barboni_a195";2,8667;45
"456";"Barboni_a196";2,83;45,5
"457";"Barboni_a197";2,83;45,5
"458";"Barboni_a349";-6,85625;37,155
"459";"Barboni_a350";29,597222;37,125
"460";"Barboni_a351";-6,830556;42,877778
"461";"Barboni_a352";-6,830556;42,877778
"462";"Barboni_a353";-7;42,7
"463";"Barboni_a354";8,8;52,1
"464";"Barboni_a355";5,4;49,9
"465";"Barboni_a356";5,4;49,9
"466";"Barboni_a357";5,4;49,9
"467";"Barboni_a358";5,4;49,9
"468";"Barboni_a359";5,9;50,3
"469";"Barboni_a360";5,9;50,3
"470";"Barboni_a361";5,9;50,4
"471";"Barboni_a362";13,8;55,4
"472";"Barboni_a363";14,5;56,1
"473";"Barboni_a364";15;58,8
"474";"Barboni_a365";14,2;57,5
"475";"Barboni_a366";17,7;60,3
"476";"Barboni_a367";19,2;68,3
"477";"Barboni_a368";19,2;68,3
"478";"Barboni_a369";20,8;69
"479";"Barboni_a370";20,8;69
"480";"Barboni_a371";21,8;68
"481";"Barboni_a372";22,3;68,5
"482";"Barboni_a373";22,2;68,5
"483";"Barboni_a374";-6,5;37,11666667
"484";"Barboni_a375";3;47
"485";"Barboni_a376";33,81666667;37,5
"486";"Barboni_a377";-4,016667;43,117886
"487";"Barboni_a378";0,55;40,76
"488";"Barboni_a379";-6,233333;41,966667
"489";"Barboni_a380";27,831944;43,187222
"490";"Barboni_a381";29,95;36,58333333
"491";"Barboni_a382";-4,868889;36,967222
"492";"Barboni_a383";-5,067222;36,818889
"493";"Barboni_a384";-5,35;36,517222
"494";"Barboni_a385";-5,368889;36,467222
"495";"Barboni_a386";-5,417222;36,318889
"496";"Barboni_a387";-3,617222;37,018889
"497";"Barboni_a388";-3,517222;36,917222
"498";"Barboni_a389";-3,35;36,95
"499";"Barboni_a390";-3,35;36,918889
"500";"Barboni_a391";-3,268889;36,95
"501";"Barboni_a392";-3,218889;36,95
"502";"Barboni_a393";-3,017222;37,018889
"503";"Barboni_a394";-3,017222;37,1
"504";"Barboni_a395";-3,018889;37,117222
"505";"Barboni_a396";-3,05;37,15
"506";"Barboni_a397";-2,917222;37,167222
"507";"Barboni_a398";-3,117222;37,168889
"508";"Barboni_a399";-6,15;37,618889
"509";"Barboni_a400";-6,368889;37,767222
"510";"Barboni_a401";-6,618889;37,917222
"511";"Barboni_a402";-6,718889;38,018889
"512";"Barboni_a403";-3,317222;42,368889
"513";"Barboni_a404";-3,867222;42,618889
"514";"Barboni_a405";-4,818889;43,317222
"515";"Barboni_a406";-4,917222;43,318889
"516";"Barboni_a407";-5,017222;43,35
"517";"Barboni_a408";-4,968889;43,267222
"518";"Barboni_a409";-5,05;43,3
"519";"Barboni_a410";-5,05;43,3
"520";"Barboni_a411";-4,918889;43,418889
"521";"Barboni_a412";-4,968889;43,417222
"522";"Barboni_a413";-5;43,4
"523";"Barboni_a414";-5,018889;43,368889
"524";"Barboni_a415";-3,65;39,1
"525";"Barboni_a416";-4,8;43,15
"526";"Barboni_a417";-4,817222;43,15
"527";"Barboni_a418";-4,817222;43,118889
"528";"Barboni_a419";-4,767222;43,117222
"529";"Barboni_a420";-4,718889;43,118889
"530";"Barboni_a421";-4,668889;43,167222
"531";"Barboni_a422";-4,767222;43,067222
"532";"Barboni_a423";-4,75;43,068889
"533";"Barboni_a424";-4,85;43,068889
"534";"Barboni_a425";-4,867222;43,117222
"535";"Barboni_a426";-4,7;43,1
"536";"Barboni_a427";-4,668889;43,1
"537";"Barboni_a428";-4,618889;43,117222
"538";"Barboni_a429";-4,568889;43,218889
"539";"Barboni_a430";-5,85;39,168889
"540";"Barboni_a431";-5,368889;39,367222
"541";"Barboni_a432";-5,318889;39,368889
"542";"Barboni_a433";-5,318889;39,468889
"543";"Barboni_a434";-5,318889;39,468889
"544";"Barboni_a435";-5,35;39,517222
"545";"Barboni_a436";-5,367222;39,518889
"546";"Barboni_a437";-5,417222;39,6
"547";"Barboni_a438";-6,468889;40,567222
"548";"Barboni_a439";-6,418889;40,55
"549";"Barboni_a440";-6,318889;40,517222
"550";"Barboni_a441";-6,2;40,517222
"551";"Barboni_a442";-6,167222;40,517222
"552";"Barboni_a443";-6,118889;40,517222
"553";"Barboni_a444";-6,117222;40,467222
"554";"Barboni_a445";-6,118889;40,5
"555";"Barboni_a446";-6,15;40,418889
"556";"Barboni_a447";-6,018888889;40,45
"557";"Barboni_a448";-6,367222;40,1
"558";"Barboni_a449";-6,4;40,118889
"559";"Barboni_a450";-6,5;40,118889
"560";"Barboni_a451";-6,5;40,268889
"561";"Barboni_a452";-6,45;40,318889
"562";"Barboni_a453";-6,45;40,35
"563";"Barboni_a454";-6,467222;40,367222
"564";"Barboni_a455";-6,45;40,368889
"565";"Barboni_a456";-6,468889;40,467222
"566";"Barboni_a457";-6,5;40,5
"567";"Barboni_a458";-6,2;40,368889
"568";"Barboni_a459";-6,5;40,4
"569";"Barboni_a460";-6,7;40,367222
"570";"Barboni_a461";-7;40,367222
"571";"Barboni_a462";-7,2;40,318889
"572";"Barboni_a463";-7;40,3
"573";"Barboni_a464";-6,8;40,3
"574";"Barboni_a465";-7,7;40,25
"575";"Barboni_a466";-7,8;40,2
"576";"Barboni_a467";-7,2;40,05
"577";"Barboni_a468";-2,768889;41,7
"578";"Barboni_a469";-2,668889;41,717222
"579";"Barboni_a470";-2,067222;41,818889
"580";"Barboni_a471";-2,117222;41,8
"581";"Barboni_a472";-1,968889;41,85
"582";"Barboni_a473";-1,85;41,818889
"583";"Barboni_a474";-1,818889;41,817222
"584";"Barboni_a475";-1,817222;41,8
"585";"Barboni_a476";-1,817222;41,768889
"586";"Barboni_a477";-1,818889;41,8
"587";"Barboni_a478";-1,817222;41,817222
"588";"Barboni_a479";-1,8;41,817222
"589";"Barboni_a480";-1,768889;41,85
"590";"Barboni_a481";-1,767222;41,867222
"591";"Barboni_a482";-4,318889;38,65
"592";"Barboni_a483";-4,367222;38,568889
"593";"Barboni_a484";-4,368889;38,518889
"594";"Barboni_a485";-4,368889;38,517222
"595";"Barboni_a486";-4,367222;38,468889
"596";"Barboni_a487";-4,317222;38,368889
"597";"Barboni_a488";-5,518889;42,968889
"598";"Barboni_a489";-6,75;42,75
"599";"Barboni_a490";-6,9;42,85
"600";"Barboni_a491";-3,317222;37,05
"601";"Barboni_a492";-3,317222;37,067222
"602";"Barboni_a493";-3,317222;37,067222
"603";"Barboni_a494";-3,317222;37,067222
"604";"Barboni_a495";-3,367222;37,068889
"605";"Barboni_a496";-3,4;37,1
"606";"Barboni_a497";-3,318889;37,118889
"607";"Barboni_a498";-3,318889;37,117222
"608";"Barboni_a499";-3,35;37,118889
"609";"Barboni_a500";-3,35;37,118889
"610";"Barboni_a501";-3,367222;37,118889
"611";"Barboni_a502";-5,367222;36,768889
"612";"Barboni_a503";-5,318889;36,75
"613";"Barboni_a504";-5,267222;36,768889
"614";"Barboni_a505";-5,25;36,768889
"615";"Barboni_a506";-5,168889;36,817222
"616";"Barboni_a507";-4,967222;36,7
"617";"Barboni_a508";-4,968889;36,668889
