"","Site","Long","Lat","Alt","A_CLDE","B_CLEG","C_CLMX","D_COEG","E_COMX","F_TEDE","G_WTEM","H_WTEG","I_TRSE","J_TREG","K_TRDE","L_TEXE","M_TEGR","N_DESE","O_CUSH","P_DRYT","Q_PROS","R_DWAR","S_SHRU","Best","Best.num"
"609","GHB-610",112.233,38.9,1860,8.13174090151731,10.6425423096339,10.6425423096339,15.6227030504086,18.477825095432,15.9670236873155,4.58036467994916,3.89172340613528,4.63584010386776,4.63584010386776,6.69552014431403,5.24134512439048,7.71011046533547,2.7745447256315,4.0770126534012,6.54577799434619,9.99004212483122,6.77158255773278,8.38179481237501,"E_COMX",5
"610","GHB-611",112.233,38.9,1860,7.88519714320391,10.1086063243939,10.1086063243939,14.8712311134821,18.1942243059729,15.9708151247829,4.47901942848991,3.08301517002822,4.2090440695901,4.2090440695901,6.83316268509154,5.62995205422718,8.55533254833894,3.55326851547215,4.48342855730267,7.40880905141443,10.4321340274029,6.79112900906382,8.87408596421196,"E_COMX",5
"611","GHB-612",112.233,38.9,1860,6.69319449812564,8.31785904319332,8.31785904319332,12.5154969242037,16.6738092363792,16.2643583293192,4.16090423501616,1.65459474561861,4.19763788101042,4.19763788101042,7.51371006014702,6.04249875168999,8.44646833698012,3.85565806541596,4.87610897292819,7.28007855821832,11.0301396049612,6.15403063203296,8.55800021732309,"E_COMX",5
"612","GHB-613",112.233,38.9,1860,8.01710977562679,9.50655484074332,9.50655484074332,13.9639141472257,16.1858262075918,14.6963811424752,3.47192234674009,3.47192234674009,4.45735930648242,4.45735930648242,7.15475141131129,6.26074063229984,9.41982396098367,4.03455945099319,4.64618307154209,7.80526640022593,10.6141395769131,6.9943083251677,9.12703983405483,"E_COMX",5
"613","GHB-614",112.233,38.9,1860,7.87572645406578,9.66112152939224,9.66112152939224,13.8512741787954,16.358313801478,14.5729187261515,3.65806524024903,3.26978799522945,4.19015264940318,4.19015264940318,7.4896515204759,7.06625538308072,8.91139909428589,4.05991937175255,5.61607026524231,7.46121397644749,11.3334752858789,5.71740502063655,7.56254873184172,"E_COMX",5
"614","GHB-615",112.233,38.9,1860,7.58701339592842,9.66149970583745,9.66149970583745,12.6792781768323,16.7826537964041,14.708167486495,2.53181924364522,1.51772640815135,3.01777847099485,3.01777847099485,6.83425619004418,5.32677419580773,7.99577282803063,3.78556698704942,4.21020584098121,6.87920447320411,10.2794928287583,6.46301510970894,8.73828561999997,"E_COMX",5
"615","GHB-616",112.233,38.9,1860,7.54991496772191,9.48666795816752,9.48666795816752,13.0747426256867,17.5668247093582,15.6300717189126,4.0887507230716,2.16858347667431,2.93297941032373,2.93297941032373,6.297003620621,6.03859906251585,8.58349218409732,4.21502093811643,4.20934953169727,6.75424265327874,10.4360063441449,6.94230040321048,8.77154993402906,"E_COMX",5
"616","GHB-617",112.233,38.9,1860,7.89769257544897,9.61301784839286,9.61301784839286,14.3418125509713,17.8725281549081,16.1572028819642,5.10533678970192,3.32447335083843,4.12830723559854,4.12830723559854,7.02781521778616,5.8359596784413,8.07375888011244,3.6168319463568,4.58479842784248,6.82259762951362,10.4091789030518,5.82438047520936,8.0621796768805,"E_COMX",5
"617","GHB-618",112.233,38.9,1860,7.32553582194166,9.16766573674137,9.16766573674137,13.5826814915376,17.5711176071954,15.7289876923957,4.38154884823833,2.84949605019338,3.84962020210765,3.84962020210765,6.89523920097972,6.01432437576775,9.02721361208757,4.62940514188845,4.01227624422846,7.02516548054827,9.45497326133312,6.16698298549008,8.45558625342448,"E_COMX",5
"618","GHB-619",112.233,38.9,1860,7.29084615641378,9.51595914680326,9.51595914680326,13.0600706693117,15.8476640205737,13.6225510301842,3.31074349168919,3.0579396665599,3.29130769737915,3.29130769737915,7.14417744750937,7.73606682439992,10.783058556761,4.55305925222936,5.93068639468435,8.97767812704543,11.0668035321725,6.22778069509192,8.18310886984929,"E_COMX",5
"619","GHB-620",112.233,38.9,1860,7.79594063898648,9.1919992308801,9.1919992308801,14.2107206753999,18.2562162420855,16.8601576501919,4.68867885422668,2.4382177489813,3.83252208386553,3.83252208386553,6.94667913949065,6.20817926169299,8.76738394703372,3.86757193711842,4.74084793441888,7.30005261975961,10.827802871824,6.80834814710419,8.64615962274581,"E_COMX",5
"620","GHB-621",112.233,38.9,1860,6.8130719284878,8.762706578621,8.762706578621,13.2459926117547,16.7952155871002,14.845580936967,2.98061897242102,2.21861821126655,4.10228565255651,4.10228565255651,7.7294481516793,7.03400435968743,8.87002389716518,4.10964071666958,5.51884795686956,7.3548674943473,11.1159862426367,5.59713828576711,7.43315782324486,"E_COMX",5
"621","GHB-622",112.233,38.9,1860,6.09050993651103,7.5484436716307,7.5484436716307,11.8656717228249,16.0934333696293,15.8357659670375,4.68049656614962,1.67995577813262,4.31722805119418,4.31722805119418,7.87208126806411,7.76204432970681,10.6416318213565,4.14134383591831,5.7740667656986,8.65365425734825,11.6028647412678,6.55501919530878,8.70838546721888,"E_COMX",5
"622","GHB-623",112.233,38.9,1860,6.7527714245585,7.83128969654095,7.83128969654095,11.7605102073257,14.9715553346947,13.8930370627122,2.020913075808,2.020913075808,3.92922051078478,3.92922051078478,7.21633110357027,6.47641799380095,9.43130152956178,5.19738727372088,4.45805118521535,7.41293472097618,10.3608501263957,6.25450993617483,8.85768247694119,"E_COMX",5
"623","GHB-624",112.233,38.9,1860,5.95041051571215,7.51979350370457,7.51979350370457,12.2752239999164,15.4072841274377,13.8379011394453,1.97175572578726,1.73605346444894,4.10280048924004,4.10280048924004,8.43896244194447,8.10744619604719,11.862862701333,4.61831642501636,6.31755689667698,10.0729734019627,11.5226114199265,6.36774616422744,8.96047102853526,"E_COMX",5
"624","GHB-625",112.233,38.9,1860,5.97360060250181,7.83969301312889,7.83969301312889,11.2324759221612,15.8079047261035,13.9418123154764,1.92361358624861,1.0139797983977,3.39278290903232,3.39278290903232,7.7792814581643,6.81278763795689,9.7585986526228,3.84201829041943,5.00694657435246,7.95275758901837,10.5870154036771,6.48970261717551,8.52587984399051,"E_COMX",5
"625","GHB-626",112.233,38.9,1860,5.75893187223646,8.23965603969241,8.23965603969241,13.5151767011374,17.8568675813073,15.3761434138514,3.51220827278783,1.77675018203992,4.3390542456651,4.3390542456651,7.50180720890407,6.91715443481166,10.7705847030006,4.78941565701087,5.44691739337923,9.3003476615682,10.6127969690178,6.50055887082527,9.01930984382756,"E_COMX",5
"626","GHB-627",112.233,38.9,1860,6.87431853601569,8.83590618050166,8.83590618050166,14.4480077790035,17.8126320850083,15.8510444405223,3.56197557428306,2.56396206698355,4.23805196209625,4.23805196209625,6.97270815310367,6.78140406816517,10.1760836154072,4.40319512685343,4.8760340823094,8.27071362955147,10.5616375647904,6.5824578887254,9.08028302972306,"E_COMX",5
"627","GHB-628",112.233,38.9,1860,6.20321830251394,8.37839377359668,8.37839377359668,13.8232441396792,16.9648467472538,15.1115745691023,4.07751808138207,2.28878128323581,3.74780696431682,3.74780696431682,7.26957539440432,8.23766514885761,11.6964424762981,5.62008335961018,6.20597457202265,9.66475189946316,11.3500751367473,5.85546279102004,8.60287789216512,"E_COMX",5
"628","GHB-629",112.233,38.9,1860,6.19195803425709,7.65705285576183,7.65705285576183,13.5433403309628,17.4927503545548,16.2867071688295,4.73029304797394,2.70839516936568,4.87407471693323,4.87407471693323,7.64157003342541,7.46326637137466,11.162061441509,4.45098822554956,5.70494830572215,9.40374337585649,10.9468292362661,6.24800584078121,8.94067600067826,"E_COMX",5
"629","GHB-630",112.233,38.9,1860,6.62955975422887,9.12214134025569,9.12214134025569,14.2652361280093,16.4302080847498,13.9376264987229,3.86643317183629,2.77284461352435,4.4904647807818,4.4904647807818,8.15919038425708,6.9278940653996,10.1676618873046,4.89528609151127,5.27237579579337,8.51214361769841,10.2917825774758,5.46036533302262,8.25917460358751,"E_COMX",5
"630","GHB-631",112.233,38.9,1860,6.62530928690082,7.69631760806364,7.69631760806364,12.5787060318717,16.0689996144289,14.997991293266,2.93335724495932,1.40860631724517,3.60616749656976,3.60616749656976,7.19844251149228,6.3539884376843,9.98601677614492,5.19034805005267,4.54713872561636,8.17916706407698,10.7187054059659,7.24257500151231,9.8035950188101,"E_COMX",5
"631","GHB-632",112.233,38.9,1860,5.69786681750285,6.18293806793931,6.18293806793931,10.1917334710041,13.9725325413811,13.4874612909446,2.81470679673217,1.10258164096814,4.0087954030648,4.0087954030648,8.67218711821398,8.24134221359201,11.4324839398359,4.87850393726162,6.45907663630001,9.65021836254392,12.1569434538029,6.39097009768553,8.88900854374676,"E_COMX",5
"632","GHB-633",112.233,38.9,1860,5.5353726956728,6.30770114134861,6.30770114134861,11.0857034002575,14.7482681549248,13.975939709249,1.9206032557262,1.01739260809188,4.00567381323306,4.00567381323306,7.73447081260525,7.59249159924185,11.9776884267028,5.99730553061832,5.36034999531077,9.7455468227717,10.8957226909836,6.55276530376468,9.92056952313374,"E_COMX",5
"633","GHB-634",112.233,38.9,1860,6.24055073818239,7.91153280571034,7.91153280571034,12.900441593248,15.5290073331941,13.8580252656661,3.11988679796221,1.82432519977924,4.07807062971803,4.07807062971803,8.33170718347818,7.78284034348372,11.420278872795,5.23901677114718,6.05138361950821,9.68882214881946,11.1948000434428,6.0004857916056,8.78085495324583,"E_COMX",5
"634","GHB-635",112.233,38.9,1860,6.59678012098693,8.696298032318,8.696298032318,15.0361642749394,17.7033942938231,15.603876382492,3.90938845674536,2.60735662926684,4.30889830366559,4.30889830366559,7.47809973879732,6.89447311731138,10.9831869590286,5.37966783204568,5.29213586722948,9.38084970894674,10.4393550222684,6.6163980781113,9.23593299675621,"E_COMX",5
"635","GHB-636",112.233,38.9,1860,6.43726756423751,8.29959244674325,8.29959244674325,12.5499054881574,15.6573214582608,13.794996575755,3.04210126690178,2.42488786782493,3.63309964233734,3.63309964233734,7.52848557414441,7.88694260820144,11.6025833336636,4.33336746737238,5.97208839260172,9.68772911806385,11.118361508168,6.44340058925571,8.86191384102838,"E_COMX",5
"636","GHB-637",112.233,38.9,1860,6.83939768158161,7.79906384593253,7.79906384593253,12.0516410828718,14.9382428911496,13.9785767267987,2.57009542376531,2.11131489453592,3.62960093963741,3.62960093963741,7.56318372352666,6.93154889902055,10.8804658429411,4.83327810129894,5.52205306433355,9.47097000825409,11.3798256025942,7.13505039409307,9.80668948218113,"E_COMX",5
"637","GHB-638",112.233,38.9,1860,6.0032042727197,6.0032042727197,6.0032042727197,11.2706689120496,13.4710962210057,13.4710962210057,1.50923085642986,1.50923085642986,4.26960367907538,4.26960367907538,7.79571797963327,7.91647409026943,11.2104802430056,4.47340438184246,5.91968179085519,9.21368794359135,11.9228860635749,7.1961321510929,9.29721042545585,"E_COMX",5
"638","GHB-639",112.233,38.9,1860,5.44068103273846,5.44068103273846,5.44068103273846,9.07472751127958,11.0092621431743,11.0092621431743,0.325669473546416,0.325669473546416,3.07899620334076,3.07899620334076,9.35409404864759,9.54672458429067,13.3358202994143,4.90901753346608,7.83373204665369,11.6228277617773,13.2744130793921,6.58880202723337,9.22977674786211,"M_TEGR",13
"639","GHB-640",112.233,38.9,1860,5.19873847389922,5.79891765880986,5.79891765880986,9.40381011527689,11.9722287326366,11.372049547726,0.758464776373959,0.758464776373959,3.60489245646703,3.60489245646703,8.70808809482677,9.02334714237993,12.9180275409149,5.52741481943675,6.86434498327957,10.7590253818146,12.0630834571788,6.48347098847181,9.09341887243424,"M_TEGR",13
"640","GHB-641",112.233,38.9,1860,5.28226910143737,5.58511555758306,5.58511555758306,9.35042093512744,12.2102287933585,11.9073823372128,0.537545007417984,0.537545007417984,3.06802975485275,3.06802975485275,8.51150145111619,8.32065341714546,12.2398642189472,5.28935364931347,6.5185617110994,10.4377725129011,11.8008308125368,6.41149358266332,9.2014799032391,"M_TEGR",13
"641","GHB-642",112.233,38.9,1860,5.28265714484671,5.83791752340798,5.83791752340798,9.56373804536921,12.3778453384624,11.8225849599011,1.97000761068697,0.809156604743482,3.72582052196123,3.72582052196123,8.9446011854713,9.16880216171841,12.4452498142676,4.63817866988167,7.02851446867338,10.3049621212226,12.3111716135201,6.33936343138049,8.55910479739591,"M_TEGR",13
"642","GHB-643",112.233,38.9,1860,6.4002667624092,6.77689459462557,6.77689459462557,10.1105839034434,11.9411824782271,12.8615839367363,2.04446581491465,0.63133820809452,3.21759099272328,3.21759099272328,7.8042846195259,7.9397544474622,11.0074871128465,3.7069769188233,6.29914522487989,9.36687789026415,12.8155103033837,7.40163173155247,9.58409774388806,"F_TEDE",6
"643","GHB-644",112.233,38.9,1860,6.50257680846601,6.62693081121622,6.62693081121622,10.0014499649424,11.8361105278259,13.3614987731253,2.46201917989004,0.812276931840367,3.25016515097594,3.25016515097594,8.36152568883019,8.25299361157735,11.2453655834661,3.47578726050509,6.81170266662557,9.80407463851429,13.3142794750916,7.46045246480142,9.49494878035473,"F_TEDE",6
"644","GHB-645",112.233,38.9,1860,6.33792084756508,6.85964948584363,6.85964948584363,10.4714367849425,11.819250687898,12.493557973411,2.21799558248659,1.021959658695,3.61178729909889,3.61178729909889,7.86372831353,8.64844651038124,11.1713009580481,4.12699151986957,6.52258079989997,9.04543524756684,12.860501647465,6.85964948584363,8.86077529523194,"Q_PROS",17
"645","GHB-646",112.233,38.9,1860,5.93271568339492,6.25046013731976,6.25046013731976,10.1997531566932,12.0935690036013,13.1556238662439,2.71533435766521,1.33553504109776,3.94929301937349,3.94929301937349,8.09361620180669,8.67839440453338,10.665129259767,4.70569992891619,6.72214210050918,8.70887695574276,12.6548577839041,5.93271568339492,7.9194505386285,"F_TEDE",6
"646","GHB-647",112.233,38.9,1860,5.82631340557646,6.37501012599677,6.37501012599677,9.7446646777324,11.3891318750337,12.3136041771631,2.22688699898384,0.753717976434157,3.36965455173563,3.36965455173563,7.88892489977176,8.29216263181937,12.6226579147445,4.90477961688445,6.38458516235712,10.7150804452823,12.2108985679336,7.34412048093222,10.1568086885016,"M_TEGR",13
"647","GHB-648",112.233,38.9,1860,5.89284469759725,6.17962271279367,6.17962271279367,9.59827698460824,12.1736332650091,13.6991936831633,2.86170228016455,1.04936384681387,3.41865427181457,3.41865427181457,7.74546028187836,8.40379015748521,11.7531672701806,3.83943693088844,6.67363126824989,10.0230083809453,12.5664759658471,7.13294376863956,9.24222181029267,"F_TEDE",6
"648","GHB-649",112.233,38.9,1860,5.5338177942538,6.2025673594873,6.2025673594873,9.92308420294376,11.4166221612748,12.0896646641353,2.40189393489738,1.06010186680337,3.72051684345645,3.72051684345645,7.93122719394938,9.01981985318182,13.1261587751435,6.21546256640866,6.66211518609929,10.9716091941405,12.1959329803531,7.31082037612196,10.0464668883746,"M_TEGR",13
"649","GHB-650",112.233,38.9,1860,5.34935942520224,5.55963944565116,5.55963944565116,9.3397572709516,11.0430953301753,11.8970770543174,2.12571142850315,0.851169663463166,3.56983780485152,3.56983780485152,9.05617030470045,9.69894950589476,13.137126806508,4.92917808925119,7.63244260518577,11.070619905799,13.1920820508369,6.48729467147593,8.99781674626436,"Q_PROS",17
"650","GHB-651",112.233,38.9,1860,4.72010271392477,5.18521815980891,5.18521815980891,8.78457930244828,10.7334236443597,11.4355546090504,2.24137670614306,0.803823242386036,3.32905408945725,3.32905408945725,8.78500829918563,9.45860223113189,13.643200140131,5.57661914072051,7.06360069450045,11.2481986034995,12.0540104616073,6.43221299986787,9.17500767610595,"M_TEGR",13
"651","GHB-652",112.233,38.9,1860,5.2247753999574,5.2247753999574,5.2247753999574,8.51076521659603,11.0002482888748,11.0002482888748,1.91152190882722,0.987934592976681,3.28598981663864,3.28598981663864,8.60054696978904,9.38987005693863,12.9898895523915,4.872734860975,7.40794062328061,11.0079601187335,12.632716023238,6.27311503480862,8.82479489541026,"M_TEGR",13
"652","GHB-653",112.233,38.9,1860,5.03481234009769,5.03481234009769,5.03481234009769,8.96698431581755,10.9246843375052,11.6554191813439,2.09578715016255,1.36505230632383,3.93217197571986,3.93217197571986,8.77159939697997,9.57444216066687,13.1313353922297,6.65330627261829,7.03012123574592,11.0754327685629,12.0649335758436,6.65129351592933,9.5685421741688,"M_TEGR",13
"653","GHB-654",112.233,38.9,1860,4.81571380794166,4.81571380794166,4.81571380794166,7.52356579882103,9.02312943501658,9.66828861382441,1.33282508122901,0.153493351647555,2.17367944010574,2.17367944010574,8.74183977412216,10.3847056228108,14.0942642365956,5.39826178667784,8.03509606734654,11.7446546811314,13.3849824260618,6.44604815379848,9.05944497250015,"M_TEGR",13
"654","GHB-655",112.233,38.9,1860,4.96211134699736,4.96211134699736,4.96211134699736,7.51585651204677,9.33217686044349,10.2530673077824,1.40596169777535,0.485071250436469,2.5537451650494,2.5537451650494,8.69156943696568,9.96483106165853,12.8732365894905,5.26088808964154,7.72547716332088,10.6338826911529,12.6875885103182,5.44718259743383,7.87051687482934,"M_TEGR",13
"655","GHB-656",112.233,38.9,1860,4.44923576808422,4.64323166752542,4.64323166752542,7.29648340606025,8.7757305263887,9.50047616949361,1.3335222207364,0,2.23847106034454,2.23847106034454,8.97147435233839,10.4676081728191,14.6968894477076,5.54104092816015,8.06902209313401,12.2983033680225,12.9330385394085,6.20003524741468,9.09329772116296,"M_TEGR",13
"656","GHB-657",112.233,38.9,1860,4.40001589315311,4.40001589315311,4.40001589315311,6.86811216055587,8.33690168155607,9.48502267605099,1.73049616481041,0.582375170315493,2.46809626740276,2.46809626740276,8.7757158699445,10.6999352563917,13.7749569545968,5.8817829058712,8.09748885483031,11.1725105530354,12.4975047479834,4.98239106346861,7.47503759135819,"M_TEGR",13
