X2;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
45137,51726;0;0;0,124124124;0,206206206;0;0,03003003;0,004004004;0;0;0,522522523;0,019019019;0;0,073073073;0;0,021021021;0;0
45740,57089;0;0,002997003;0,105894106;0,158841159;0,002997003;0,016983017;0,011988012;0;0;0,568431568;0,028971029;0,002997003;0,064935065;0;0,031968032;0;0,002997003
46343,62452;0;0,006;0,049;0,196;0,004;0,01;0,004;0;0;0,594;0,065;0;0,059;0;0,013;0;0
47097,44155;0;0;0,065130261;0,175350701;0;0,012024048;0;0;0;0,648296593;0,024048096;0,002004008;0,071142285;0;0,002004008;0;0
47700,49518;0;0;0,067;0,223;0;0;0;0;0;0,585;0,052;0,004;0,052;0;0,017;0;0
48454,31221;0;0;0,051;0,222;0;0,006;0,002;0;0;0,57;0,093;0;0,035;0;0,019;0;0,002
49509,65606;0;0,004995005;0,026973027;0,265734266;0;0,004995005;0;0;0;0,380619381;0,285714286;0;0,016983017;0,001998002;0,011988012;0;0
50564,9999;0;0,003;0,225;0,085;0;0,01;0;0;0;0,574;0,032;0;0,043;0;0,028;0;0
51168,05353;0;0;0,216;0,081;0;0,026;0,011;0;0;0,582;0,003;0;0,081;0;0;0;0
51921,87056;0;0;0,227772228;0,066933067;0,002997003;0,02997003;0,005994006;0;0;0,57042957;0,00999001;0,002997003;0,076923077;0;0,002997003;0;0,002997003
52826,451;0;0,002994012;0,080838323;0,073852295;0,002994012;0,006986028;0,010978044;0;0;0,625748503;0,038922156;0,018962076;0,122754491;0,003992016;0,006986028;0;0,003992016
53731,03145;0;0,019057172;0,065195587;0,13440321;0,013039117;0,030090271;0,065195587;0;0;0,403209629;0;0,030090271;0,197592778;0,030090271;0,008024072;0,002006018;0,002006018
54484,84848;0;0,017982018;0,070929071;0,295704296;0,010989011;0,008991009;0,026973027;0;0;0,392607393;0,014985015;0,014985015;0,0999001;0,028971029;0,010989011;0,002997003;0,002997003
55238,66551;0;0,023;0,033;0,133;0,013;0,004;0,06;0;0,006;0,487;0,044;0,017;0,083;0,06;0,02;0;0,017
55439,68339;0;0,00501002;0,123246493;0,179358717;0,012024048;0,008016032;0,028056112;0;0,001002004;0,436873747;0,016032064;0,008016032;0,107214429;0,065130261;0,009018036;0;0,001002004
55791,46467;0;0,028028028;0,021021021;0,269269269;0,032032032;0,003003003;0,095095095;0;0,003003003;0,202202202;0,025025025;0,035035035;0,13013013;0,136136136;0,004004004;0,003003003;0,013013013
58203,67918;0;0,023023023;0,016016016;0,189189189;0,03003003;0,013013013;0,081081081;0,003003003;0,003003003;0,199199199;0,016016016;0,059059059;0,192192192;0,166166166;0;0,003003003;0,006006006
58304,18812;0;0,003;0,063;0,276;0,015;0;0,063;0;0,005;0,236;0,017;0,026;0,144;0,135;0,005;0;0,012
58454,95152;0;0,003996004;0,033966034;0,061938062;0,006993007;0,006993007;0,017982018;0;0;0,725274725;0,068931069;0,003996004;0,047952048;0,017982018;0;0;0,003996004
58555,46046;0;0;0,092092092;0,148148148;0;0;0;0;0;0,567567568;0,112112112;0,01001001;0,04004004;0,005005005;0,015015015;0;0,01001001
58706,22387;0;0,008991009;0,131868132;0,254745255;0;0,013986014;0;0;0;0,483516484;0,021978022;0,004995005;0,052947053;0,004995005;0,021978022;0;0
58806,7328;0;0,011976048;0,123752495;0,256487026;0;0,022954092;0;0;0;0,459081836;0,046906188;0,003992016;0,050898204;0;0,015968064;0,003992016;0,003992016
58957,49621;0;0,007007007;0,113113113;0,211211211;0;0,015015015;0,003003003;0;0;0,531531532;0,015015015;0,003003003;0,088088088;0;0,01001001;0,003003003;0
59058,00515;0;0,007021063;0,115346038;0,223671013;0,002006018;0,011033099;0,002006018;0;0;0,473420261;0,002006018;0,011033099;0,133400201;0,002006018;0,013039117;0;0,004012036
59208,76856;0;0;0,038038038;0,256256256;0;0,004004004;0;0;0;0,385385385;0,004004004;0;0,312312312;0;0;0;0
59309,27749;0;0,013;0,004;0,355;0,002;0;0,004;0;0;0,222;0,002;0,013;0,373;0,008;0,002;0;0,002
59460,0409;0;0,014;0,01;0,465;0,004;0;0;0;0;0,299;0,018;0,01;0,166;0,01;0,004;0;0
59560,54984;0,004012036;0,017051153;0,099297894;0,244734203;0,02106319;0,004012036;0,02106319;0;0;0,322968907;0,02106319;0,033099298;0,157472417;0,02106319;0,012036108;0,004012036;0,017051153
59711,31324;0;0,002997003;0,010989011;0,128871129;0,002997003;0;0;0;0;0,228771229;0,007992008;0,087912088;0,515484515;0,010989011;0;0;0,002997003
59811,82218;0;0,007007007;0,004004004;0,219219219;0,007007007;0,004004004;0,007007007;0;0;0,082082082;0,004004004;0,119119119;0,523523524;0,019019019;0;0;0,004004004
59962,58559;0;0,01001001;0,002002002;0,225225225;0,01001001;0;0,015015015;0,005005005;0;0,068068068;0,005005005;0,135135135;0,449449449;0,073073073;0;0,002002002;0
60063,09453;0;0,051051051;0,009009009;0,313313313;0,051051051;0,005005005;0,036036036;0,005005005;0,009009009;0,056056056;0;0,262262262;0,005005005;0,188188188;0;0;0,009009009
60213,85793;0;0,035964036;0;0,185814186;0,050949051;0;0,022977023;0,007992008;0;0,031968032;0;0,142857143;0,355644356;0,145854146;0;0,011988012;0,007992008
60314,36687;0,003;0,029;0,012;0,15;0,079;0;0,065;0;0,003;0,038;0,003;0,068;0,294;0,232;0,003;0,012;0,009
60465,13028;0;0,046046046;0,002002002;0,144144144;0,079079079;0;0,058058058;0,009009009;0,009009009;0,03003003;0,002002002;0,089089089;0,311311311;0,197197197;0;0,009009009;0,014014014
60565,63922;0;0,031031031;0;0,062062062;0,169169169;0;0,191191191;0;0,009009009;0,031031031;0;0,035035035;0,089089089;0,369369369;0;0,004004004;0,009009009
60716,40262;0;0,041;0;0,091;0,178;0;0,196;0;0,01;0,023;0;0,049;0,094;0,308;0;0;0,01
60816,91156;0,002;0,041;0,002;0,049;0,106;0;0,229;0,002;0,009;0,029;0;0,076;0,085;0,357;0;0,004;0,009
61068,1839;0;0,039039039;0,002002002;0,077077077;0,111111111;0;0,158158158;0;0,016016016;0,009009009;0,004004004;0,063063063;0,111111111;0,393393393;0;0;0,016016016
62324,54563;0,001;0,03;0,003;0,076;0,126;0;0,178;0,001;0,005;0,013;0;0,07;0,09;0,392;0;0,003;0,012
62475,30903;0;0,051;0,006;0,12;0,131;0;0,156;0;0,006;0,022;0;0,046;0,096;0,352;0;0,003;0,011
62575,81797;0;0,04004004;0;0,101101101;0,07007007;0;0,233233233;0,003003003;0,009009009;0,009009009;0;0,043043043;0,058058058;0,415415415;0;0,003003003;0,015015015
62726,58138;0;0,043956044;0;0,112887113;0,053946054;0;0,258741259;0;0,006993007;0,00999001;0;0,034965035;0,058941059;0,407592408;0;0,001998002;0,00999001
62827,09032;0;0,027027027;0;0,097097097;0,044044044;0;0,341341341;0;0,003003003;0,02002002;0,003003003;0,035035035;0,065065065;0,344344344;0,003003003;0,003003003;0,014014014
62977,85372;0;0,027027027;0;0,097097097;0,036036036;0;0,275275275;0;0,004004004;0,023023023;0;0,056056056;0,082082082;0,386386386;0,002002002;0,002002002;0,009009009
63078,36266;0;0,031031031;0,003003003;0,125125125;0,031031031;0;0,285285285;0;0,009009009;0,037037037;0;0,046046046;0,064064064;0,356356356;0;0,003003003;0,009009009
63229,12607;0;0,019038076;0,00501002;0,122244489;0,038076152;0,002004008;0,29759519;0;0;0,029058116;0;0,019038076;0,087174349;0,361723447;0;0,002004008;0,017034068
63329,63501;0;0,015015015;0,003003003;0,089089089;0,013013013;0;0,343343343;0,003003003;0;0,013013013;0,003003003;0,038038038;0,068068068;0,388388388;0;0;0,023023023
63480,39841;0;0,016;0;0,106;0,01;0;0,304;0;0,012;0,01;0;0,027;0,077;0,42;0;0;0,018
63580,90735;0;0,016;0,009;0,283;0,002;0;0,223;0;0,027;0,036;0,007;0,029;0,079;0,264;0;0,002;0,023
63731,67076;0;0;0,056168506;0,429287864;0,004012036;0,004012036;0,044132397;0;0;0,191574724;0,035105316;0;0,135406219;0,076228686;0,004012036;0;0,020060181
63832,17969;0;0,006;0,045;0,532;0;0;0;0;0;0,236;0,037;0,003;0,125;0,01;0,003;0;0,003
63982,9431;0;0;0,037;0,601;0;0,003;0;0;0;0,209;0,025;0;0,125;0;0;0;0
64083,45204;0;0,006006006;0,069069069;0,574574575;0;0,006006006;0;0;0;0,232232232;0,024024024;0;0,082082082;0,004004004;0;0;0,002002002
64234,21545;0;0;0,062062062;0,626626627;0;0,003003003;0;0;0;0,178178178;0,058058058;0;0,069069069;0,003003003;0;0;0
64334,72438;0;0;0,064;0,482;0;0,018;0;0;0;0,314;0,086;0;0,023;0,004;0,009;0;0
64485,48779;0;0;0,089;0,325;0;0,007;0;0;0;0,305;0,232;0;0,031;0;0,007;0;0,004
64585,99673;0,003003003;0,003003003;0,084084084;0,285285285;0,003003003;0,003003003;0,003003003;0;0;0,32032032;0,244244244;0,01001001;0,035035035;0;0,003003003;0;0,003003003
64736,76013;0;0,003003003;0,101101101;0,314314314;0,003003003;0,019019019;0;0;0;0,31031031;0,205205205;0,003003003;0,022022022;0,008008008;0,011011011;0;0
64837,26907;0;0,002997003;0,180819181;0,162837163;0;0,020979021;0,015984016;0;0;0,453546454;0,113886114;0,005994006;0,033966034;0;0,008991009;0;0
64988,03248;0;0,014;0,238;0,182;0;0,023;0,002;0;0;0,394;0,076;0,007;0,06;0,002;0;0;0,002
65088,54142;0;0,008;0,161;0,141;0,004;0,02;0,004;0;0;0,371;0,016;0,041;0,21;0,008;0,012;0;0,004
65239,30482;0;0,005;0,03;0,302;0;0,002;0,004;0;0;0,15;0,015;0,05;0,415;0,023;0,002;0;0,002
65339,81376;0;0,009018036;0,012024048;0,29258517;0,006012024;0;0,003006012;0;0,003006012;0,103206413;0,012024048;0,061122244;0,455911824;0,039078156;0;0;0,003006012
65490,57717;0;0,019019019;0,015015015;0,302302302;0,003003003;0;0;0,013013013;0,003003003;0,059059059;0;0,045045045;0,469469469;0,056056056;0,005005005;0;0,01001001
65591,08611;0;0,003003003;0,017017017;0,223223223;0;0,003003003;0,003003003;0;0;0,093093093;0;0,154154154;0,47047047;0,033033033;0;0;0
65741,84951;0;0,003;0;0,248;0;0;0,01;0,003;0,003;0,057;0;0,169;0,478;0,029;0;0;0
65842,35845;0;0,009;0,018;0,279;0;0;0,006;0,009;0,006;0,07;0;0,09;0,467;0,046;0;0;0
65993,12186;0;0,006;0,006;0,145;0;0;0,003;0,003;0;0,063;0,006;0,128;0,615;0,022;0,003;0;0
66093,6308;0;0,011011011;0,014014014;0,135135135;0;0,007007007;0;0,004004004;0;0,095095095;0;0,052052052;0,674674675;0,007007007;0;0;0
67349,99252;0;0,018018018;0,005005005;0,187187187;0,003003003;0;0,005005005;0,003003003;0;0,107107107;0,005005005;0,092092092;0,556556557;0,018018018;0;0;0
67500,75592;0;0,003003003;0,044044044;0,371371371;0;0,006006006;0;0;0;0,147147147;0,079079079;0,061061061;0,273273273;0,006006006;0,006006006;0;0,003003003
67601,26486;0;0,01001001;0,007007007;0,236236236;0,003003003;0;0;0,007007007;0;0,053053053;0;0,108108108;0,547547548;0,022022022;0,003003003;0;0,003003003
67752,02827;0;0,015;0,013;0,269;0,004;0,002;0,002;0;0,004;0,093;0,015;0,122;0,43;0,029;0;0;0,002
67852,53721;0;0,02;0,012;0,227;0,009;0;0,003;0;0;0,092;0;0,146;0,443;0,045;0,003;0;0
68003,30061;0;0,007007007;0,004004004;0,273273273;0,007007007;0;0,004004004;0,007007007;0;0,082082082;0,013013013;0,122122122;0,446446446;0,03003003;0,004004004;0;0
68103,80955;0;0,022022022;0,008008008;0,293293293;0,019019019;0,003003003;0,011011011;0,003003003;0,008008008;0,09009009;0;0,159159159;0,372372372;0,003003003;0;0,008008008;0
68254,57296;0;0,03006012;0,00501002;0,241482966;0,044088176;0,002004008;0,01002004;0,00501002;0,01002004;0,071142285;0,003006012;0,106212425;0,362725451;0,106212425;0;0;0,003006012
68355,0819;0;0,028056112;0,003006012;0,24749499;0,044088176;0;0,028056112;0;0,00501002;0,05511022;0,00501002;0,122244489;0,389779559;0,05511022;0,003006012;0,003006012;0,011022044
68505,8453;0;0,018036072;0,007014028;0,20741483;0,037074148;0;0,029058116;0,004008016;0,004008016;0,049098196;0,002004008;0,120240481;0,396793587;0,107214429;0;0;0,018036072
68606,35424;0;0,028;0;0,216;0,037;0;0,009;0;0,009;0,043;0;0,154;0,401;0,094;0,003;0;0,006
68757,11765;0;0,034034034;0,007007007;0,23023023;0,085085085;0;0,034034034;0;0,015015015;0,045045045;0,004004004;0,078078078;0,304304304;0,141141141;0,007007007;0;0,015015015
68857,62659;0;0,033;0,006;0,191;0,156;0;0,026;0;0,012;0,054;0,006;0,111;0,219;0,174;0;0;0,012
69008,38999;0;0,018;0;0,17;0,118;0;0,048;0;0,011;0,045;0,007;0,233;0,229;0,11;0;0;0,011
69108,89893;0;0,034;0,003;0,127;0,184;0;0,041;0;0,028;0,038;0;0,144;0,161;0,23;0;0;0,01
69259,66234;0;0,04;0;0,192;0,205;0;0,064;0;0,01;0,03;0;0,133;0,153;0,155;0;0;0,018
69360,17127;0;0,039;0,003;0,142;0,184;0;0,086;0;0,006;0,039;0,009;0,139;0,119;0,214;0;0;0,02
69510,93468;0;0,018;0,007;0,196;0,303;0;0,09;0;0,011;0,035;0,004;0,071;0,086;0,157;0,004;0,011;0,007
69611,44362;0,004004004;0,017017017;0,004004004;0,184184184;0,213213213;0;0,061061061;0;0,009009009;0,036036036;0;0,18018018;0,138138138;0,125125125;0;0;0,028028028
69762,20703;0;0,02;0,006;0,07;0,314;0;0,105;0;0,014;0,022;0,003;0,155;0,093;0,181;0;0;0,017
69862,71596;0;0,019019019;0,003003003;0,072072072;0,254254254;0;0,123123123;0;0,028028028;0,033033033;0,003003003;0,14014014;0,067067067;0,246246246;0;0;0,011011011
70013,47937;0;0,027;0;0,058;0,285;0,002;0,152;0;0,023;0,049;0;0,164;0,053;0,176;0;0;0,011
70113,98831;0;0,018;0;0,041;0,374;0;0,123;0;0,02;0,008;0,008;0,197;0,062;0,128;0;0,003;0,018
70264,75171;0;0,013;0,002;0,066;0,316;0;0,17;0;0,027;0,012;0,002;0,128;0,051;0,183;0,003;0,002;0,025
70365,26065;0,001002004;0,011022044;0,004008016;0,052104208;0,310621242;0;0,128256513;0,001002004;0,028056112;0,014028056;0;0,204408818;0,083166333;0,135270541;0;0,002004008;0,0250501
70516,02406;0;0,004;0,002;0,065;0,197;0;0,279;0;0,013;0,015;0;0,054;0,069;0,255;0,002;0;0,045
70616,533;0,005005005;0,013013013;0,003003003;0,13013013;0,028028028;0;0,267267267;0;0,021021021;0,018018018;0;0,08008008;0,192192192;0,224224224;0;0,005005005;0,013013013
70767,2964;0;0;0;0,139;0;0;0,287;0;0,016;0,016;0;0,081;0,29;0,155;0,006;0;0,01
70867,80534;0;0,008;0,002;0,148;0,006;0;0,083;0;0,008;0,033;0,002;0,039;0,547;0,112;0,004;0,002;0,006
71018,56875;0;0,003003003;0,009009009;0,24024024;0,003003003;0;0,006006006;0;0;0,048048048;0,019019019;0,048048048;0,594594595;0,029029029;0;0;0
71119,07769;0;0;0,012;0,187;0;0;0;0;0;0,037;0,024;0,03;0,707;0,003;0;0;0
71872,89472;0;0,011;0,053;0,267;0,003;0,011;0,008;0,011;0;0,128;0,019;0,045;0,414;0,019;0,003;0;0,008
72023,65813;0;0,01001001;0,008008008;0,257257257;0,005005005;0;0,008008008;0;0,005005005;0,067067067;0,003003003;0,168168168;0,42042042;0,045045045;0,003003003;0;0
72124,16706;0,006;0,022;0,006;0,211;0,053;0,003;0,019;0;0;0,066;0;0,095;0,428;0,082;0,003;0;0,006
72274,93047;0,003003003;0,025025025;0;0,166166166;0,207207207;0;0,111111111;0;0,013013013;0,057057057;0;0,137137137;0,083083083;0,178178178;0;0,006006006;0,013013013
72375,43941;0;0,017034068;0;0,107214429;0,22745491;0;0,122244489;0,003006012;0,022044088;0,032064128;0,001002004;0,176352705;0,112224449;0,162324649;0;0;0,017034068
72526,20282;0;0;0,008016032;0,339679359;0,004008016;0;0,019038076;0;0,004008016;0,061122244;0,004008016;0,026052104;0,495991984;0,034068136;0;0;0,004008016
72626,71175;0;0,023046092;0,007014028;0,218436874;0,021042084;0;0,145290581;0;0,012024048;0,016032064;0,018036072;0,070140281;0,286573146;0,157314629;0;0,002004008;0,023046092
72777,47516;0,006006006;0,009009009;0,006006006;0,173173173;0;0;0,068068068;0;0,003003003;0,05005005;0;0,073073073;0,468468468;0,123123123;0;0;0,02002002
72877,9841;0,008008008;0,002002002;0,002002002;0,269269269;0,002002002;0;0;0;0,006006006;0,055055055;0,006006006;0,055055055;0,557557558;0,024024024;0,002002002;0;0,011011011
73028,7475;0;0,01503006;0,006012024;0,406813627;0;0;0;0;0,004008016;0,124248497;0,011022044;0,04509018;0,366733467;0,013026052;0,008016032;0;0
73129,25644;0,042;0,008;0,012;0,325;0,003;0;0;0;0;0,126;0,005;0,059;0,389;0,014;0,014;0;0,003
73280,01985;0,01998002;0,013986014;0,013986014;0,357642358;0;0;0,005994006;0;0;0,142857143;0,108891109;0,042957043;0,287712288;0,005994006;0;0;0
73380,52879;0,008016032;0,008016032;0,0250501;0,393787575;0,00501002;0;0,003006012;0;0,003006012;0,135270541;0,099198397;0,051102204;0,253507014;0,00501002;0,00501002;0;0,00501002
73531,29219;0,002;0,015;0,023;0,484;0;0;0;0;0;0,119;0,259;0,021;0,073;0;0,004;0;0
73631,80113;0,004;0,008;0,016;0,385;0;0,002;0;0;0;0,112;0,431;0,016;0,024;0;0,002;0;0
73782,56454;0;0,026;0,038;0,194;0,004;0,002;0,004;0;0;0,27;0,345;0,034;0,071;0;0,01;0;0,002
73883,07348;0,027972028;0,04995005;0,105894106;0,174825175;0,004995005;0,013986014;0;0;0;0,381618382;0,046953047;0,027972028;0,110889111;0;0,054945055;0;0
74033,83688;0,007;0,019;0,068;0,128;0,001;0,012;0,008;0;0;0,46;0,139;0,046;0,086;0,003;0,023;0;0
74134,34582;0,011;0,014;0,071;0,196;0,003;0,014;0;0;0;0,314;0,158;0,038;0,158;0,003;0,02;0;0
74285,10923;0;0,006;0,006;0,154;0;0;0;0;0;0,114;0,044;0,074;0,596;0;0;0;0,006
74385,61816;0;0,002997003;0,015984016;0,135864136;0;0,002997003;0;0;0;0,096903097;0,023976024;0,071928072;0,639360639;0,004995005;0;0;0,004995005
74536,38157;0,006012024;0,012024048;0,003006012;0,208416834;0;0;0,003006012;0;0;0,089178357;0,027054108;0,149298597;0,480961924;0,009018036;0,003006012;0;0,009018036
74636,89051;0,023023023;0,008008008;0,008008008;0,121121121;0;0,006006006;0,011011011;0;0;0,029029029;0;0,288288288;0,485485485;0,011011011;0,006006006;0;0,003003003
74888,16285;0,002006018;0,017051153;0,002006018;0,191574724;0,007021063;0;0,005015045;0;0;0,027081244;0,012036108;0,248746239;0,472417252;0,015045135;0;0;0
75139,4352;0,007014028;0,007014028;0;0,163326653;0,007014028;0,004008016;0,007014028;0;0;0,052104208;0,007014028;0,159318637;0,556112224;0,022044088;0,004008016;0;0,004008016
75390,70754;0,002;0,002;0,002;0,078;0,002;0;0;0;0;0,057;0,007;0,239;0,598;0,011;0,002;0;0
75641,97989;0,118118118;0,003003003;0,006006006;0,142142142;0,009009009;0;0;0;0;0,064064064;0,009009009;0,182182182;0,446446446;0,011011011;0,006006006;0;0,003003003
75893,25223;0,004;0,017;0;0,176;0,013;0,004;0;0;0;0,044;0,009;0,353;0,345;0,027;0,004;0;0,004
76044,01564;0,110220441;0,03507014;0;0,147294589;0,049098196;0;0,007014028;0;0,00501002;0,042084168;0,002004008;0,339679359;0,221442886;0,037074148;0,002004008;0;0,002004008
76094,27011;0,14014014;0,074074074;0,003003003;0,107107107;0,077077077;0,003003003;0,005005005;0;0;0,088088088;0,013013013;0,297297297;0,156156156;0,033033033;0,003003003;0;0
