X2;Abies;Acer campestre-type;Alnus;Armeria-type;Artemisia;Betula;Boraginaceae;Botrychium;Buxus;Calluna vulgaris;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Cedrus;Centaurea;Chenopodiaceae/Amaranthaceae;Asteraceae subf. Asteroideae;Asteraceae subf. Cichorioideae;Corylus;Crassulaceae;Brassicaceae;Cyperaceae;Dipsacaceae;Ephedra;Ericaceae;Fagus;Filipendula;Fraxinus;Gentianaceae;Poaceae;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juniperus;Osmunda regalis;Picea;Pinus;Plantago;Plantago lanceolata-type;Polygonum;Polypodium;Populus;Potamogeton;Quercus ilex-type;Quercus robur-type;Ranunculaceae;Ranunculus-type;Rhamnus;Rosaceae;Rubiaceae;Rumex;Salix;Saxifraga;Scrophulariaceae;Selaginella;Taxus;Thalictrum;Tilia;Ulmus;Valeriana
73275.7301078366;0,0078125;0;0,0078125;0;0,0078125;0,12890625;0;0;0;0,01171875;0,00390625;0;0;0;0;0,00390625;0;0,00390625;0;0,00390625;0;0,00390625;0;0;0;0,00390625;0;0;0,078125;0;0;0;0;0;0;0,12890625;0,5859375;0;0;0;0;0;0;0;0,0078125;0,00390625;0;0;0;0,00390625;0,00390625;0;0;0;0;0;0;0;0;0
73326.772764583;0,007575758;0;0;0;0,018939394;0,132575758;0;0;0;0,007575758;0,003787879;0,003787879;0;0;0,011363636;0;0,003787879;0;0;0;0,003787879;0;0;0;0;0,015151515;0;0;0,098484848;0;0;0;0;0;0;0,113636364;0,549242424;0;0;0,003787879;0;0;0;0;0,011363636;0;0;0;0;0,003787879;0,003787879;0,007575758;0;0;0;0;0;0;0;0
73377.8154213293;0,012295082;0;0,012295082;0;0,012295082;0,106557377;0;0;0;0,012295082;0,008196721;0;0;0;0;0,008196721;0;0,008196721;0;0;0;0;0;0;0;0,004098361;0;0;0,090163934;0;0;0;0;0,008196721;0;0,151639344;0,532786885;0,008196721;0;0;0;0;0;0;0,004098361;0;0;0;0;0;0,012295082;0,008196721;0;0;0;0;0;0;0;0
73479.9007348219;0,019379845;0;0,011627907;0;0;0,158914729;0;0;0;0,007751938;0,007751938;0;0;0;0;0,003875969;0;0,007751938;0;0;0;0;0;0;0;0,011627907;0;0;0,03875969;0;0;0;0;0;0;0,259689922;0,457364341;0;0;0;0;0;0;0;0,007751938;0;0;0;0;0;0;0,003875969;0;0;0;0;0,003875969;0;0;0
73633.0287050609;0,030837004;0;0,017621145;0;0,004405286;0,149779736;0;0;0,004405286;0;0;0;0;0;0;0;0;0,008810573;0;0;0;0;0;0,008810573;0;0;0;0;0,057268722;0;0;0;0;0;0;0,308370044;0,365638767;0;0;0,004405286;0;0;0;0;0,026431718;0;0,004405286;0;0;0,004405286;0;0,004405286;0;0;0;0;0;0;0;0
73684.0713618072;0,056737589;0;0,010638298;0;0,003546099;0,095744681;0;0;0;0,003546099;0,003546099;0;0;0;0;0;0;0,003546099;0;0;0;0;0;0;0;0;0;0;0,039007092;0;0;0,003546099;0;0;0;0,343971631;0,411347518;0;0;0;0;0;0;0;0,010638298;0;0;0;0,003546099;0;0,003546099;0,003546099;0;0;0;0;0;0;0,003546099;0
73735.1140185536;0,088105727;0;0,022026432;0;0,004405286;0,13215859;0;0;0;0,004405286;0,004405286;0;0;0;0;0;0;0,004405286;0;0,004405286;0,004405286;0;0;0,004405286;0,004405286;0;0;0;0,035242291;0;0;0;0;0;0;0,273127753;0,396475771;0;0;0;0;0;0;0;0,017621145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73786.1566752999;0,09252669;0;0,007117438;0;0;0,09252669;0;0;0;0;0,003558719;0;0;0;0;0;0;0,017793594;0;0;0;0;0;0;0,003558719;0;0;0;0,028469751;0;0;0;0;0;0;0,395017794;0,320284698;0;0;0;0;0;0;0;0,014234875;0;0;0;0;0,003558719;0;0,003558719;0;0;0;0;0;0;0,017793594;0
73837.1993320462;0,037142857;0;0,005714286;0;0;0,125714286;0;0;0;0,011428571;0,014285714;0;0;0;0,002857143;0;0;0,008571429;0;0;0,011428571;0;0;0,002857143;0;0,002857143;0;0;0,034285714;0;0;0;0;0;0;0,334285714;0,382857143;0;0;0;0;0;0;0;0,02;0;0;0;0;0,002857143;0;0;0;0;0;0;0;0;0;0,002857143
73888.2419887925;0,04784689;0;0,014354067;0;0,009569378;0,19138756;0;0;0;0;0,014354067;0;0;0;0;0;0;0;0;0;0,014354067;0;0;0;0;0,004784689;0;0;0,04784689;0;0;0;0;0,004784689;0;0,23923445;0,38277512;0,004784689;0;0;0;0;0;0;0,009569378;0;0;0,004784689;0;0,004784689;0;0;0;0;0;0;0;0;0,004784689;0
73939.2846455389;0,025;0;0,003125;0;0,009375;0,109375;0;0;0;0,003125;0,003125;0;0;0;0;0;0;0,003125;0;0;0,00625;0;0;0,003125;0;0;0,00625;0;0,009375;0;0;0;0;0,003125;0;0,38125;0,428125;0;0;0;0;0;0;0;0;0,003125;0;0;0;0;0;0,003125;0;0;0;0;0;0;0;0
73990.3273022852;0,029213483;0;0,013483146;0;0;0,184269663;0;0;0;0,002247191;0,002247191;0;0;0;0;0;0;0,004494382;0;0;0,002247191;0;0;0,002247191;0;0,002247191;0;0;0,042696629;0;0;0,002247191;0;0,002247191;0;0,265168539;0,415730337;0;0;0;0;0;0;0;0,024719101;0,002247191;0;0;0;0;0;0,002247191;0;0;0;0;0;0;0;0
74092.4126157778;0,024539877;0;0,003067485;0;0,003067485;0,159509202;0;0;0;0;0,003067485;0;0;0;0;0;0;0,003067485;0;0;0;0,003067485;0;0,006134969;0,003067485;0;0;0;0,033742331;0;0;0;0;0,003067485;0;0,266871166;0,460122699;0;0;0;0;0;0;0;0,015337423;0;0;0;0;0,003067485;0,003067485;0,003067485;0;0;0;0;0;0;0,003067485;0
