X2;Abies;Acer.campestre.type;Artemisia;Betula;Carpinus;Chenopodiaceae.Amaranthaceae;Corylus;Cyperaceae;Fagus;Filipendula;Fraxinus;Helianthemum;Hippophae.rhamnoides;Juniperus;Picea;Pinus;Poaceae;Quercus.robur.type;Rumex;Thalictrum;Ulmus
17085.6094080037;0;0;0,437958908;0,025786611;0;0;0;0,037050756;0;0;0;0,015051163;0;0;0;0,109553257;0,341939638;0;0;0,032659667;0
17090.869576165;0;0;0,438273274;0,025821836;0;0;0;0,037061132;0;0;0;0,015055378;0;0;0;0,109377137;0,341881373;0;0;0,03252987;0
17096.1297443264;0;0;0,438586738;0,025857081;0;0;0;0,037071513;0;0;0;0,015059595;0;0;0;0,109200919;0,341824152;0;0;0,0324;0
17101.3899124877;0;0;0,438901797;0,025891352;0;0;0;0,03708202;0;0;0;0,015063864;0;0;0;0,109024955;0,341766927;0;0;0,032269085;0
17106.6500806491;0;0;0,439215614;0,025926637;0;0;0;0,037092414;0;0;0;0,015068086;0;0;0;0,108848539;0,341709642;0;0;0,032139069;0
17111.9102488105;0;0;0,439530082;0,025961969;0;0;0;0,037102853;0;0;0;0,015072326;0;0;0;0,108672141;0,341652694;0;0;0,032007936;0
17117.1704169718;0;0;0,4398452;0,02599627;0;0;0;0,037113338;0;0;0;0,015076586;0;0;0;0,108495761;0,341595003;0;0;0,031877843;0
17122.4305851331;0;0;0,440159547;0,026031614;0;0;0;0,037123748;0;0;0;0,015080815;0;0;0;0,108319047;0,341537622;0;0;0,031747607;0
17127.6907532945;0;0;0,440474546;0,026067005;0;0;0;0,037134205;0;0;0;0,015085063;0;0;0;0,108142351;0,341480577;0;0;0,031616254;0
17132.9509214558;0;0;0,440790198;0,026101366;0;0;0;0,037144708;0;0;0;0,015089329;0;0;0;0,107965672;0,341422788;0;0;0,031485939;0
17138.2110896172;0;0;0,441105076;0,026136769;0;0;0;0,037155136;0;0;0;0,015093565;0;0;0;0,10778866;0,34136531;0;0;0,031355484;0
17143.4712577786;0;0;0,441421211;0,026172191;0;0;0;0,03716557;0;0;0;0,015097804;0;0;0;0,107611549;0,341307799;0;0;0,031223875;0
17148.7314259399;0;0;0,441737398;0,02620661;0;0;0;0,037176091;0;0;0;0,015102078;0;0;0;0,10743457;0,341249914;0;0;0,031093339;0
17153.9915941013;0;0;0,442053764;0,02624213;0;0;0;0,037186617;0;0;0;0,015106354;0;0;0;0,10725641;0,341193076;0;0;0,030961649;0
17159.2517622626;0;0;0,442369352;0,026277612;0;0;0;0,037197069;0;0;0;0,0151106;0;0;0;0,107078999;0,341135468;0;0;0,030830899;0
17164.410900942;0;0;0,442686076;0,02631209;0;0;0;0,037207607;0;0;0;0,015114881;0;0;0;0,10690172;0,341077484;0;0;0,030700142;0
17169.5700396215;0;0;0,4430025;0,026347641;0;0;0;0,037218111;0;0;0;0,015119148;0;0;0;0,106724224;0,34102018;0;0;0,030568196;0
17174.729178301;0;0;0,443318623;0,026383183;0;0;0;0,037228581;0;0;0;0,015123401;0;0;0;0,106546513;0,340962475;0;0;0,030437224;0
17179.8883169804;0;0;0,443635884;0,026418803;0;0;0;0,037239137;0;0;0;0,015127689;0;0;0;0,106368933;0,340904393;0;0;0,030305162;0
17185.0474556598;0;0;0,443952844;0,026453331;0;0;0;0,037249659;0;0;0;0,015131964;0;0;0;0,106191136;0,340846992;0;0;0,030174075;0
17190.2065943393;0;0;0,444270585;0,026488933;0;0;0;0,037260146;0;0;0;0,015136224;0;0;0;0,106013124;0,340788106;0;0;0,030042881;0
17195.3657330187;0;0;0,444587904;0,026524584;0;0;0;0,03727068;0;0;0;0,015140503;0;0;0;0,105835127;0,340730639;0;0;0,029910563;0
17200.5248716982;0;0;0,444905402;0,026559172;0;0;0;0,03728122;0;0;0;0,015144784;0;0;0;0,105657029;0,34067314;0;0;0,029779253;0
17205.6840103776;0;0;0,445223562;0,026594891;0;0;0;0,037291806;0;0;0;0,015149085;0;0;0;0,105478944;0,340614894;0;0;0,029646818;0
