Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Chenopodiaceae/Amaranthaceae;Poaceae
0;42,582;0;0;0;0;21,429;0;0;0,824;1,648;0;0,824;0;0;0;6,319
0;0;0;0;0;0;0;0,959;0;0,959;75,06;0;0;0;0;0;3,118
0;0;0;0;0;0;0;1,348;0;0,674;64,944;0;0;0;0;0;3,371
0;0;0;0;0;0;0;1,038;0;1,038;23,529;0;0;0;0;0;12,457
0;0;0;0;0;0;0;1,261;0;1,261;42,017;0;0;0;0;0;10,084
0;0;0;0;0;0;0;1,174;0;0,469;78,169;0;0;0;0;0;2,582
0;0;0;0;0;0;0;0;0;0,181;2,355;0;0;0;0;0;44,384
0;0,298;0;0;0;0;1,786;0;0;0,149;0,893;0;0;0;0;0;44,643
0;0;1,309;0;0;0;0;0,524;0;0;5,497;0;0;0;0;0;6,021
0;0;1,245;0;0;0;0;0,83;0;0;12,863;0;0;0;0;0;5,394
0;0;1,702;0;0;0;0;0;0;0;35,745;0;0;0;0;0;4,681
0;0;0;0;0;0;1,796;0;0;0;2,695;0;0;0;0;0;29,641
0;0;0;0;0;0;2,005;0;0;0;2,757;0;0;0;0;0;26,817
0;0,141;0;0;0;0;0;0,141;0;0;15,254;0;0;0;0;0;32,062
0;0,135;0;0;0;0;0;0,27;0;0;15,094;0;0;0;0;0;34,097
0;0,386;0;0;0;0;12,613;0,129;0;0;20,206;0;0;0;0;0;13,771
0;0,153;0;0;0,459;0;0,153;0,306;0;0;14,22;0;0;0;0;0;46,024
0;0,407;0;0;1,018;0;0,407;5,499;0;0;11,202;0;0;0;0;0;9,165
0;0,199;0,199;0;0,598;0;0,996;0,797;0;0,199;31,873;0;2,191;0;0;0;2,191
0;0,822;0;0;0;0;0,658;0,822;0;0;10,033;0;0;0;0;0;5,592
0;0,144;0;0;0;0;1,58;1,293;0;0,431;7,902;0;0;0;0;0;9,626
0;5,536;13,75;0;0;0;1,786;0,536;0;0;28,75;0;3,75;0;0;0;7,679
0;1,049;0,699;0;0;0;0,699;1,049;0;0,35;23,427;0;3,147;0;0;0;4,545
0;41,928;0,224;0;0;0;2,466;0,224;0;0;4,484;0;3,812;0;0;0;2,018
0;6,406;0;0;0,356;0;1,601;2,669;0;0,89;18,683;0;1,601;0;0;0,178;15,658
0;2,921;0,344;0;0;0;0;0,172;0;0,687;21,649;0;0;0;0;0;23,368
0;0,281;0,702;0;0,14;0;1,404;2,809;0;0,14;11,096;0;0,281;0;0;0;2,949
0;0,468;0,82;0;0,117;0;1,756;3,513;0;0,234;10,656;0;0;0;0;0;1,991
0;0,643;1,285;0;0;0;1,671;3,085;0;0;10,797;0;0;0;0;0;3,599
0;0,455;0,152;0;1,97;0;0,152;0;0;0;16,818;0;0;0;0;0;1,364
0;0,318;1,272;0;1,272;0;0,159;0,159;0;0;21,145;0;0;0;0;0;1,749
0;1,721;0,156;0;0,626;0;0,313;0;0;0;24,257;0;0,156;0;0;0;3,599
0;2;0,462;0;15,077;0;0,615;0;0;0;7,538;0;0,308;0;0;0;2,308
0;0,186;0;0;0;0;0,372;0,186;0;4,089;3,532;0;0,743;0;0;0,372;29,554
0;0,556;0;0;0;0;0,278;0,556;0;0,833;43,056;0;0,833;0;0;0,556;9,167
0;0,518;0,173;0;0,173;0;0,173;0,518;0;2,591;10,363;0;0,691;0;0;0,518;15,371
0;3,988;0,307;0;0;0;1,534;1,227;0;1,534;8,589;0;1,534;0;0;0,92;17,178
0;1,913;0;0;0;0;1,093;1,913;0;5,738;11,749;0;0,82;0;0;0,546;18,033
0;0,412;0;0;0;0;0,275;0,412;0;4,808;2,61;0;0,549;0;0;0,275;28,984
0;0,774;0;0;0;0;0,31;0;0;4,334;2,632;0;0,31;0;0;0,155;27,709
0;0,932;0;0;0;0;0,233;2,564;0;2,564;3,963;0;0,466;0;0;0,699;20,513
0;0,866;0;0;0;0;0,433;1,299;0;2,814;4,113;0;0,433;0;0;0,649;21,429
0;0,994;0;0;0;0;0,398;1,789;0;1,59;6,759;0;0,199;0;0;1,193;24,453
0;0,566;0;0;0;0;0,227;0,227;0;1,812;19,819;0;0;0;0;0,113;12,571
0;0,111;0;0;0;0;0,111;0,334;0;2,447;16,018;0;0;0;0;0,111;14,349
0;0,253;0;0;0;0;0;1,013;0;1,013;72,405;0;0,253;0;0;0;5,316
0;0,22;0;0;0;0;0,22;1,322;0;0,661;73,568;0;0;0;0;0;1,762
0;0,465;0;0;0;0;0;0,93;0;0,93;70,233;0;0,233;0;0;0,233;2,093
0;0;0;0;0;0;0,231;1,386;0;0,462;67,436;0;0;0;0;0;5,081
0;1,386;0;0;0;0;0,396;0,396;0;0,396;50,297;0;0,198;0;0;0;2,178
0;0;0,448;0;0;0;0;2,242;0;0,897;68,61;0;0;0;0;0;17,489
0;0;0;0;0;0;0;1,938;0;1,163;67,829;0;0;0;0;0;16,279
0;0;0,407;0;0;0;0;2,439;0;0,813;74,797;0;0;0;0;0;9,35
0;0;0;0;0;0;0;4,846;0;0,881;48,458;0;0;0;0;0;10,573
0;0;0;0;0;0;0;8,268;0;0,394;39,37;0;0;0;0;0;20,079
0;2,335;0;0;0;0;1,486;0,637;0;0,212;46,072;0;0,425;0;0;0;2,335
0;2,941;0,346;0;0;0;0;0,173;0;0,692;21,799;0;0;0;0;0;23,529
0;0,15;0,3;0;0,15;0;0,75;0,45;0;0,3;55,172;0;0,75;0;0;0;4,948
0;0,155;0,155;0;0,155;0;0,464;0,618;0;0,155;64,142;0;0,309;0;0;0;6,337
0;0,347;0;0;0;0;0;0,694;0;0,868;4,34;0;0;0;0;0;25,347
0;0;0;0;0;0;0;0,182;0;0,73;1,825;0;0;0;0;0;14,051
0;0;0;0;0;0;0;0;0;0,369;1,845;0;0;0;0;0;23,247
0;0,18;0;0;0;0;0;0;0;0,18;1,081;0;0;0;0;0;31,171
0;0;0;0;0;0;0;0;0;1,438;1,597;0;0;0;0;0;31,15
0;0;0;0;0;0;0;0;0;0,866;2,165;0;0;0;0;0;46,32
0;0,195;0;0;0;0;0;0,973;0;0,195;2,14;0;0;0;0;0;24,125
0;0;0,225;0;0;0;0;0;0;0,676;2,027;0;0;0;0;0;27,027
0;0,368;0;0;0;0;0;0;0;0,184;2,39;0;0;0;0;0;40,625
