-: limite inf‚rieure
+: limite sup‚rieure
Temp en 1/10 degres
Prec en mm
anomalies
    TJAN-TJAN TJAN+TJUL-TJUL TJUL+TANN-TANN TANN+PJAN-PJAN PJAN+PJUL-PJUL PJUL+PANN-PANN PANN+
1300  -52  -29  -22  -25  -11    1  -33  -21  -10  -38  -22    8    2   15   24 -381 -242    9
1325  -28  -23  -14  -17   -3    8  -21  -13   -7  -39  -28   -6   -1    6   17 -433 -332 -125
1328  -50  -24  -15  -18   -2    8  -42  -14   -8  -39  -30   -6   -5    3   15 -444 -356 -174
1330  -23  -13   10  -24  -11    7  -21  -12   -5  -36   -8   14   -1    6   24 -410 -197  -29
1333  -20   -9    9  -29  -16    1  -25  -13   -7  -28    0   15    0    7   23 -351 -145  -30
1335  -26   -1   17  -41  -24  -12  -29  -13   -6  -19    9   29    1    8   20 -298 -100    3
1338  -21   -6    8  -45  -25  -11  -25  -17  -11  -13   10   33    5   13   24 -308  -79   10
1340  -41   -6   11  -42  -26  -18  -38  -17   -9  -14   12   43    0   12   22 -205  -59  190
1343  -24  -10   14  -32  -14    9  -21  -12   -5  -40   -5   25   -2    8   24 -439 -182   29
1345  -17    6   22  -48  -28  -14  -20  -11   -3   -5   19   54    3   11   35 -192  -47  242
1348  -25   -9    5  -52  -29  -19  -27  -18   -7  -35    6   17   -8   11   20 -368 -104  -25
1350  -35    5   25  -44  -34  -30  -30  -15   -2   -9   16   52    5   13   24 -224  -73  181
1353  -18   -2   24  -18   -4    9  -12   -2    6  -43  -23   12  -20  -10    5 -422 -334   16
1355 -193 -128 -108  -48  -28   -8 -118  -83  -69  -59  -54  -50  -12   -4    0 -619 -573 -536
1358 -161 -122 -105  -56  -30  -16  -93  -78  -66  -61  -54  -49   -6   -3    0 -656 -575 -537
1360 -203 -141 -113  -35  -23   -3 -122  -81  -63  -58  -50  -26  -47  -16   -4 -642 -573 -535
1363 -177 -138  -98  -28  -22    1  -88  -77  -64  -55  -37  -22  -69  -43   -9 -642 -556 -502
1365 -246 -180 -118  -37  -23  -17 -120  -91  -60  -37  -25   20  -70  -61  -36 -631 -536 -385
1368 -226 -178 -116  -41  -22   -4 -110  -90  -67  -29  -16   23  -70  -67  -63 -584 -487 -230
1370 -268 -196 -139  -67  -27  -18 -128  -99  -80  -26  -10   17  -72  -68  -67 -562 -449 -275
1373 -272 -215 -146  -27  -23  -12 -133 -105  -70  -29   -9   25  -72  -69  -67 -642 -461 -278
1375 -255 -190 -101  -31  -22  -15 -124  -94  -48  -78  -38    0  -60  -29   13 -776 -574 -361
1378 -248 -187  -97  -43  -23  -17 -118  -87  -40  -58  -24   23  -69  -41    1 -688 -510 -240
