Age;Abies;Acer_Campestre;Alisma;Alnus;Armeria;Artemisia;Betula;Boraginaceae;Botrychium;Erica_Spiculifolia;Buxus;Vulgaris;Campanulaceae;Carpinus;Caryophyllaceae;Cedrus;Centaurea;Amaranthaceae;Corylus;Crassulaceae;Cyperaceae;Caprifoliaceae;Ephedra;Ericaceae;Fagus;Filipendula;Fraxinus;Gentiana;Poaceae;Hedera;Helianthemum;Hippophae;Ilex;Isoetes;Juniperus;Lamiaceae;Fabaceae;Lemna;Liliaceae;Lycopodium;Trifoliata;Mercurialis;Myriophyllum;Nymphaea;Osmunda;Picea;Pinus;Plantago;Plantago_Lanceolata;Polygonum;Polypodium;Populus;Potamogeton;Quercus_Robur;Quercus_Ilex;Ranunculaceae;Ranunculus;Rhamnus;Rosaceae;Rubiaceae;Rumex;Salix;Minor;Officinalis;Saxifraga;Scrophularia;Selaginella;Sphagnum;Taxus;Thalictrum;Tilia;Angustifolia;Ulmus;Apiaceae;Valeriana;Vitis
20776;0;0;0;0;0;14;72;0;0;0;0;0;0;0;0;0;1;1;0;0;6;0;0;0;0;1;0;0;77;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;2;0;0;0;0;0;0;0;1;2;3;0;2;1;0;0;0;0;1;0;1;0;6;0;0
20935;0;0;0;0;0;11;60;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;77;0;2;0;0;0;16;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;1;0;0;0;0;1;2;13;0;0;0;0;0;0;0;2;0;3;0;3;0;0
21041;0;0;0;0;0;17;57;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;0;2;0;0;75;0;0;1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;4;0;1;1;6;9;0;0;1;0;0;0;0;0;0;0;0;4;0;0
21200;0;0;0;0;0;15;36;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;75;0;0;1;0;0;15;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;8;0;0;0;3;4;8;0;1;0;1;0;0;0;1;0;0;0;4;0;0
21306;0;0;0;0;0;20;47;0;0;0;0;0;0;0;0;0;1;0;0;0;6;1;0;0;0;0;0;0;117;0;0;1;0;0;18;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;2;0;5;0;0;0;0;0;0;0;6;0;0;0;0;0;0
21465;0;0;0;0;0;30;24;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;68;0;4;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;33;0;2;3;3;5;0;0;0;0;0;0;0;1;0;1;0;3;1;0
21571;0;0;0;0;1;40;26;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;58;0;5;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;55;0;5;0;4;4;0;0;0;0;0;0;0;6;0;0;0;2;1;0
21836;0;0;0;0;1;46;28;0;0;0;0;0;2;0;1;0;0;4;0;0;9;1;1;0;0;0;0;0;75;0;13;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;24;0;3;0;8;1;0;0;1;0;0;0;0;8;0;0;0;2;0;0
21995;0;0;0;0;0;26;5;0;0;0;0;0;0;0;1;0;0;4;0;0;4;0;0;0;0;0;0;0;54;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;1;0;50;0;1;1;6;1;0;0;0;0;0;0;0;4;0;0;0;1;0;0
22101;0;0;0;0;1;27;3;0;0;0;0;0;0;0;3;0;1;1;0;0;5;0;0;0;0;0;0;0;27;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;72;0;0;0;3;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0
22578;0;0;0;0;0;17;1;0;0;0;0;0;0;0;4;0;0;1;0;0;10;0;0;0;0;0;0;0;55;0;4;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;51;0;0;0;6;1;0;0;1;0;0;0;0;4;0;0;0;1;0;0
22684;0;0;0;0;0;30;1;0;0;0;0;0;0;0;4;0;0;3;0;1;7;0;0;0;0;0;0;0;58;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;48;0;2;1;6;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0
22843;0;0;0;0;0;16;2;0;0;0;0;0;0;0;3;0;0;0;0;0;5;0;0;0;0;0;0;0;75;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;30;0;0;3;0;0;0;0;1;0;0;0;0;9;0;0;0;2;0;0
22949;1;0;0;0;1;17;2;0;0;0;0;0;0;0;4;0;0;3;0;0;6;0;1;0;0;0;0;0;46;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;33;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0
