Age;Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Amaranthaceae;Poaceae
71851;0;4;62;7;18;0;0;69;4;48;18;0;0;4;34;7;726
72018;0;0;148;0;0;0;0;112;10;40;5;15;0;10;92;0;567
72268;0;9;255;0;0;0;0;22;5;53;5;22;0;0;132;14;484
72436;0;12;257;0;0;0;0;47;4;51;0;16;4;4;124;23;460
72687;0;7;211;0;3;0;0;15;3;88;0;10;3;0;113;15;531
72854;0;7;223;2;2;0;0;2;11;133;2;13;0;4;115;11;472
73106;0;0;256;0;0;0;0;4;0;312;0;0;0;0;38;4;385
73274;0;13;355;2;4;0;0;2;13;373;8;2;0;2;4;0;222
73526;0;14;465;4;0;0;0;18;10;166;10;4;0;0;10;0;299
73694;4;17;244;21;21;0;0;21;33;157;21;12;4;17;99;4;322
73946;0;3;129;3;0;0;0;8;88;516;11;0;0;3;11;0;229
74115;0;7;219;7;7;0;0;4;119;523;19;0;0;4;4;4;82
74367;0;10;225;10;15;5;0;5;135;449;73;0;2;0;2;0;68
74536;0;51;313;51;36;5;9;0;262;5;188;0;0;9;9;5;56
74790;0;36;186;51;23;8;0;0;143;356;146;0;12;8;0;0;32
74959;3;29;150;79;65;0;3;3;68;294;232;3;12;9;12;0;38
75212;0;46;144;79;58;9;9;2;89;311;197;0;9;14;2;0;30
75382;0;31;62;169;191;0;9;0;35;89;369;0;4;9;0;0;31
75636;0;41;91;178;196;0;10;0;49;94;308;0;0;10;0;0;23
75805;2;41;49;106;229;2;9;0;76;85;357;0;4;9;2;0;29
76230;0;39;77;111;158;0;16;4;63;111;393;0;0;16;2;0;9
78364;1;30;76;126;178;1;5;0;70;90;392;0;3;12;3;0;13
78621;0;51;120;131;156;0;6;0;46;96;352;0;3;11;6;0;22
78793;0;40;101;70;233;3;9;0;43;58;415;0;3;15;0;0;9
79050;0;44;113;54;259;0;7;0;35;59;408;0;2;10;0;0;10
79222;0;27;97;44;341;0;3;3;35;65;344;3;3;14;0;0;20
79481;0;27;97;36;275;0;4;0;56;82;386;2;2;9;0;0;23
79653;0;31;125;31;285;0;9;0;46;64;356;0;3;9;3;0;37
79911;0;19;122;38;297;0;0;0;19;87;361;0;2;17;5;2;29
80084;0;15;89;13;343;3;0;3;38;68;388;0;0;23;3;0;13
80343;0;16;106;10;304;0;12;0;27;77;420;0;0;18;0;0;10
80516;0;16;283;2;223;0;27;7;29;79;264;0;2;23;9;0;36
80775;0;0;428;4;44;0;0;35;0;135;76;4;0;20;56;4;191
80948;0;6;532;0;0;0;0;37;3;125;10;3;0;3;45;0;236
81208;0;0;601;0;0;0;0;25;0;125;0;0;0;0;37;3;209
81382;0;6;574;0;0;0;0;24;0;82;4;0;0;2;69;6;232
81642;0;0;626;0;0;0;0;58;0;69;3;0;0;0;62;3;178
81816;0;0;482;0;0;0;0;86;0;23;4;9;0;0;64;18;314
82076;0;0;325;0;0;0;0;232;0;31;0;7;0;4;89;7;305
82250;3;3;285;3;3;0;0;244;10;35;0;3;0;3;84;3;320
82511;0;3;314;3;0;0;0;205;3;22;8;11;0;0;101;19;310
