;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH;;
8,322;2,18975871;3,998072842;3,334747884;17,15002948;17,15002948;18,95834361;18,95834361;17,43190986;1,808314132;2,853083668;0;0;0;0;0;0;;
8,514;2,730217658;3,699753629;2,730217658;16,86678173;16,86678173;19,71809722;19,71809722;17,95741553;0,969535971;3,699753629;0;0;0;0;0;0;;
8,701;2,896588107;4,502825947;3,983210705;17,32608565;17,32608565;18,34588955;18,34588955;15,96891669;1,60623784;4,241950512;0;0;0;0;0;0;;
8,884;2,424871131;3,330409644;2,117974079;15,9227538;15,9227538;17,13518936;17,13518936;15,9227538;0,905538514;2,424871131;0;0;0;0;0;0;;
9,067;1,153256259;2,001784397;2,001784397;15,25810551;15,25810551;15,58976799;15,58976799;14,43651173;0,848528137;1,153256259;0;0;0;0;0;0;;
9,25;1,382027496;2,52657981;2,52657981;15,5709889;15,5709889;15,5709889;15,5709889;14,1889614;1,144552314;1,382027496;0;0;0;0;0;0;;
9,434;0,632455532;1,264911064;1,264911064;12,20055869;12,20055869;12,20055869;12,20055869;11,56810316;0,632455532;0,632455532;0;0;0;0;0;0;;
9,617;0,969535971;1,939071943;1,939071943;13,4064879;13,4064879;13,4064879;13,4064879;12,43695193;0,969535971;0,969535971;0;0;0;0;0;0;;
9,8;1,256980509;2,766947396;2,766947396;14,04696569;14,04696569;14,04696569;14,04696569;12,78998518;1,509966887;1,256980509;0;0;0;0;0;0;;
9,983;1,562049935;3,302739454;3,302739454;15,03755891;15,03755891;15,33755891;15,33755891;13,77550897;1,740689519;2,38667106;0;0;0;0;0;0;;
10,166;1,822086716;5,036118452;5,036118452;15,92652544;15,92652544;15,92652544;15,92652544;14,10443873;3,214031736;3,009520925;0;0;0;0;0;0;;
10,35;2,48394847;6,550888351;6,550888351;15,66111112;15,66111112;15,66111112;15,66111112;13,17716265;4,066939882;2,48394847;0;0;0;0;0;0;;
10,533;5,157887333;10,87015483;10,01575446;17,57363024;17,57363024;17,57363024;17,57363024;13,27014328;5,712267501;6,941142783;0;0;0;0;0;0;;
10,716;7,161703708;12,28908121;12,28908121;16,34617376;16,34617376;16,34617376;16,34617376;9,184470052;5,127377497;8,913845255;0;0;0;0;0;0;;
10,899;7,412826721;12,84421697;12,84421697;14,33753542;14,33753542;14,33753542;14,33753542;6,924708698;5,431390246;9,425287901;2,420743687;2,420743687;0;0;0;0;;
11,081;6,052736054;13,84632316;13,3171729;14,37547342;14,37547342;14,37547342;14,37547342;8,851887632;7,793587107;8,440203331;0;0;0;0;0;0;;
