;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
60803,45853;0;4,949747468;5,685727563;4,949747468;4,949747468;4,949747468;4,949747468;4,949747468;4,949747468;4,020779365;22,98889016;12,54640314;2,356165269;2,356165269;0;0
60985,37059;0;5,284037528;6,027429484;5,284037528;5,284037528;5,284037528;5,284037528;5,284037528;5,284037528;4,170699797;22,49649889;11,55497765;2,37369705;2,37369705;0;0
61147,0702;0;5,635429398;5,635429398;5,635429398;5,635429398;5,635429398;5,635429398;5,635429398;5,635429398;4,342215874;15,47661856;16,76983208;1,651001666;1,651001666;0;0
61303,7167;0;5,851225692;5,851225692;5,851225692;5,851225692;5,851225692;5,851225692;5,851225692;5,851225692;4,295039977;16,07654046;17,63272617;1,630305094;1,630305094;0;0
61485,62876;0;5,988625585;5,988625585;5,988625585;5,988625585;5,988625585;5,988625585;5,988625585;5,988625585;4,323415224;17,70246597;19,36767634;1,590692616;1,590692616;0;0
61662,48771;0;6,123724357;6,123724357;6,123724357;6,123724357;6,123724357;6,123724357;6,123724357;6,123724357;4,415880433;17,94286707;19,650711;1,58113883;1,58113883;0;0
61844,39977;0;6,331987003;6,331987003;6,331987003;6,331987003;6,331987003;6,331987003;6,331987003;6,331987003;4,393401894;18,46637527;20,40496038;1,57171785;1,57171785;0;0
61965,67448;0;6,434653207;6,434653207;6,434653207;6,434653207;6,434653207;6,434653207;6,434653207;6,434653207;4,415880433;18,94858968;20,96736245;1,535298961;1,535298961;0;0
62162,74588;0;6,537831689;6,537831689;6,537831689;6,537831689;6,537831689;6,537831689;6,537831689;6,537831689;4,395431697;19,36245059;21,50485058;1,761704743;1,761704743;0;0
62304,23304;0,614160403;7,132017113;7,132017113;7,132017113;7,132017113;7,132017113;7,132017113;6,517856711;6,517856711;5,147661434;21,12974024;21,27161472;2,348741591;2,348741591;0;0
62481,09199;1,170110636;7,165825614;7,165825614;7,165825614;7,165825614;7,165825614;7,165825614;5,995714978;5,995714978;6,048539215;24,00375578;21,61071027;2,458759026;2,458759026;0;0
62642,7916;0;5,579664246;5,579664246;5,579664246;5,579664246;5,579664246;5,579664246;5,579664246;5,579664246;5,298247691;20,55600453;20,83742108;1,892520198;1,892520198;0;0
62824,70366;0;5,108399426;5,108399426;5,108399426;5,108399426;5,108399426;5,108399426;5,108399426;5,108399426;5,791593321;19,77984236;19,09664847;1,640575935;1,640575935;0;0
62981,35016;0,773887007;5,109629318;5,883516325;5,109629318;5,883516325;5,109629318;5,883516325;4,33574231;4,33574231;6,935180581;24,19184308;18,49685678;2,975332076;2,975332076;0;0
63163,26222;1,535298961;5,211857335;7,069676598;5,724491109;6,397083853;5,724491109;6,397083853;4,189192147;4,189192147;7,010350605;29,78799108;21,36582269;3,743190667;3,743190667;0;0
63340,12117;1,590692616;4,689242293;5,403455847;5,403455847;5,403455847;5,403455847;5,403455847;3,81276323;3,81276323;7,049907789;25,16385832;18,03111498;3,472288747;3,472288747;0;0
63501,82078;1,651001666;4,680427255;4,680427255;4,680427255;4,680427255;4,680427255;4,680427255;3,029425589;3,029425589;6,992561185;23,87038541;16,60524649;3,600636324;3,600636324;0;0
63653,41416;1,661586471;5,290522288;4,524391424;5,290522288;5,290522288;5,290522288;5,290522288;2,862804953;2,862804953;6,719941589;23,75776481;15,81132437;3,623174119;3,623174119;0;0
