;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
21533,40619;2,006810208;6,250259165;6,250259165;6,250259165;6,250259165;6,250259165;6,250259165;4,243448957;4,243448957;7,995741171;24,89251908;17,12660645;1,022328881;1,022328881;0;0
21536,75046;2,006643441;6,246433955;6,246433955;6,246433955;6,246433955;6,246433955;6,246433955;4,239790514;4,239790514;7,993730408;24,90189448;17,13466771;1,02798111;1,02798111;0;0
21540,09472;2,006500643;6,242627675;6,242627675;6,242627675;6,242627675;6,242627675;6,242627675;4,236127032;4,236127032;7,991742797;24,91124288;17,14262583;1,033586375;1,033586375;0;0
21543,43899;2,006359459;6,238844236;6,238844236;6,238844236;6,238844236;6,238844236;6,238844236;4,232484778;4,232484778;7,989754222;24,92042982;17,15044146;1,039149807;1,039149807;0;0
21546,78326;2,006217279;6,235048675;6,235048675;6,235048675;6,235048675;6,235048675;6,235048675;4,228831396;4,228831396;7,987774368;24,92953956;17,15816203;1,044670372;1,044670372;0;0
21550,12752;2,006076708;6,231262258;6,231262258;6,231262258;6,231262258;6,231262258;6,231262258;4,22518555;4,22518555;7,985793529;24,93849458;17,16573318;1,050205429;1,050205429;0;0
21553,47179;2,005933843;6,227487199;6,227487199;6,227487199;6,227487199;6,227487199;6,227487199;4,221553355;4,221553355;7,983816596;24,94735867;17,17322775;1,055642885;1,055642885;0;0
21556,81605;2,005792586;6,223707609;6,223707609;6,223707609;6,223707609;6,223707609;6,223707609;4,217915023;4,217915023;7,981848296;24,95612609;17,18060765;1,06104129;1,06104129;0;0
21560,16032;2,005654225;6,219940883;6,219940883;6,219940883;6,219940883;6,219940883;6,219940883;4,214286659;4,214286659;7,979883757;24,96476828;17,18786273;1,066402175;1,066402175;0;0
21563,50459;2,005512279;6,216181706;6,216181706;6,216181706;6,216181706;6,216181706;6,216181706;4,210669427;4,210669427;7,977918322;24,97327896;17,1950055;1,071775312;1,071775312;0;0
21566,84885;2,005374518;6,212425489;6,212425489;6,212425489;6,212425489;6,212425489;6,212425489;4,20705097;4,20705097;7,975961392;24,98169865;17,20203919;1,077059182;1,077059182;0;0
21570,19312;2,005207204;6,20864217;6,20864217;6,20864217;6,20864217;6,20864217;6,20864217;4,203434966;4,203434966;7,973984522;24,98996644;17,20900247;1,082304729;1,082304729;0;0
21573,53738;2,005067486;6,204902521;6,204902521;6,204902521;6,204902521;6,204902521;6,204902521;4,199835034;4,199835034;7,97202567;24,99817239;17,21584678;1,087512532;1,087512532;0;0
21576,88165;2,004930646;6,201161974;6,201161974;6,201161974;6,201161974;6,201161974;6,201161974;4,196231328;4,196231328;7,970089671;25,00629575;17,22257611;1,092685811;1,092685811;0;0
21580,22592;2,004791525;6,197419111;6,197419111;6,197419111;6,197419111;6,197419111;6,197419111;4,192627585;4,192627585;7,968138358;25,01431998;17,22922616;1,097873564;1,097873564;0;0
