;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;AQUA;ANTH
X62575.8179720731;4,96921537;9,220747126;7,349918433;15,59583257;17,54519144;16,2282881;18,17764697;13,12990142;2,302172887;5,601670902;0;0;0;0;0;0
X62726.5813787844;5,261177111;9,317017926;7,34217616;15,54550953;17,27756034;15,99272312;17,72477393;12,70638778;2,323790008;5,968283892;0;0;0;0;0;0
X62827.0903165919;4,516389875;8,697930425;7,214690728;15,68595538;17,41800619;15,68595538;17,41800619;12,6528052;2,449489743;5,741134746;0;0;0;0;0;0
X62977.8537233032;4,516389875;9,549595218;8,066355521;14,8805669;17,13888486;14,8805669;17,13888486;11,84741672;2,774887385;5,858030662;0;0;0;0;0;0
X63078.3626611107;5,076553165;9,530390398;7,917938849;15,04195443;17,0668001;15,67440996;17,69925563;12,21030835;2,42899156;6,865407547;0;0;0;0;0;0
X63229.1260678219;4,603742232;8,650522401;7,467306445;15,78304421;16,96626016;15,78304421;16,96626016;12,36251793;2,863564213;6,15293557;0,5;0,5;0;0;0;0
X63329.6350056294;3,898275349;8,224845641;7,224845641;14,45810015;16,27469036;14,45810015;16,27469036;11,5598248;2,50998008;4,79270254;0;0;0;0;0;0
X63480.3984123406;4,226858565;8,393379835;7,344570987;14,22551159;15,70875129;15,06217162;16,54541131;11,8841219;2,683281573;4,933965346;0;0;0;0;0;0
X63580.9073501481;6,321379379;10,59086682;9,989271566;15,49957487;17,04876821;16,98281457;18,53200791;11,71024404;3,167507697;8,082061065;0,632455532;0,632455532;0;0;0;0
X63731.6707568594;6,503845017;10,10939629;11,8414471;15,04103374;15,04103374;15,04103374;15,04103374;8,53718872;5,337602083;10,81661675;2,258317958;2,258317958;0;0;0;0
X63832.1796946669;7,575704331;11,03980595;12,51243256;12,82866033;12,82866033;12,82866033;12,82866033;5,569183763;5,252955997;12,38195027;2;2;0;0;0;0
X63982.9431013782;7,720103626;11,18420524;12,5984188;12,5984188;12,5984188;12,5984188;12,5984188;4,878315178;4,878315178;12,23673954;1,788854382;1,788854382;0;0;0;0
X64083.4520391856;7,859436632;10,63432402;11,69650113;12,01272889;12,01272889;12,01272889;12,01272889;4,469520026;4,15329226;12,62388833;2,529822128;2,529822128;0,316227766;0,316227766;0;0
X64234.2154458969;7,880355322;10,41017745;12,71235034;12,71235034;12,71235034;12,71235034;12,71235034;4,831995015;4,831995015;12,03968219;2,387467277;2,387467277;0;0;0;0
X64334.7243837044;7,538974192;8,880614978;11,09420934;11,72666487;11,72666487;11,72666487;11,72666487;4,820146213;4,187690681;13,09775104;2,42899156;2,42899156;1,140175425;1,140175425;0;0
X64485.4877904157;6,104067845;7,716519395;12,0337575;12,48097109;12,48097109;12,48097109;12,48097109;6,824116845;6,376903249;11,58129342;2,898275349;2,898275349;0,447213595;0,447213595;0;0
X64585.9967282232;5,291502622;7,730660211;12,61942284;11,91231605;12,61942284;11,91231605;12,61942284;6,620813432;6,620813432;10,9039887;2,810693865;2,810693865;0;0;0;0
X64736.7601349344;6,333373513;7,637213994;11,33475328;12,10934995;12,10934995;12,10934995;12,10934995;6,550573105;5,775976436;11,85605402;3,098386677;3,098386677;1,183215957;1,183215957;0;0
X64837.2690727419;4,607376915;6,626543318;9,295602589;10,6606392;10,97686697;10,6606392;10,97686697;6,685717821;5,00445344;11,30812314;4,195235393;4,195235393;1,264911064;1,264911064;0;0
X64988.0324794531;5,155820092;7,948241567;9,664140788;10,16561049;10,61282409;10,16561049;10,61282409;5,958473697;5,009790399;11,39280654;4,827007354;4,827007354;1,341640786;1,341640786;0;0
X65088.5414172606;5,072200367;11,49725953;11,1616858;10,64870178;12,54606838;10,64870178;12,54606838;6,960884001;5,576501417;11,12199375;3,949683532;3,949683532;1,224744871;1,224744871;0;0
X65239.3048239719;5,949770637;14,47421522;14,97421522;13,35289487;15,47421522;13,35289487;15,47421522;7,903124237;7,403124237;9,75765719;1,58113883;1,58113883;0;0;0;0
X65339.8137617794;5,989693626;15,06432947;15,26853397;13,85078535;16,21721726;13,85078535;16,21721726;8,493547257;7,544863959;9,120188795;0,836660027;0,836660027;0;0;0;0
X65490.5771684907;7,132986594;15,94474114;14,26152518;15,54627511;17,54627511;15,54627511;17,54627511;10,09650448;6,811754546;9,456776602;1;1;0;0;0;0
X65591.0861062982;4,669047012;15,34818967;15,34818967;11,48813786;15,34818967;11,48813786;15,34818967;6,819090848;6,819090848;7,635526407;1,095445115;1,095445115;0;0;0;0
X65741.8495130094;4,929503018;15,85669391;15,85669391;12,51410934;16,56380069;12,51410934;16,56380069;7,584606327;6,877499546;7,209853868;0;0;0;0;0;0
X65842.3584508169;5,866956463;15,5794906;14,94703507;13,61269795;16,5281739;13,92892571;16,84440166;8,694424783;6,797058187;8,41646622;1,140175425;1,140175425;0;0;0;0
X65993.1218575282;4,057885153;15,37527041;15,37527041;12,18436259;15,69149818;12,18436259;15,69149818;8,442705208;8,126477442;6,466204069;0,316227766;0,316227766;0;0;0;0
X66093.6307953356;4,380147945;14,7273383;13,95274163;12,55938996;14,7273383;12,55938996;14,7273383;8,953838688;8,179242019;7,380147945;0,948683298;0,948683298;0,447213595;0,447213595;0;0
X67349.9925179294;5,406321227;15,77883489;15,13865947;13,82925865;16,77883489;13,82925865;16,77883489;9,563112849;7,922937424;8,600065111;0,5;0,5;0;0;0;0
X67500.7559246406;6,366021151;13,90932471;16,31339104;14,26318689;16,62961881;14,26318689;16,62961881;8,21339351;7,897165744;10,13430989;1,974841766;1,974841766;0,316227766;0,316227766;0;0
X67601.2648624482;5,513352717;16,08477895;15,37767217;13,32263124;16,53199255;13,32263124;16,53199255;8,516385304;7,362064928;7,704242947;0,447213595;0,447213595;0;0;0;0
X67752.0282691594;6,138093031;16,07782171;16,07782171;13,65729544;17,07782171;13,65729544;17,07782171;8,519202405;7,519202405;9,104572426;0,894427191;0,894427191;0;0;0;0
X67852.5372069669;5,936432467;16,30958598;15,08484111;13,18704484;16,94204151;13,18704484;16,94204151;8,475357247;6,618156843;8,886008708;0,836660027;0,836660027;0;0;0;0
X68003.3006136781;5,624085238;15,6853946;16,13260819;14,05372271;17,47424898;14,05372271;17,47424898;8,876851064;7,535210277;8,398972623;0;0;0;0;0;0
X68103.8095514857;6,670403627;16,65273949;15,34889901;15,2339913;19,15827468;15,78171386;19,70599723;10,41515071;6,058052492;9,585879574;0,547722558;0,547722558;0;0;0;0
