;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE
18738,03224;1,162691641;3,411147901;4,063777908;4,063777908;4,063777908;4,063777908;4,063777908;2,901086267;2,248456261;6,644986375;13,37397506;16,47903217;1,815321648;1,815321648;;2%;5%;6%;6%;6%;6%;6%;4%;3%;9%;19%;23%;3%;3%
19151,37901;1,437369813;4,28922772;3,820800074;4,28922772;4,28922772;4,28922772;4,28922772;3,320285555;2,851857908;7,271097103;15,7466492;19,06693476;2,256681806;2,256681806;;2%;5%;5%;5%;5%;5%;5%;4%;4%;9%;20%;24%;3%;3%
19473,92262;1,026369872;3,227167784;2,713982848;3,227167784;3,227167784;3,227167784;3,227167784;2,713982848;2,200797912;7,467234164;13,97033926;17,50907451;2,351208066;2,351208066;;1%;5%;4%;5%;5%;5%;5%;4%;3%;11%;20%;26%;3%;3%
19554,71688;1,405282941;3,535064907;2,598209613;3,535064907;3,535064907;3,535064907;3,535064907;3,06663726;2,129781966;7,523576184;14,31972678;17,41845092;1,90579746;1,90579746;;2%;5%;4%;5%;5%;5%;5%;4%;3%;11%;20%;25%;3%;3%
19676,79085;2,228291932;4,672636454;4,672636454;5,141064101;5,141064101;5,141064101;5,141064101;3,381199816;2,912772169;7,937365866;14,41028485;19,0829213;2,010406195;2,010406195;;3%;6%;6%;6%;6%;6%;6%;4%;3%;9%;17%;23%;2%;2%
19759,35027;1,59544807;3,871808802;3,074084767;3,871808802;3,871808802;3,871808802;3,871808802;3,074084767;2,276360732;7,39121455;11,48885981;15,09665859;0,783349452;0,783349452;;2%;6%;5%;6%;6%;6%;6%;5%;4%;11%;18%;23%;1%;1%
19981,6234;0;2,738612788;3,146861078;2,738612788;2,738612788;2,738612788;2,738612788;2,738612788;2,738612788;5,845225972;15,06357815;19,27415109;2,696705016;2,696705016;;0%;4%;5%;4%;4%;4%;4%;4%;4%;9%;22%;28%;4%;4%
20123,98455;1,589809419;4,290218238;3,086867937;4,290218238;4,290218238;4,290218238;4,290218238;3,903759121;2,700408819;8,390783375;13,86736514;16,95423308;1,834700326;1,834700326;;2%;6%;4%;6%;6%;6%;6%;5%;4%;11%;18%;22%;2%;2%
20222,42193;1,878438303;4,376752341;3,287994673;4,376752341;4,376752341;4,376752341;4,376752341;3,587071706;2,498314038;8,545058153;23,96327362;15,24841057;1,038272173;1,038272173;;2%;5%;4%;5%;5%;5%;5%;4%;3%;10%;29%;18%;1%;1%
20457,77925;1,405039796;2,810079591;1,405039796;2,810079591;2,810079591;2,810079591;2,810079591;1,906253608;0,953126804;8,02819593;22,45956895;13,07563404;1,26991183;1,26991183;;2%;4%;2%;4%;4%;4%;4%;3%;1%;12%;34%;20%;2%;2%
20694,92978;1,459228443;3,233949558;2,254228161;3,233949558;3,233949558;3,713456604;3,713456604;3,233949558;1,774721115;7,458924299;12,0860131;14,34024126;1,959442793;1,959442793;;2%;5%;4%;5%;5%;6%;6%;5%;3%;12%;19%;23%;3%;3%
20839,90027;1,776824488;2,704479713;1,352239857;2,704479713;2,704479713;2,704479713;2,704479713;2,279895082;0,927655226;8,179683118;11,31227702;14,88246762;0,424584631;0,424584631;;3%;5%;2%;5%;5%;5%;5%;4%;2%;15%;21%;27%;1%;1%
21078,94307;1,049178342;2,777869203;2,253280032;2,777869203;2,777869203;2,777869203;2,777869203;2,253280032;1,728690861;6,28434565;9,184994128;11,43827416;0;0;;2%;6%;5%;6%;6%;6%;6%;5%;4%;13%;19%;24%;0%;0%
