"","x"
"123",0.0168312356371961
"124",0.0223504457288139
"125",0.0220703875916273
"126",0.0123770455502009
"127",0.0194399803163413
"128",0.0192009932360295
"129",0.0117600786382332
"130",0.0208696447238684
"131",0.0168806865391964
"132",0.0130944175723501
"133",0.0191536961293435
"134",0.0210915051472021
"135",0.0227296519007112
"136",0.0242655319545101
"137",0.0253647334493512
"138",0.0259161220117452
"139",0.026809266173417
"140",0.0263710604861197
"141",0.015492046220729
"142",0.0252974756596401
"143",0.0221367912217885
"144",0.019200106775873
"145",0.0328095988398482
"146",0.0394419207215385
"147",0.0310854122941879
"148",0.0350771028713451
"149",0.0330479800564594
"150",0.0162532053252153
"151",0.0244376986791318
"152",0.0177655980379141
"153",0.0107473328854295
"154",0.0162634453957802
"155",0.0189163671669365
"156",0.0202912064007935
"157",0.0220427763075887
"158",0.0243523544172924
"159",0.0251142616156316
"160",0.0266443855170816
"161",0.0238431257690969
"162",0.0223033547677916
"163",0.0209384306596918
"164",0.0197574587076299
"165",0.0144799210282604
"166",0.0212522371654565
"167",0.0243950414285533
"168",0.0267857243267237
"169",0.0282803064840117
"170",0.0277814466672218
"171",0.0251152686087476
"172",0.0220734576805328
"173",0.0214394258221836
"174",0.0138486217760568
"175",0.0197988121106868
"176",0.0241144902991833
"177",0.0135225897932616
"178",0.0207380350746689
"179",0.0205538834400441
"180",0.0110503726682702
"181",0.0196326081823918
"182",0.0207798463429144
"183",0.0149855656218315
"184",0.0211810804631858
"185",0.024160530542681
"186",0.0228055546495685
"187",0.0260406512980493
"188",0.0222263261833231
"189",0.0130989262530953
"190",0.0235954702089077
"191",0.0190340932624154
"192",0.00580675590428074
"193",0.0135545910268105
"194",0.0162823523779243
"195",0.0100344940072427
"196",0.0123997010300624
"197",0.0137090634325704
"198",0.0086297517844615
"199",0.023745230867894
"200",0.0283483194294387
"201",0.0164456350256399
"202",0.0305887132749276
"203",0.0283239405746605
"204",0.00874766098725766
"205",0.0169578113552124
"206",0.017842433311545
"207",0.0184843221003668
"208",0.0176669590663753
"209",0.0149260341106941
"210",0.00885308962742266
"211",0.0223588338869129
"212",0.024469744833128
"213",0.0113665074475111
"214",0.0254567655167946
"215",0.0285717111008774
"216",0.0151069169002749
"217",0.0240682255016803
"218",0.0192382835749314
"219",0.00623610659496238
"220",0.0177138366663102
"221",0.0109336560519424
"222",0.0152110023279687
"223",0.0199915183126525
"224",0.0214343948188759
"225",0.0104163446167892
"226",0.0194423841662661
"227",0.0171689545339717
"228",0.00421309999444037
"229",0.0259082379207851
"230",0.0319678436223034
"231",0.0198663433850967
"232",0.0299653462653791
"233",0.0345742872358535
"234",0.036666223526732
"235",0.0347502637314145
"236",0.0300561596459658
"237",0.0151007144222581
"238",0.0208139851453473
"239",0.0188751156990718
"240",0.0129813691714961
"241",0.0245075578787416
"242",0.0293145902305882
"243",0.00906801343304674
"244",0.0157578016483224
"245",0.013927265928206
"246",0.00518491429077809
"247",0.0127996340439972
"248",0.0139578387537721
"249",0.00519557184144345
"250",0.0144067104592602
"251",0.0126652138042199
"252",0.00857593886232958
"253",0.0183715749980446
"254",0.0222496847579252
"255",0.00965099740060154
"256",0.0204726701206746
"257",0.0192386333019093
"258",0.0106576694229624
"259",0.0191439839535267
"260",0.0213436423741546
"261",0.00214652097888822
