Longitude;Latitude;SampleName
25.33722222;42.72444444;Atanassova_a5
25.34138889;42.74111111;Atanassova_b1
25.3275;42.75555556;Atanassova_b2
25.3275;42.76;Atanassova_b3
25.34083333;42.72055556;Atanassova_b4
25.33722222;42.72444444;Atanassova_b5
25.34138889;42.74111111;Atanassova_c1
25.3275;42.75555556;Atanassova_c2
25.3275;42.76;Atanassova_c3
25.34083333;42.72055556;Atanassova_c4
25.33722222;42.72444444;Atanassova_c5
25.3275;42.75555556;Atanassova_d1
25.3275;42.76;Atanassova_d2
25.32138;42.735;Atanassova_e1
25.325;42.738;Atanassova_e10
25.325;42.738;Atanassova_e11
25.323;42.7244;Atanassova_e12
25.323;42.7244;Atanassova_e13
25.323;42.7244;Atanassova_e14
25.3202;42.717;Atanassova_e15
25.3202;42.717;Atanassova_e16
25.3202;42.717;Atanassova_e17
25.32138;42.735;Atanassova_e2
25.32138;42.735;Atanassova_e3
25.3258;42.746;Atanassova_e4
25.3258;42.746;Atanassova_e5
25.3258;42.746;Atanassova_e6
25.3258;42.746;Atanassova_e7
25.325;42.738;Atanassova_e8
25.325;42.738;Atanassova_e9
30.401436;37.591179;Bakker_a1
30.297804;37.550905;Bakker_a10
30.300453;37.546514;Bakker_a11
30.290816;37.538868;Bakker_a12
30.284311;37.5388;Bakker_a13
30.368871;37.568253;Bakker_a14
30.622577;37.566754;Bakker_a15
30.385371;37.547705;Bakker_a16
30.380378;37.591353;Bakker_a2
30.41412;37.57448;Bakker_a3
30.407665;37.566355;Bakker_a4
30.40911;37.56973;Bakker_a5
30.393515;37.589715;Bakker_a6
30.40608;37.585288;Bakker_a7
30.39121;37.589223;Bakker_a8
30.403755;37.58995;Bakker_a9
30.47396667;37.66001667;Bakker_b1
30.4046;37.5628;Bakker_b10
30.39715;37.57375;Bakker_b11
30.5527;37.628;Bakker_b12
30.50831667;37.66738333;Bakker_b13
30.50853333;37.66811667;Bakker_b14
30.51231667;37.6785;Bakker_b15
30.57888333;37.58068333;Bakker_b16
30.59471667;37.56091667;Bakker_b17
30.51373333;37.68508333;Bakker_b18
30.51741667;37.68305;Bakker_b19
30.5904;37.57988333;Bakker_b2
30.52795;37.67551667;Bakker_b20
30.4995;37.63625;Bakker_b21
30.72546667;37.62201667;Bakker_b22
30.51546667;37.67526667;Bakker_b23
30.55915;37.62145;Bakker_b24
30.56026667;37.56605;Bakker_b25
30.57618333;37.551;Bakker_b26
30.57835;37.54915;Bakker_b27
30.5998;37.55323333;Bakker_b28
30.65663333;37.62728333;Bakker_b29
30.4737;37.64191667;Bakker_b3
30.50326667;37.63476667;Bakker_b30
30.65485;37.63373333;Bakker_b31
30.6594;37.6289;Bakker_b32
30.65576667;37.62943333;Bakker_b33
30.65711667;37.62881667;Bakker_b34
30.66003333;37.63758333;Bakker_b35
30.49423333;37.67836667;Bakker_b36
30.55616667;37.58613333;Bakker_b37
30.55986667;37.58135;Bakker_b38
30.54671667;37.59021667;Bakker_b39
30.51635;37.671017;Bakker_b4
30.39943333;37.58123333;Bakker_b40
30.40401667;37.58548333;Bakker_b41
30.40216667;37.58045;Bakker_b42
30.4037;37.58188333;Bakker_b43
30.34693333;37.61971667;Bakker_b44
30.33643333;37.61971667;Bakker_b45
30.51018333;37.65943333;Bakker_b46
30.5306;37.6806;Bakker_b47
30.50373333;37.67705;Bakker_b48
30.52738333;37.67708333;Bakker_b49
30.49736667;37.63671667;Bakker_b5
30.57835;37.55293333;Bakker_b50
30.57936667;37.5498;Bakker_b51
30.50788333;37.66731667;Bakker_b52
30.58413333;37.55566667;Bakker_b53
30.49498333;37.63465;Bakker_b54
30.4954;37.63301667;Bakker_b55
30.49288333;37.65836667;Bakker_b56
30.4759;37.6618;Bakker_b57
30.55078333;37.63006667;Bakker_b58
30.55943333;37.62411667;Bakker_b59
30.4964;37.64573333;Bakker_b6
30.56118333;37.61925;Bakker_b60
30.59718333;37.56245;Bakker_b61
30.594;37.6279;Bakker_b62
30.56458333;37.6217;Bakker_b63
30.56413333;37.6205;Bakker_b64
30.52878333;37.67591667;Bakker_b7
30.58115;37.58416667;Bakker_b8
30.40558333;37.56308333;Bakker_b9
27.11;44.08;Barboni_a1
26.9;44.11;Barboni_a10
40.099;37.909;Barboni_a100
39.72;38.18;Barboni_a101
39.72;38.18;Barboni_a102
39.72;38.18;Barboni_a103
39.72;38.18;Barboni_a104
39.72;38.18;Barboni_a105
41.47;38.169;Barboni_a106
41.669;38.13;Barboni_a107
42.49;37.93;Barboni_a108
42.419;37.919;Barboni_a109
26.9;44.11;Barboni_a11
42.36;37.909;Barboni_a110
42.259;37.919;Barboni_a111
42.229;37.93;Barboni_a112
42.049;38;Barboni_a113
41.849;37.979;Barboni_a114
